gene ID,log2_foldChange,p_value,adjusted p_value,rotein ID,locus tag,Annotation,,
gene-M8001_RS13485,0.944618959,0.013602517,0.142175304,WP_010953491.1,PP_2564,pirin family protein,,
gene-M8001_RS13500,0.406709879,0.282226508,0.659456772,WP_010953494.1,PP_2567,alpha/beta fold hydrolase,,
gene-M8001_RS13510,1.029742504,0.020753117,0.188003063,WP_010953495.1,PP_2569,MFS transporter,,
gene-M8001_RS13530,-0.079678975,0.817374601,0.951461935,WP_010953499.1,PP_2574,LysR family transcriptional regulator,,
gene-M8001_RS13535,0.600887681,0.075443399,0.375275174,WP_010953500.1,PP_2575,YMGG-like glycine zipper-containing protein,,
gene-M8001_RS13550,0.002429671,0.984771253,1,WP_010953501.1,PP_2577,MlaD family protein,,
gene-M8001_RS13555,-0.292016186,0.572480786,0.860345203,WP_010953502.1,PP_2578,PqiC family protein,,
gene-M8001_RS13560,-1.20582581,0.000527833,0.014495959,WP_010953503.1,PP_2579,phosphoethanolamine transferase CptA,,
gene-M8001_RS13575,0.184182396,0.574783449,0.860922104,WP_010953505.1,PP_2582,biliverdin-producing heme oxygenase,,
gene-M8001_RS13590,0.107968644,0.681725336,0.904672871,WP_010953508.1,PP_2585,aldehyde dehydrogenase (NADP(+)),,
gene-M8001_RS13600,-0.384445653,0.411306692,0.767595856,WP_010953510.1,PP_2587,helix-turn-helix transcriptional regulator,,
gene-M8001_RS13625,-0.109764509,0.84960737,0.96312215,WP_010953514.1,PP_2592,ATP-binding cassette domain-containing protein,,
gene-M8001_RS13630,0.75458821,0.283083751,0.659456772,WP_010953515.1,PP_2593,iron chelate uptake ABC transporter family permease subunit,,
gene-M8001_RS13635,0.455981741,0.226105283,0.599500695,WP_010953516.1,PP_2594,iron chelate uptake ABC transporter family permease subunit,,
gene-M8001_RS13645,0.537594036,0.133026061,0.483903728,WP_010953518.1,PP_2596,ABC transporter ATP-binding protein/permease,,
gene-M8001_RS13660,0.558132924,0.127511158,0.475179815,WP_010953522.1,PP_2600,FAD-dependent oxidoreductase,,
gene-M8001_RS13665,-0.120836344,0.709411743,0.911302431,WP_010953523.1,PP_2601,IclR family transcriptional regulator,,
gene-M8001_RS13670,0.645353181,0.082187215,0.390064718,WP_010953524.1,PP_2602,Gfo/Idh/MocA family oxidoreductase,,
gene-M8001_RS13675,-0.492710515,0.204604544,0.578940878,WP_010953525.1,PP_2603,sugar phosphate isomerase/epimerase,,
gene-M8001_RS13685,-0.242358938,0.435747241,0.781812705,WP_010953527.1,PP_2605,FAD-dependent oxidoreductase,,
gene-M8001_RS13695,0.230346143,0.476407859,0.809378691,WP_010953528.1,PP_2607,FAD-dependent oxidoreductase,,
gene-M8001_RS13700,-0.275361749,0.566767258,0.859035107,WP_010953529.1,PP_2608,shikimate dehydrogenase,,
gene-M8001_RS13705,0.400386779,0.25553742,0.633742518,WP_010953530.1,PP_2609,IclR family transcriptional regulator,,
gene-M8001_RS13730,-1.322446593,0.000107101,0.004139638,WP_010953534.1,PP_2614,type VI secretion system tip protein VgrG,,
gene-M8001_RS13735,-1.600653547,7.78765E-05,0.003150075,WP_010953535.1,PP_2615,Hcp family type VI secretion system effector,,
gene-M8001_RS13740,-1.39699536,0.000915929,0.0224381,WP_010953536.1,PP_2616,type IVB secretion system protein IcmH/DotU,,
gene-M8001_RS13745,-1.050995082,0.002639267,0.048155077,WP_010953537.1,PP_2617,type VI secretion system baseplate subunit TssK,,
gene-M8001_RS13750,-1.893103893,1.32093E-05,0.00078325,WP_010953538.1,PP_2618,type VI secretion system lipoprotein TssJ,,
gene-M8001_RS13755,-1.75016713,5.63099E-05,0.002494659,WP_010953539.1,PP_2619,FHA domain-containing protein,,
gene-M8001_RS13760,-2.046653891,1.01485E-05,0.000653762,WP_010953540.1,PP_2620,type VI secretion system baseplate subunit TssG,,
gene-M8001_RS13765,-1.612731465,1.21629E-05,0.000737974,WP_010953541.1,PP_2621,type VI secretion system baseplate subunit TssF,,
gene-M8001_RS13770,-1.034306209,0.096506895,0.416006251,WP_010953542.1,PP_2622,type VI secretion system baseplate subunit TssE,,
gene-M8001_RS13775,-0.966129832,0.008969657,0.110126282,WP_010953543.1,PP_2623,type VI secretion system contractile sheath large subunit,,
gene-M8001_RS13780,-0.302263717,0.555410674,0.853898909,WP_010953544.1,PP_2624,type VI secretion system contractile sheath small subunit,,
gene-M8001_RS13790,-0.488906262,0.200556775,0.574371707,WP_010953546.1,PP_2626,type VI secretion system protein TssA,,
gene-M8001_RS13795,0.134862059,0.648427296,0.889048938,WP_010953547.1,PP_2627,type VI secretion system membrane subunit TssM,,
gene-M8001_RS13825,-0.15181642,0.714166017,0.913254957,WP_010953552.1,PP_2632,cellulose biosynthesis protein BcsG,,
gene-M8001_RS13835,0.173606878,0.717700099,0.9151904,WP_010953554.1,PP_2634,cellulose biosynthesis protein BcsQ,,
gene-M8001_RS13840,0.109353044,0.729410029,0.91956065,WP_010953555.1,PP_2635,UDP-forming cellulose synthase catalytic subunit,,
gene-M8001_RS13855,0.38954804,0.236902646,0.614673885,WP_010953558.1,PP_2638,cellulose synthase complex outer membrane protein BcsC,,
gene-M8001_RS13860,1.286978859,0.000391916,0.011424667,WP_010953559.1,PP_2639,4-hydroxy-tetrahydrodipicolinate synthase,,
gene-M8001_RS13865,0.242872663,0.436154999,0.781812705,WP_010953560.1,PP_2640,GNAT family N-acetyltransferase,,
gene-M8001_RS13875,0.403783199,0.187782774,0.55976326,WP_010953562.1,PP_2642,PLP-dependent aminotransferase family protein,,
gene-M8001_RS13895,-0.264872043,0.520755509,0.834006279,WP_010953567.1,PP_2647,MFS transporter,,
gene-M8001_RS13905,0.306949014,0.423287167,0.774335847,WP_010953569.1,PP_2649,LysR family transcriptional regulator,,
gene-M8001_RS13910,0.066794987,0.940502638,0.988374504,WP_010953570.1,PP_2650,iron-containing alcohol dehydrogenase,,
gene-M8001_RS13915,-0.080867772,0.775164772,0.935165116,WP_010953571.1,PP_2651,MFS transporter,,
gene-M8001_RS13920,-0.065696555,0.874895273,0.968811458,WP_010953572.1,PP_2652,fumarylacetoacetate hydrolase family protein,,
gene-M8001_RS13925,-0.890712634,0.004616122,0.070636141,WP_010953573.1,PP_2653,helix-turn-helix domain-containing protein,,
gene-M8001_RS13935,1.304774641,0.006174991,0.086849333,WP_010953574.1,PP_2654,MAPEG family protein,,
gene-M8001_RS13940,2.406812555,4.38979E-08,4.49135E-06,WP_010953575.1,PP_2655,hypothetical protein,,
gene-M8001_RS13955,0.399949139,0.227338416,0.602158301,WP_010953577.1,PP_2658,phosphate ABC transporter permease PstA,,
gene-M8001_RS13970,-0.606914419,0.045027665,0.29299479,WP_010953580.1,PP_2661,hypothetical protein,,
gene-M8001_RS13975,-5.904289918,1.38223E-16,8.01385E-14,WP_010953581.1,PP_2662,porin,,
gene-M8001_RS13980,-2.156241126,0.000674079,0.017499216,WP_010953582.1,PP_2663,FIST signal transduction protein,,
gene-M8001_RS13990,-0.371255338,0.470348692,0.805209802,WP_010953584.1,PP_2665,response regulator transcription factor,,
gene-M8001_RS13995,0.084395921,0.866679231,0.96774563,WP_010953585.1,PP_2666,PQQ-dependent catabolism-associated CXXCW motif protein,,
gene-M8001_RS14000,-1.799375616,0.007966867,0.102179808,WP_010953586.1,PP_2667,ABC transporter permease,,
gene-M8001_RS14005,-1.622042697,0.01471653,0.149935886,WP_010953587.1,PP_2668,ATP-binding cassette domain-containing protein,,
gene-M8001_RS14010,-1.506463568,0.021215855,0.189634612,WP_010953588.1,PP_2669,YVTN family beta-propeller repeat protein,,
gene-M8001_RS14020,-0.247419528,0.669508646,0.899246343,WP_010953590.1,PP_2671,histidine kinase,,
gene-M8001_RS14025,-0.447544118,0.474038623,0.808647752,WP_010953591.1,PP_2672,response regulator transcription factor,,
gene-M8001_RS14030,-2.097354815,0.001078349,0.025576479,WP_010953592.1,PP_2673,pentapeptide repeat-containing protein,,
gene-M8001_RS14035,-2.191059414,0.000370274,0.010854436,WP_010953593.1,PP_2674,quinoprotein ethanol dehydrogenase,,
gene-M8001_RS14040,-1.646566789,0.008674712,0.107733737,WP_010953594.1,PP_2675,cytochrome c-550 PedF,,
gene-M8001_RS14055,-2.07585596,0.004155507,0.064726666,WP_010953597.1,PP_2678,quinoprotein relay system zinc metallohydrolase 1,,
gene-M8001_RS14060,-2.44548499,0.000407705,0.011818909,WP_010953598.1,PP_2679,PQQ-dependent alcohol dehydrogenase PedH,,
gene-M8001_RS14065,-2.593086508,7.32329E-05,0.003008892,WP_010953599.1,PP_2680,aldehyde dehydrogenase,,
gene-M8001_RS14075,-1.344329601,0.032016815,0.245321204,WP_010953600.1,PP_2681,pyrroloquinoline quinone biosynthesis peptide chaperone PqqD,,
gene-M8001_RS14095,-0.733763006,0.073282202,0.369571796,WP_010953603.1,PP_2685,proteasome-type protease,,
gene-M8001_RS14100,-0.864715008,0.045930121,0.295151932,WP_010953604.1,PP_2686,transglutaminase family protein,,
gene-M8001_RS14110,-1.966976154,4.07854E-05,0.00191728,WP_010953605.1,PP_2688,circularly permuted type 2 ATP-grasp protein,,
gene-M8001_RS14130,0.701755293,0.023285864,0.200537244,WP_010953608.1,PP_2692,BCCT family transporter,,
gene-M8001_RS14135,0.38470755,0.384076051,0.747801804,WP_010953609.1,PP_2693,dipeptidase,,
gene-M8001_RS14140,0.629583425,0.130152623,0.479277621,WP_010953610.1,PP_2694,aldehyde dehydrogenase family protein,,
gene-M8001_RS14150,0.128056214,0.832083182,0.956767308,WP_010953612.1,PP_2696,LysR family transcriptional regulator,,
gene-M8001_RS14160,0.504750287,0.212591995,0.586003714,WP_010953614.1,PP_2698,methionine synthase,,
gene-M8001_RS14170,0.036053169,0.899394883,0.977698456,WP_010953616.1,PP_2700,peroxiredoxin,,
gene-M8001_RS14175,-0.263072893,0.351559938,0.721784039,WP_010953617.1,PP_2701,LysR family transcriptional regulator,,
gene-M8001_RS14180,-0.260598802,0.675569804,0.901321703,WP_010953618.1,PP_2702,porin,,
gene-M8001_RS14190,0.546878547,0.098238526,0.419826885,WP_010953620.1,PP_2704,M20 family metallopeptidase,,
gene-M8001_RS14200,0.353241956,0.278400273,0.657137896,WP_010953622.1,PP_2706,hypothetical protein,,
gene-M8001_RS14205,0.80490547,0.021111369,0.18944146,WP_010953623.1,PP_2707,exodeoxyribonuclease III,,
gene-M8001_RS14210,0.284683784,0.565239268,0.858917037,WP_010953624.1,PP_2708,thermostable hemolysin,,
gene-M8001_RS14215,0.798411869,0.039460976,0.274833821,WP_010953625.1,PP_2709,AMP-binding protein,,
gene-M8001_RS14220,0.277816574,0.565030353,0.858917037,WP_010953626.1,PP_2710,iron-containing redox enzyme family protein,,
gene-M8001_RS14225,0.546316963,0.17402304,0.546032604,WP_010953627.1,PP_2711,SDR family oxidoreductase,,
gene-M8001_RS14230,0.504414908,0.18152074,0.552650911,WP_010953628.1,PP_2712,hypothetical protein,,
gene-M8001_RS14235,0.642721949,0.091710305,0.410484383,WP_010953629.1,PP_2713,response regulator,,
gene-M8001_RS14240,-0.128130556,0.743332466,0.924658245,WP_010953630.1,PP_2714,ATP-binding protein,,
gene-M8001_RS14245,0.006166363,1,1,WP_010953631.1,PP_2715,arsenical resistance protein ArsH,,
gene-M8001_RS14250,0.084819997,0.822250005,0.953868503,WP_010953632.1,PP_2716,arsenate reductase ArsC,,
gene-M8001_RS14255,0.203744723,0.691921849,0.905555107,WP_010953633.1,PP_2717,arsenical efflux pump membrane protein ArsB,,
gene-M8001_RS14260,0.844094806,0.087275475,0.396692882,WP_010953634.1,PP_2718,metalloregulator ArsR/SmtB family transcription factor,,
gene-M8001_RS14275,1.061845187,0.036142615,0.264876636,WP_010953638.1,PP_2722,hemerythrin domain-containing protein,,
gene-M8001_RS14280,0.459831046,0.25498587,0.633115027,WP_010953639.1,PP_2723,glucose 1-dehydrogenase,,
gene-M8001_RS14285,1.17513429,0.026357122,0.215861774,WP_010953640.1,PP_2724,hypothetical protein,,
gene-M8001_RS14295,1.704952501,9.95435E-05,0.003905398,WP_010953642.1,PP_2726,DUF421 domain-containing protein,,
gene-M8001_RS14300,2.196766651,3.2224E-09,4.80413E-07,WP_010953643.1,PP_2727,SDR family NAD(P)-dependent oxidoreductase,,
gene-M8001_RS14305,1.844522794,1.07403E-06,9.18732E-05,WP_010953644.1,PP_2728,DUF1543 domain-containing protein,,
gene-M8001_RS14325,2.76630654,2.6903E-08,2.96409E-06,WP_010953646.1,PP_2732,cryptochrome/photolyase family protein,,
gene-M8001_RS14335,4.005222601,9.2497E-09,1.09693E-06,WP_010953647.1,PP_2733,DUF2878 domain-containing protein,,
gene-M8001_RS14345,3.780658838,1.71443E-17,1.11824E-14,WP_010953649.1,PP_2735,DUF1365 domain-containing protein,,
gene-M8001_RS14350,4.125215804,5.86278E-21,1.01973E-17,WP_010953650.1,PP_2736,FAD-dependent oxidoreductase,,
gene-M8001_RS14355,4.07138286,1.19251E-18,1.03709E-15,WP_010953651.1,PP_2737,SDR family NAD(P)-dependent oxidoreductase,,
gene-M8001_RS14370,0.035037028,0.903021543,0.977698456,WP_010953653.1,PP_2740,MerR family transcriptional regulator,,
gene-M8001_RS14375,0.632915013,0.096866155,0.416006251,WP_010953654.1,PP_2741,mechanosensitive ion channel family protein,,
gene-M8001_RS14390,0.898801472,0.031955369,0.245210468,WP_010953656.1,PP_2744,ribose-phosphate diphosphokinase,,
gene-M8001_RS14400,0.200858636,0.629735992,0.883210865,WP_010953658.1,PP_2746,LLM class flavin-dependent oxidoreductase,,
gene-M8001_RS14405,-0.066252795,1,1,WP_010953659.1,PP_2747,AMP-binding protein,,
gene-M8001_RS14415,0.517948273,0.386404625,0.749143079,WP_010953661.1,PP_2749,branched-chain amino acid ABC transporter permease,,
gene-M8001_RS14420,-0.003664144,1,1,WP_010953662.1,PP_2750,branched-chain amino acid ABC transporter permease,,
gene-M8001_RS14425,0.194411024,0.908633799,0.978419433,WP_010953663.1,PP_2751,ABC transporter substrate-binding protein,,
gene-M8001_RS14430,1.386426018,0.034350428,0.255692629,WP_010953664.1,PP_2752,ABC transporter substrate-binding protein,,
gene-M8001_RS14435,-0.244716683,0.702033711,0.90856854,WP_010953665.1,PP_2753,ABC transporter ATP-binding protein,,
gene-M8001_RS14455,1.18954507,0.105084839,0.435436405,WP_010953669.1,PP_2757,sugar ABC transporter substrate-binding protein,,
gene-M8001_RS14460,0.733013603,0.172066114,0.544541416,WP_010953670.1,PP_2758,sugar ABC transporter substrate-binding protein,,
gene-M8001_RS14465,1.196822282,0.023556551,0.201835935,WP_010953671.1,PP_2759,sugar ABC transporter ATP-binding protein,,
gene-M8001_RS14475,0.109813614,0.822103067,0.953868503,WP_010953673.1,PP_2761,ABC transporter permease,,
gene-M8001_RS14480,0.292813973,0.723167755,0.916962197,WP_010953674.1,PP_2762,acyl-CoA dehydrogenase family protein,,
gene-M8001_RS14490,0.416373225,0.290892093,0.667784841,WP_010953676.1,PP_2765,dimethyl sulfone monooxygenase SfnG,,
gene-M8001_RS14495,0.359358928,0.417477117,0.772550654,WP_010953677.1,PP_2766,AMP-binding protein,,
gene-M8001_RS14500,0.765879641,0.385270991,0.748303492,WP_010953678.1,PP_2767,ABC transporter ATP-binding protein,,
gene-M8001_RS14505,0.041605314,0.948241454,0.990178888,WP_010953679.1,PP_2768,branched-chain amino acid ABC transporter permease,,
gene-M8001_RS14510,0.964744834,0.015432795,0.155533661,WP_010953680.1,PP_2769,branched-chain amino acid ABC transporter permease,,
gene-M8001_RS14515,0.802875149,0.020472877,0.186110579,WP_010953681.1,PP_2770,ABC transporter substrate-binding protein,,
gene-M8001_RS14520,0.199809502,0.521409652,0.834006279,WP_010953682.1,PP_2771,sigma-54 dependent transcriptional regulator,,
gene-M8001_RS14525,0.617440487,0.095022301,0.414946191,WP_010953683.1,PP_2772,acyl-CoA dehydrogenase family protein,,
gene-M8001_RS14530,0.819893965,0.087758239,0.398540029,WP_010953684.1,PP_2773,hypothetical protein,,
gene-M8001_RS14545,0.220555319,0.598431567,0.872071748,WP_010953687.1,PP_2776,homocysteine S-methyltransferase family protein,,
gene-M8001_RS14550,-0.095985212,0.900514794,0.977698456,WP_010953688.1,PP_2777,acyl carrier protein,,
gene-M8001_RS14565,0.633167604,0.186885357,0.558835412,WP_010953691.1,PP_2780,beta-ketoacyl-[acyl-carrier-protein] synthase family protein,,
gene-M8001_RS14590,0.429941829,0.306169713,0.681798696,WP_010953696.1,PP_2785,hypothetical protein,,
gene-M8001_RS14600,0.761191092,0.050846215,0.311686679,WP_010953697.1,PP_2787,MMPL family transporter,,
gene-M8001_RS14615,0.833640361,0.041025829,0.28019997,WP_010953699.1,PP_2790,propionate catabolism operon regulatory protein PrpR,,
gene-M8001_RS14625,1.253181039,0.010592788,0.12174707,WP_010953701.1,PP_2792,4-hydroxypentanoyl-CoA kinase subunit LvaB,,
gene-M8001_RS14630,0.773798714,0.053132841,0.315708674,WP_010953702.1,PP_2793,acyl-CoA dehydrogenase,,
gene-M8001_RS14635,0.821571077,0.026342158,0.215861774,WP_010953703.1,PP_2794,glucose 1-dehydrogenase,,
gene-M8001_RS14640,0.737094768,0.054566315,0.321362341,WP_010953704.1,PP_2795,acyl-CoA synthetase,,
gene-M8001_RS14645,0.570568428,0.244326365,0.621207852,WP_010953705.1,PP_2796,DUF485 domain-containing protein,,
gene-M8001_RS14650,0.430882249,0.296621438,0.671738612,WP_010953706.1,PP_2797,cation acetate symporter,,
gene-M8001_RS14655,0.283290107,0.524142665,0.834210627,WP_010953707.1,PP_2798,NAD(P)-binding domain-containing protein,,
gene-M8001_RS14660,0.426892477,0.238778376,0.616415282,WP_010953708.1,PP_2799,aspartate aminotransferase family protein,,
gene-M8001_RS14665,0.966031806,0.040706733,0.279852088,WP_010953709.1,PP_2800,aspartate aminotransferase family protein,,
gene-M8001_RS14670,0.304720369,0.580461804,0.863539025,WP_010953710.1,PP_2801,gamma-aminobutyraldehyde dehydrogenase,,
gene-M8001_RS14675,0.435512701,0.182402997,0.553038255,WP_010953711.1,PP_2802,APC family permease,,
gene-M8001_RS14685,0.853176271,0.056711033,0.329572088,WP_010953713.1,PP_2804,alpha/beta hydrolase,,
gene-M8001_RS14690,1.030453405,0.007906647,0.101868855,WP_010953714.1,PP_2805,NAD(P)/FAD-dependent oxidoreductase,,
gene-M8001_RS14695,-0.459408562,0.142653395,0.501689979,WP_010953715.1,PP_2806,TetR/AcrR family transcriptional regulator,,
gene-M8001_RS14700,1.222905203,0.000867367,0.021551993,WP_010953716.1,PP_2807,phytanoyl-CoA dioxygenase family protein,,
gene-M8001_RS14705,0.206071309,0.55891085,0.855499212,WP_010953717.1,PP_2808,FAD-binding oxidoreductase,,
gene-M8001_RS14715,0.269520023,0.818344125,0.951639482,WP_010953719.1,PP_2810,DUF1329 domain-containing protein,,
gene-M8001_RS14725,-0.094679297,0.778018953,0.935951572,WP_010953721.1,PP_2812,efflux RND transporter permease subunit,,
gene-M8001_RS14730,-0.083021827,0.826511214,0.955285914,WP_010953722.1,PP_2813,YCF48-related protein,,
gene-M8001_RS14735,0.656946634,0.106647285,0.437586734,WP_010953723.1,PP_2814,phytanoyl-CoA dioxygenase family protein,,
gene-M8001_RS14740,0.042286105,0.921012222,0.981824773,WP_010953724.1,PP_2815,helix-turn-helix domain-containing protein,,
gene-M8001_RS14745,1.638107593,0.000213117,0.006959666,WP_010953725.1,PP_2816,TetR/AcrR family transcriptional regulator,,
gene-M8001_RS14755,0.094647765,0.899037091,0.977698456,WP_010953727.1,PP_2818,multidrug efflux RND transporter permease subunit,,
gene-M8001_RS14765,-0.035851991,0.91308672,0.979339467,WP_010953729.1,PP_2820,TetR/AcrR family transcriptional regulator,,
gene-M8001_RS14770,0.087335762,1,1,WP_010953730.1,PP_2821,hypothetical protein,,
gene-M8001_RS14785,-0.373490632,0.185989398,0.557860364,WP_010953733.1,PP_2824,TetR/AcrR family transcriptional regulator,,
gene-M8001_RS14795,0.156735008,0.598318436,0.872071748,WP_010953735.1,PP_2826,LysR family transcriptional regulator,,
gene-M8001_RS14800,-0.114070886,0.711944461,0.913064802,WP_010953736.1,PP_2827,zinc-dependent alcohol dehydrogenase family protein,,
gene-M8001_RS14805,0.427025062,0.272868233,0.651636815,WP_010953737.1,PP_2828,hypothetical protein,,
gene-M8001_RS14825,-0.120395639,0.697596443,0.908198164,WP_010953741.1,PP_2832,LysR family transcriptional regulator,,
gene-M8001_RS14830,0.097004681,0.761251466,0.929840594,WP_010953742.1,PP_2833,LysR family transcriptional regulator,,
gene-M8001_RS14835,-0.061260662,0.90307127,0.977698456,WP_010953743.1,PP_2834,altronate dehydratase family protein,,
gene-M8001_RS14845,0.484722876,0.108649956,0.4405093,WP_010953745.1,PP_2836,fumarylacetoacetate hydrolase family protein,,
gene-M8001_RS14855,0.121457661,0.70122658,0.90856854,WP_010953747.1,PP_2838,VRR-NUC domain-containing protein,,
gene-M8001_RS14865,0.022698533,1,1,WP_010953749.1,PP_2840,NnrS family protein,,
gene-M8001_RS14875,-2.369150415,5.13093E-09,7.43699E-07,WP_010953751.1,PP_2842,urease accessory protein UreD,,
gene-M8001_RS14885,-1.613368628,7.48554E-06,0.000535062,WP_010953752.1,PP_2844,urease subunit beta,,
gene-M8001_RS14890,-1.160646994,0.00465326,0.070996237,WP_010953753.1,PP_2845,urease subunit alpha,,
gene-M8001_RS14905,-0.110721064,0.760659682,0.929840594,WP_010953754.1,PP_2848,urease accessory protein UreF,,
gene-M8001_RS14910,-0.143813549,0.690457431,0.904804997,WP_010953755.1,PP_2849,urease accessory protein UreG,,
gene-M8001_RS14915,0.71435157,0.071566357,0.363970033,WP_010953757.1,PP_2851,DUF899 domain-containing protein,,
gene-M8001_RS14920,0.16495531,0.633425406,0.884314688,WP_010953758.1,PP_2852,LTA synthase family protein,,
gene-M8001_RS14925,1.112959654,0.003958369,0.062527312,WP_010953759.1,PP_2853,hypothetical protein,,
gene-M8001_RS14930,-0.535722493,0.158636053,0.528883811,WP_010953760.1,PP_2854,hypothetical protein,,
gene-M8001_RS14935,-0.729585701,0.058695963,0.335093584,WP_010953761.1,PP_2855,C39 family peptidase,,
gene-M8001_RS14940,-1.228545391,0.001216393,0.027476783,WP_010953762.1,PP_2856,hypothetical protein,,
gene-M8001_RS14945,-1.156795273,0.006808165,0.092033697,WP_010953763.1,PP_2857,hypothetical protein,,
gene-M8001_RS14950,-0.411916913,0.35056718,0.721601399,WP_010953764.1,PP_2858,hypothetical protein,,
gene-M8001_RS14955,-0.890015271,0.008055185,0.102575943,WP_010953765.1,PP_2859,AAA family ATPase,,
gene-M8001_RS14960,-0.605616183,0.048652846,0.305868131,WP_010953766.1,PP_2860,nicotinamide riboside transporter PnuC,,
gene-M8001_RS14965,0.858584679,0.024164526,0.203700317,WP_010953767.1,PP_2861,methyl-accepting chemotaxis protein McpP,,
gene-M8001_RS14990,0.895217375,0.01680179,0.163001424,WP_010953771.1,PP_2866,FMN-dependent NADH-azoreductase,,
gene-M8001_RS14995,-0.057263496,0.841196226,0.960737764,WP_010953772.1,PP_2867,NAD(P)/FAD-dependent oxidoreductase,,
gene-M8001_RS15000,-0.260088223,0.489187254,0.816564009,WP_010953773.1,PP_2868,cupin domain-containing protein,,
gene-M8001_RS15005,1.277508943,0.001085506,0.025629741,WP_010953774.1,PP_2869,FAD-dependent oxidoreductase,,
gene-M8001_RS15015,-0.012648095,1,1,WP_010953776.1,PP_2871,class II aldolase/adducin family protein,,
gene-M8001_RS15025,-0.371157396,0.202965879,0.576838756,WP_010953778.1,PP_2873,YbjQ family protein,,
gene-M8001_RS15035,-0.434569653,0.285819791,0.662259179,WP_010953779.1,PP_2874,hypothetical protein,,
gene-M8001_RS15045,-0.112880743,0.70065587,0.90856854,WP_010953781.1,PP_2876,class C beta-lactamase,,
gene-M8001_RS15050,1.347841161,7.59654E-05,0.003096777,WP_010953782.1,PP_2877,bile acid:sodium symporter,,
gene-M8001_RS15055,0.274884646,0.384698645,0.747910182,WP_010953784.1,PP_2879,DUF4157 domain-containing protein,,
gene-M8001_RS15060,0.681342156,0.065880825,0.353305391,WP_010953785.1,PP_2880,TetR/AcrR family transcriptional regulator,,
gene-M8001_RS15065,0.30464873,0.414671102,0.769745219,WP_010953786.1,PP_2881,SDR family oxidoreductase,,
gene-M8001_RS15070,0.289676409,0.392996728,0.752767923,WP_010953787.1,PP_2882,2-hydroxychromene-2-carboxylate isomerase,,
gene-M8001_RS15075,-0.348060522,0.32507532,0.699770223,WP_010953788.1,PP_2883,hypothetical protein,,
gene-M8001_RS15090,0.931993852,0.026130038,0.215057631,WP_010953790.1,PP_2886,cytochrome b,,
gene-M8001_RS15095,1.232217469,0.00161855,0.033647776,WP_010953791.1,PP_2887,catalase family peroxidase,,
gene-M8001_RS15105,1.040970004,0.006060248,0.085831019,WP_010953792.1,PP_2889,anti-sigma factor,,
gene-M8001_RS15110,-0.280788695,0.321803374,0.698199586,WP_010953793.1,PP_2890,exodeoxyribonuclease III,,
gene-M8001_RS15125,-0.17690955,0.594612728,0.869849291,WP_010953796.1,PP_2893,translocation/assembly module TamB,,
gene-M8001_RS15135,0.340479037,0.465289611,0.802870764,WP_010953798.1,PP_2895,DUF2589 domain-containing protein,,
gene-M8001_RS15155,0.210278439,0.689849011,0.904804997,WP_010953802.1,PP_2900,hypothetical protein,,
gene-M8001_RS15165,-0.419749307,0.211065698,0.584443984,WP_010953804.1,PP_2902,UDP-2%2C3-diacylglucosamine diphosphatase,,
gene-M8001_RS15170,-0.050551402,0.883931911,0.971431489,WP_010953805.1,PP_2903,peptidylprolyl isomerase,,
gene-M8001_RS15175,-0.218659351,0.533949725,0.83914236,WP_010953806.1,PP_2904,glutamine--tRNA ligase/YqeY domain fusion protein,,
gene-M8001_RS15180,-0.046426561,0.894006247,0.976569427,WP_010953807.1,PP_2905,cysteine--tRNA ligase,,
gene-M8001_RS15185,-0.166618748,0.569349703,0.859047393,WP_010953808.1,PP_2906,HAMP domain-containing histidine kinase,,
gene-M8001_RS15190,0.154431604,0.614767132,0.875984406,WP_010953809.1,PP_2907,response regulator transcription factor,,
gene-M8001_RS15195,-0.241209004,0.408437828,0.765207157,WP_010953810.1,PP_2908,DNA-binding transcriptional regulator CsiR,,
gene-M8001_RS15200,0.591044189,0.176620219,0.548697631,WP_010953811.1,PP_2909,glutarate dioxygenase GlaH,,
gene-M8001_RS15205,0.484965061,0.13292268,0.483903728,WP_010953812.1,PP_2910,L-2-hydroxyglutarate oxidase,,
gene-M8001_RS15210,0.249728507,0.476172051,0.809378691,WP_010953813.1,PP_2911,GABA permease,,
gene-M8001_RS15215,-0.365747861,0.233249613,0.608548239,WP_010953814.1,PP_2912,serine protein kinase RIO,,
gene-M8001_RS15220,-0.225356814,0.536481671,0.841612207,WP_010953815.1,PP_2913,porphobilinogen synthase,,
gene-M8001_RS15225,-0.04924279,0.947547094,0.989849998,WP_010953816.1,PP_2914,glycine betaine/L-proline transporter ProP,,
gene-M8001_RS15230,-0.339823967,0.269477878,0.648978214,WP_010953817.1,PP_2915,YoaK family protein,,
gene-M8001_RS15235,-0.333276815,0.266031272,0.645351548,WP_010953818.1,PP_2916,riboflavin synthase,,
gene-M8001_RS15240,0.23336207,0.503247946,0.824732344,WP_010953820.1,PP_2918,maltose alpha-D-glucosyltransferase,,
gene-M8001_RS15245,0.616962511,0.099515652,0.423205113,WP_010953821.1,PP_2919,LysR family transcriptional regulator,,
gene-M8001_RS15250,0.849668681,0.079841651,0.38682798,WP_010953822.1,PP_2920,5-oxoprolinase subunit PxpA,,
gene-M8001_RS15260,0.116543342,0.847861735,0.962638576,WP_010953824.1,PP_2922,biotin-dependent carboxyltransferase family protein,,
