Accession,Peptide count,Unique peptides,Confidence score,Description,Light 1,Light 2,Light 3,Light 4,Light 5,Light Glu nM 1,Light Glu nM 2,Light Glu nM 3,Light Glu nM 4,Light Glu mM 1,Light Glu mM 2,Light Glu mM 3,Light Glu mM 4,Darkness 1,Darkness 2,Darkness 3,Darkness 4,Darkness 5,Darkness 6,Darkness Glu nM 1,Darkness Glu nM 2,Darkness Glu nM 3,Darkness Glu nM 4,Darkness Glu nM 5,Darkness Glu mM 1,Darkness Glu mM 2,Darkness Glu mM 3,Light 1.1,Light 3.1,Light 5.1,Light Glu nM 1.1,Light Glu nM 3.1,Light Glu nM 4.1,Light Glu mM 1.1,Light Glu mM 3.1,Light Glu mM 4.1,Darkness 1.1,Darkness 3.1,Darkness 5.1,Darkness Glu nM 1.1,Darkness Glu nM 3.1,Darkness Glu nM 5.1,Darkness Glu mM 1.1,Darkness Glu mM 2.1,Darkness Glu mM 3.1,Alteromonas_SS120,Light avg,Light G nM avg,Light G mM avg,Darkness avg,Darkness G nM,Darkness G mM,t.test G nM/L,FC G nM/L,t.test G mM/L,FC GmM/L,t.test G nM/O,FC G nM/D,t.test G mM/O,FC G mM/D,Alteromonas_SS120.1,locus_tag_deh24,log2_FC_light_low_glucose,log2_FC_light_high_glucose,log2_FC_dark_low_glucose,log2_FC_dark_high_glucose,t_test_light_low_glucose,t_test_light_high_glucose,t_test_dark_low_glucose,t_test_dark_high_glucose,resolved_locus_tag,resolution_method
A0A359K358,3,3,9.264238,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1,121043.9,139431.0,329186.9,110580.6,396607.9,186015.7,647146.6,250715.3,1845682.0,1393370.0,4872584.0,22178278.0,4587978.0,81612.95,219710.9,39621.45,140862.9,112976.4,287775.3,120661.2,415855.5,111850.9,350816.7,149646.3,10238684.0,1330069.0,1557701.0,0.000221,0.000259,0.000364,0.000277,0.000305,0.000545,0.001088,0.005119,0.002843,0.000109,0.000105,0.000275,0.000195,0.000182,0.000151,0.005708,0.002734,0.003538,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1,0.000282,0.000376,0.003017,0.000163,0.002013,0.002185,0.082,1.33,0.071,10.71,0.435,12.35,0.026,13.4,Dihydrolipoyl dehydrogenase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_07870 PE=4 SV=1,DEH24_07870,0.4114262457264649,3.4208865749755315,3.626439136697315,3.7441610955704094,0.082,0.071,0.435,0.026,,unresolved
A0A359KBQ3,6,6,35.88386,Dihydroxy-acid dehydratase OS=Alteromonas sp. OX=232 GN=ilvD PE=3 SV=1,184186.5,184424.9,563720.7,203548.4,818599.1,164935.2,775280.2,203494.1,969556.7,3779416.0,5307147.0,22902037.0,6587233.0,89286.6,710092.3,154704.8,245290.1,190536.0,761805.4,294325.4,282115.9,154941.6,572222.2,281749.8,9509768.0,697292.7,1716872.0,0.000337,0.000444,0.000751,0.000246,0.000247,0.000286,0.002952,0.005286,0.004082,0.000119,0.000411,0.000464,0.000476,0.000252,0.000284,0.005302,0.001433,0.0039,Dihydroxy-acid dehydratase OS=Alteromonas sp. OX=232 GN=ilvD PE=3 SV=1,0.000511,0.00026,0.004107,0.000331,0.001946,0.001948,0.076,0.51,0.016,8.04,0.488,5.87,0.058,5.88,Dihydroxy-acid dehydratase OS=Alteromonas sp. OX=232 GN=ilvD PE=3 SV=1,,-0.9714308478032292,3.007195501404204,2.553360503335328,2.55581615506164,0.076,0.016,0.488,0.058,,empty
A0A359K964,2,2,5.827953,DNA ligase OS=Alteromonas sp. OX=232 GN=ligA PE=3 SV=1,4476.605,2200.54,8670.757,1431.084,2218.881,4814.709,26877.66,8367.023,36355.35,493286.3,87926.18,935233.6,121075.5,4055.096,17873.56,1410.598,1756.161,3011.877,24816.71,1563.622,13451.97,2716.873,12345.98,6709.746,150507.0,85018.62,55351.52,8.19e-06,6.83e-06,2.04e-06,7.17e-06,1.02e-05,1.07e-05,0.000385,0.000216,7.5e-05,5.4e-06,3.74e-06,7.34e-06,2.53e-06,4.42e-06,6.75e-06,8.39e-05,0.000175,0.000126,DNA ligase OS=Alteromonas sp. OX=232 GN=ligA PE=3 SV=1,5.69e-06,9.36e-06,0.000225,5.49e-06,3.17e-05,0.000102,0.161,1.65,0.065,39.64,0.232,5.77,0.022,18.58,DNA ligase OS=Alteromonas sp. OX=232 GN=ligA PE=3 SV=1,,0.722466024471091,5.308885057411763,2.5285713188707577,4.215678596607928,0.161,0.065,0.232,0.022,,empty
A0A359K8N1,2,2,6.556866,DNA polymerase I OS=Alteromonas sp. OX=232 GN=polA PE=3 SV=1,1896344.0,439687.9,4167821.0,1522393.0,7786585.0,2318066.0,8931333.0,3058231.0,9519146.0,996569.5,930972.0,4218013.0,558737.2,1447738.0,5214548.0,656915.2,1631531.0,1326427.0,4733505.0,2190310.0,2204803.0,1933564.0,3468893.0,3757965.0,574521.6,147622.8,112273.9,0.003469,0.003285,0.007142,0.003452,0.003715,0.002811,0.000778,0.000974,0.000346,0.001926,0.001744,0.003233,0.003542,0.003143,0.003781,0.00032,0.000303,0.000255,DNA polymerase I OS=Alteromonas sp. OX=232 GN=polA PE=3 SV=1,0.004632,0.003326,0.000699,0.002301,0.002415,0.00173,0.24,0.72,0.056,0.15,0.034,1.05,0.027,0.75,DNA polymerase I OS=Alteromonas sp. OX=232 GN=polA PE=3 SV=1,,-0.4739311883324124,-2.736965594166206,0.070389327891398,-0.4150374992788438,0.24,0.056,0.034,0.027,,empty
A0A359K8V9,3,3,12.61655,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1,248543.9,493579.9,1304860.0,306448.5,1115422.0,57717.04,1064522.0,529686.2,1492816.0,2829276.0,6017102.0,17483824.0,5235839.0,65882.56,396104.4,78968.93,224118.1,402368.1,2189617.0,243711.6,1184670.0,222613.6,811637.7,637819.0,7187555.0,1323835.0,1102947.0,0.000455,0.001028,0.001023,8.6e-05,0.000644,0.000441,0.00221,0.004035,0.003244,8.77e-05,0.00021,0.000981,0.000394,0.000362,0.000642,0.004007,0.002721,0.002505,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1,0.000835,0.00039,0.003163,0.000426,0.00167,0.002021,0.011,0.47,0.012,3.79,0.428,3.92,0.031,4.74,DUF1329 domain-containing protein OS=Alteromonas sp. OX=232 GN=DEH24_17975 PE=4 SV=1,DEH24_17975,-1.0892673380970874,1.922197848396367,1.9708536543404835,2.2448870591235344,0.011,0.012,0.428,0.031,,unresolved
A0A359K537,2,2,7.293119,Electron transfer flavoprotein subunit alpha OS=Alteromonas sp. OX=232 GN=DEH24_07385 PE=3 SV=1,190669.0,92653.13,54303.95,21268.3,116417.2,132516.2,599579.6,63742.59,468634.7,36449.11,183264.1,519553.0,1849746.0,30979.6,56422.47,7428.605,75797.79,60345.56,368234.6,14511.28,55903.22,22103.32,289536.3,61872.61,511234.1,92430.6,87456.36,0.000349,4.28e-05,0.000107,0.000197,7.74e-05,0.000138,2.85e-05,0.00012,0.001146,4.12e-05,1.97e-05,0.000147,2.35e-05,3.59e-05,6.23e-05,0.000285,0.00019,0.000199,Electron transfer flavoprotein subunit alpha OS=Alteromonas sp. OX=232 GN=DEH24_07385 PE=3 SV=1,0.000166,0.000138,0.000432,6.93e-05,0.000128,0.000185,0.345,0.83,0.289,2.6,0.217,1.84,0.055,2.67,Electron transfer flavoprotein subunit alpha OS=Alteromonas sp. OX=232 GN=DEH24_07385 PE=3 SV=1,DEH24_07385,-0.2688167584278,1.3785116232537298,0.8797057662822882,1.4168397419128291,0.345,0.289,0.217,0.055,,unresolved
A0A359K162,10,10,66.24029,Elongation factor G (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_03810 PE=4 SV=1,869565.6,1376025.0,1596169.0,780714.6,2524410.0,1449840.0,5007192.0,1352367.0,6367596.0,14338111.0,20572473.0,118000000.0,34464248.0,521006.0,1448560.0,351283.7,421882.3,1246706.0,3617448.0,1419687.0,3554237.0,996528.4,2886556.0,2191790.0,44765872.0,6847461.0,3423080.0,0.001591,0.001258,0.002315,0.002159,0.001643,0.00188,0.0112,0.027336,0.021355,0.000693,0.000933,0.003038,0.002296,0.00162,0.002205,0.024957,0.014075,0.007775,Elongation factor G (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_03810 PE=4 SV=1,0.001721,0.001894,0.019964,0.001555,0.009594,0.007857,0.316,1.1,0.031,11.6,0.282,6.17,0.065,5.05,Elongation factor G (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_03810 PE=4 SV=1,DEH24_03810,0.137503523749935,3.5360529002402097,2.625270489374693,2.3362833878644325,0.316,0.031,0.282,0.065,,unresolved
A0A359KA31,4,4,16.60494,Elongation factor Ts OS=Alteromonas sp. OX=232 GN=tsf PE=3 SV=1,736948.5,593081.0,526402.9,216675.3,836656.3,722679.3,1194763.0,580969.9,1691141.0,2211725.0,6223968.0,9248956.0,4252448.0,309887.3,1416618.0,191202.7,441670.9,502315.7,5007758.0,506591.8,936790.4,270716.9,479399.2,575561.1,2736722.0,1385838.0,1654102.0,0.001348,0.000415,0.000767,0.001076,0.000706,0.000499,0.001728,0.002135,0.002635,0.000412,0.000508,0.001224,0.000819,0.00044,0.000579,0.001526,0.002849,0.003757,Elongation factor Ts OS=Alteromonas sp. OX=232 GN=tsf PE=3 SV=1,0.000844,0.00076,0.002166,0.000715,0.000848,0.002483,0.35,0.9,0.054,2.57,0.385,1.19,0.023,3.47,Elongation factor Ts OS=Alteromonas sp. OX=232 GN=tsf PE=3 SV=1,,-0.1520030934450499,1.3617683594191534,0.2509615735332187,1.7949356628035362,0.35,0.054,0.385,0.023,,empty
A0A359K9E1,3,3,26.93965,Enolase OS=Alteromonas sp. OX=232 GN=eno PE=3 SV=1,8974138.0,13324814.0,21689278.0,9149234.0,32758019.0,9894835.0,40380910.0,15303211.0,56272241.0,26535005.0,39143291.0,102000000.0,48936176.0,7356835.0,21865549.0,4539795.0,13775636.0,7081449.0,28881571.0,8921978.0,25274459.0,8411186.0,22703948.0,15230677.0,77894771.0,15330492.0,11753489.0,0.016419,0.017093,0.030045,0.014736,0.018592,0.016616,0.020728,0.023617,0.030322,0.009789,0.012052,0.017258,0.014427,0.013671,0.015326,0.043426,0.031513,0.026696,Enolase OS=Alteromonas sp. OX=232 GN=eno PE=3 SV=1,0.021186,0.016648,0.024889,0.013033,0.024141,0.026465,0.211,0.79,0.09,1.17,0.263,1.85,0.049,2.03,Enolase OS=Alteromonas sp. OX=232 GN=eno PE=3 SV=1,,-0.3400754415976217,0.2265085298086797,0.8875252707415875,1.0214797274104517,0.211,0.09,0.263,0.049,,empty
A0A359K9B0,2,2,9.549983,Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Alteromonas sp. OX=232 GN=fabV PE=3 SV=1,1978280.0,2060228.0,3521133.0,594911.1,1460190.0,2762917.0,7481405.0,397210.2,763057.3,282315.8,645626.6,3503357.0,1574383.0,324907.1,737283.9,470809.2,1175367.0,424425.2,2090440.0,3058569.0,654408.3,1419081.0,3344883.0,500522.2,3297479.0,663517.4,395960.7,0.003619,0.002775,0.001339,0.004115,0.000483,0.000225,0.000221,0.000809,0.000976,0.000432,0.00125,0.001034,0.004946,0.002306,0.000504,0.001838,0.001364,0.000899,Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Alteromonas sp. OX=232 GN=fabV PE=3 SV=1,0.002578,0.001608,0.000668,0.000905,0.001549,0.001614,0.176,0.62,0.081,0.26,0.188,1.71,0.218,1.78,Enoyl-[acyl-carrier-protein] reductase [NADH] OS=Alteromonas sp. OX=232 GN=fabV PE=3 SV=1,,-0.6896598793878495,-1.9434164716336324,0.7739963251111731,0.8318772411916731,0.176,0.081,0.188,0.218,,empty
A0A359K3Z2,2,2,6.291609,Excinuclease ABC subunit UvrA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_08725 PE=4 SV=1,819338.0,756959.8,1409984.0,700010.2,3651992.0,752516.0,4316040.0,1766220.0,7040444.0,149030.9,193878.2,1426576.0,204559.0,533078.7,1842452.0,321728.5,1157782.0,635705.7,701780.9,877223.3,105493.4,873873.1,3756665.0,1317539.0,102292.9,16644.25,198322.6,0.001499,0.001111,0.00335,0.001121,0.002146,0.002079,0.000116,0.000329,0.000127,0.000709,0.000854,0.001549,0.001418,0.00142,0.001326,5.7e-05,3.42e-05,0.00045,Excinuclease ABC subunit UvrA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_08725 PE=4 SV=1,0.001987,0.001782,0.000191,0.001038,0.000934,0.000824,0.395,0.9,0.067,0.1,0.175,0.9,0.011,0.79,Excinuclease ABC subunit UvrA (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_08725 PE=4 SV=1,DEH24_08725,-0.1520030934450499,-3.321928094887362,-0.1520030934450499,-0.3400754415976217,0.395,0.067,0.175,0.011,,unresolved
A0A359KAY4,2,2,8.80497,Fatty acid metabolism regulator protein OS=Alteromonas sp. OX=232 GN=fadR PE=3 SV=1,80649.88,29374.53,26226.87,12878.82,37501.67,13182.62,73477.77,17867.18,247402.6,398925.9,67928.74,1892347.0,373374.9,1729.616,6321.366,1130.091,3359.859,955.217,62654.51,2461.651,33220.47,4935.272,9452.747,4420.009,651201.2,69142.0,16751.0,0.000148,2.07e-05,3.44e-05,1.96e-05,2.17e-05,7.31e-05,0.000312,0.000437,0.000231,2.3e-06,3e-06,2.33e-06,3.98e-06,8.02e-06,4.45e-06,0.000363,0.000142,3.8e-05,Fatty acid metabolism regulator protein OS=Alteromonas sp. OX=232 GN=fadR PE=3 SV=1,6.75e-05,3.81e-05,0.000327,2.54e-06,0.000125,8.26e-05,0.309,0.56,0.041,4.84,0.054,49.22,0.102,32.47,Fatty acid metabolism regulator protein OS=Alteromonas sp. OX=232 GN=fadR PE=3 SV=1,,-0.8365012677171204,2.27500704749987,5.621172752683435,5.021035479511363,0.309,0.041,0.054,0.102,,empty
A0A359KC41,4,4,12.53138,Fe-S cluster assembly ATPase SufC OS=Alteromonas sp. OX=232 GN=sufC PE=3 SV=1,103354.0,277459.6,117554.9,86223.19,158391.2,156272.5,943755.4,159601.4,1019299.0,422922.1,269036.5,3106351.0,460906.2,67100.61,164076.3,87330.83,99290.89,48093.27,249574.1,98731.71,24121.28,295515.2,78033.54,149470.8,1437849.0,140421.9,669282.3,0.000189,9.26e-05,0.000145,0.000233,0.000194,0.000301,0.00033,0.000717,0.000286,8.93e-05,0.000232,0.000117,0.00016,0.00048,0.00015,0.000802,0.000289,0.00152,Fe-S cluster assembly ATPase SufC OS=Alteromonas sp. OX=232 GN=sufC PE=3 SV=1,0.000142,0.000243,0.000444,0.000146,0.000477,0.00065,0.045,1.7,0.101,3.12,0.11,3.27,0.102,4.45,Fe-S cluster assembly ATPase SufC OS=Alteromonas sp. OX=232 GN=sufC PE=3 SV=1,,0.765534746362977,1.6415460290875237,1.709290635723358,2.1538053360790355,0.045,0.101,0.11,0.102,,empty
A0A359K9V0,2,2,7.233957,Fe-S cluster assembly protein SufB (Fragment) OS=Alteromonas sp. OX=232 GN=sufB PE=3 SV=1,312758.5,311757.6,582997.0,192249.2,687394.8,411246.4,1394340.0,370717.1,1052571.0,548470.7,442626.2,1270017.0,527020.8,216211.9,612818.3,160326.6,565145.7,273527.7,2185201.0,622473.5,539872.3,484915.0,1472156.0,478956.8,580801.5,431999.6,244900.5,0.000572,0.000459,0.00063,0.000612,0.00045,0.000311,0.000428,0.000293,0.000327,0.000288,0.000426,0.000667,0.001007,0.000788,0.000482,0.000324,0.000888,0.000556,Fe-S cluster assembly protein SufB (Fragment) OS=Alteromonas sp. OX=232 GN=sufB PE=3 SV=1,0.000554,0.000458,0.000349,0.00046,0.000531,0.000666,0.242,0.83,0.027,0.63,0.187,1.16,0.265,1.45,Fe-S cluster assembly protein SufB (Fragment) OS=Alteromonas sp. OX=232 GN=sufB PE=3 SV=1,,-0.2688167584278,-0.6665762662748083,0.2141248053528473,0.5360529002402097,0.242,0.027,0.187,0.265,,empty
A0A359K8J1,3,3,19.19572,Ferric uptake regulation protein OS=Alteromonas sp. OX=232 GN=fur PE=3 SV=1,225748.4,419527.0,162139.1,66115.82,395302.4,243118.7,1237278.0,104956.4,893787.8,10180422.0,7949606.0,17721329.0,7679689.0,178791.7,567361.0,115605.5,812379.4,186004.4,501746.9,191046.3,1009669.0,96927.01,578304.1,140105.3,13340400.0,1882333.0,536615.1,0.000413,0.000128,0.000363,0.000362,0.000128,0.000264,0.007953,0.00409,0.004759,0.000238,0.000307,0.000453,0.000309,0.000158,0.000141,0.007437,0.003869,0.001219,Ferric uptake regulation protein OS=Alteromonas sp. OX=232 GN=fur PE=3 SV=1,0.000301,0.000251,0.0056,0.000333,0.002579,0.001796,0.11,0.83,0.021,18.6,0.181,7.75,0.088,5.4,Ferric uptake regulation protein OS=Alteromonas sp. OX=232 GN=fur PE=3 SV=1,,-0.2688167584278,4.217230716220669,2.954196310386876,2.4329594072761065,0.11,0.021,0.181,0.088,,empty
A0A359K339,2,2,11.50022,Flagellin OS=Alteromonas sp. OX=232 GN=DEH24_06795 PE=3 SV=1,1605764.0,2423903.0,2461922.0,2224491.0,2675914.0,2532076.0,523363.6,2706929.0,7079793.0,2680626.0,7903899.0,2606490.0,4349239.0,1401855.0,2428349.0,989019.3,1947835.0,1712597.0,4906215.0,2445468.0,2230329.0,824557.7,3793162.0,3259444.0,8905641.0,1538454.0,1400639.0,0.002938,0.00194,0.002454,0.003771,0.003289,0.00209,0.002094,0.000602,0.002695,0.001865,0.002626,0.004174,0.003954,0.00134,0.00328,0.004965,0.003162,0.003181,Flagellin OS=Alteromonas sp. OX=232 GN=DEH24_06795 PE=3 SV=1,0.002444,0.00305,0.001797,0.002888,0.003195,0.002929,0.177,1.25,0.15,0.74,0.49,1.11,0.269,1.01,Flagellin OS=Alteromonas sp. OX=232 GN=DEH24_06795 PE=3 SV=1,DEH24_06795,0.3219280948873623,-0.4344028241457749,0.1505596765753813,0.01435529297707,0.177,0.15,0.49,0.269,,unresolved
A0A359K565,5,5,19.60545,Fumarate hydratase class I OS=Alteromonas sp. OX=232 GN=DEH24_11340 PE=3 SV=1,118880.9,297971.4,503747.1,67631.55,192163.9,199254.8,1633693.0,69550.56,99253.78,137103.4,367233.6,1397656.0,1008011.0,25716.3,64085.73,66450.71,277344.3,50464.51,580947.9,125044.7,1127587.0,143812.2,336225.5,53951.31,935797.2,50550.86,82519.4,0.000217,0.000397,0.000176,0.000297,8.45e-05,2.93e-05,0.000107,0.000323,0.000625,3.42e-05,0.000176,0.000123,0.000202,0.000234,5.43e-05,0.000522,0.000104,0.000187,Fumarate hydratase class I OS=Alteromonas sp. OX=232 GN=DEH24_11340 PE=3 SV=1,0.000264,0.000137,0.000351,0.000111,0.00027,0.000185,0.19,0.52,0.337,1.33,0.262,2.43,0.222,1.66,Fumarate hydratase class I OS=Alteromonas sp. OX=232 GN=DEH24_11340 PE=3 SV=1,DEH24_11340,-0.9434164716336324,0.4114262457264649,1.2809563138310562,0.7311832415721999,0.19,0.337,0.262,0.222,,unresolved
A0A359K867,5,5,20.38241,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1,16255238.0,35180843.0,64865658.0,27130050.0,80892574.0,21001325.0,128000000.0,33906357.0,149000000.0,4718804.0,21762499.0,95873092.0,15973167.0,16234052.0,39126326.0,7911751.0,27346286.0,12894592.0,77852999.0,28679011.0,73320637.0,23815703.0,84472037.0,28344193.0,30487412.0,4790234.0,4036861.0,0.02974,0.051121,0.074194,0.031277,0.041193,0.044052,0.003686,0.022129,0.009897,0.0216,0.021003,0.031425,0.046374,0.038708,0.028521,0.016997,0.009847,0.009169,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1,0.051685,0.038841,0.011904,0.024676,0.028075,0.023567,0.15,0.75,0.042,0.23,0.127,1.14,0.067,0.96,Glucose-6-phosphate 1-dehydrogenase OS=Alteromonas sp. OX=232 GN=zwf PE=3 SV=1,,-0.4150374992788438,-2.120294233717712,0.1890338243900168,-0.0588936890535685,0.15,0.042,0.127,0.067,,empty
A0A359K180,2,2,8.137974,Glucose-6-phosphate isomerase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_04200 PE=3 SV=1,41444.41,106802.7,106814.6,36176.68,108768.3,61230.87,131788.5,118854.3,90978.31,100363.7,4177924.0,8440476.0,5467624.0,36113.7,314938.4,31323.44,22379.74,125853.0,159668.3,40621.74,31471.91,64441.98,39518.02,263988.2,5173652.0,577487.2,214006.9,7.58e-05,8.42e-05,9.98e-05,9.12e-05,0.000144,2.69e-05,7.84e-05,0.001948,0.003388,4.81e-05,8.32e-05,0.000307,6.57e-05,0.000105,0.000266,0.002884,0.001187,0.000486,Glucose-6-phosphate isomerase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_04200 PE=3 SV=1,8.66e-05,8.75e-05,0.001805,0.000146,0.001085,0.000587,0.492,1.01,0.106,20.84,0.489,7.43,0.11,4.02,Glucose-6-phosphate isomerase (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_04200 PE=3 SV=1,DEH24_04200,0.01435529297707,4.381283372503783,2.8933622107638715,2.007195501404204,0.492,0.106,0.489,0.11,,unresolved
A0A359K582,3,3,14.96727,Glutamate synthase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11000 PE=4 SV=1,351350.1,289299.4,609876.3,246251.7,996498.8,320830.1,1047966.0,522299.6,1582415.0,2765929.0,3374803.0,9118302.0,2566321.0,180833.5,816307.1,87894.26,259194.7,175854.3,1057189.0,315293.2,454121.1,207505.1,685033.9,328470.1,3200203.0,656229.3,1150829.0,0.000643,0.000481,0.000914,0.000478,0.000635,0.000467,0.002161,0.002105,0.00159,0.000241,0.000233,0.000429,0.00051,0.000337,0.000331,0.001784,0.001349,0.002614,Glutamate synthase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11000 PE=4 SV=1,0.000679,0.000527,0.001952,0.000301,0.000817,0.001547,0.236,0.78,0.026,2.87,0.239,2.72,0.018,5.14,Glutamate synthase small subunit (Fragment) OS=Alteromonas sp. OX=232 GN=DEH24_11000 PE=4 SV=1,DEH24_11000,-0.3584539709124763,1.5210507369009632,1.4436066514756147,2.361768359419153,0.236,0.026,0.239,0.018,,unresolved
A0A359K885,6,6,39.72802,Glycine dehydrogenase (decarboxylating) OS=Alteromonas sp. OX=232 GN=gcvP PE=3 SV=1,366827.7,488315.1,1196721.0,249553.6,685481.3,118489.7,1859723.0,218783.5,385146.2,2687456.0,3499035.0,13387877.0,1850573.0,157078.9,297399.6,226421.5,604361.8,163645.9,480500.9,564476.0,997652.1,490001.6,1380888.0,246713.5,3990949.0,403583.6,1024547.0,0.000671,0.000943,0.000629,0.000176,0.000266,0.000114,0.002099,0.00309,0.001147,0.000209,0.000601,0.000399,0.000913,0.000796,0.000248,0.002225,0.00083,0.002327,Glycine dehydrogenase (decarboxylating) OS=Alteromonas sp. OX=232 GN=gcvP PE=3 SV=1,0.000748,0.000185,0.002112,0.000403,0.00109,0.001301,0.005,0.25,0.051,2.82,0.21,2.7,0.07,3.23,Glycine dehydrogenase (decarboxylating) OS=Alteromonas sp. OX=232 GN=gcvP PE=3 SV=1,,-2.0,1.4956951626240689,1.4329594072761065,1.6915341649192002,0.005,0.051,0.21,0.07,,empty
A0A359KAX0,3,3,9.071634,Glycine--tRNA ligase alpha subunit OS=Alteromonas sp. OX=232 GN=glyQ PE=3 SV=1,101192.6,83156.45,70961.09,30152.63,52244.46,124001.8,258109.0,56377.95,387803.1,908349.4,356404.4,212665.4,749845.1,19810.81,142520.9,26818.3,59088.01,74981.27,911404.3,30817.97,240784.1,35849.5,65690.01,154085.7,67730.64,289966.8,507548.0,0.000185,5.59e-05,4.79e-05,0.000185,6.85e-05,0.000115,0.00071,4.91e-05,0.000465,2.64e-05,7.12e-05,0.000183,4.98e-05,5.83e-05,0.000155,3.78e-05,0.000596,0.001153,Glycine--tRNA ligase alpha subunit OS=Alteromonas sp. OX=232 GN=glyQ PE=3 SV=1,9.63e-05,0.000123,0.000408,9.34e-05,8.37e-05,0.000615,0.165,1.27,0.097,4.23,0.372,0.9,0.106,6.58,Glycine--tRNA ligase alpha subunit OS=Alteromonas sp. OX=232 GN=glyQ PE=3 SV=1,,0.3448284969974411,2.0806576633452254,-0.1520030934450499,2.718087583960517,0.165,0.097,0.372,0.106,,empty
A0A359K4G1,2,2,7.313265,Glycosyl transferase OS=Alteromonas sp. OX=232 GN=DEH24_09630 PE=4 SV=1,1260.878,10211.08,1351.747,827.5702,4340.782,1157.291,37113.49,13641.73,890.0907,1468.459,218413.0,1054702.0,202855.3,4968.704,1711.171,7341.067,31341.43,4365.98,38519.13,4152.216,33566.61,2695.24,4662.738,6289.811,154089.9,18073.75,28134.48,2.31e-06,1.07e-06,3.98e-06,1.72e-06,1.66e-05,2.63e-07,1.15e-06,0.000243,0.000126,6.61e-06,1.95e-05,1.06e-05,6.71e-06,4.38e-06,6.33e-06,8.59e-05,3.72e-05,6.39e-05,Glycosyl transferase OS=Alteromonas sp. OX=232 GN=DEH24_09630 PE=4 SV=1,2.45e-06,6.19e-06,0.000123,1.22e-05,3.22e-05,3.45e-05,0.297,2.52,0.114,50.35,0.145,2.63,0.054,2.82,Glycosyl transferase OS=Alteromonas sp. OX=232 GN=DEH24_09630 PE=4 SV=1,DEH24_09630,1.3334237337251915,5.653919873119422,1.3950627995175775,1.4956951626240689,0.297,0.114,0.145,0.054,,unresolved
A0A359K340,5,5,26.52632,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1,1097998.0,652104.1,1331541.0,678827.1,2552700.0,1024114.0,2127972.0,1081648.0,7903714.0,12923658.0,2142251.0,14203498.0,2158431.0,365615.4,940126.0,288410.5,451525.0,397644.0,2402610.0,373176.1,925200.9,507772.2,1535195.0,760939.6,3949270.0,446347.8,409689.8,0.002009,0.001049,0.002341,0.001525,0.001314,0.002334,0.010095,0.003278,0.001337,0.000486,0.000766,0.000969,0.000603,0.000825,0.000766,0.002202,0.000917,0.000931,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1,0.0018,0.001724,0.004904,0.00074,0.001264,0.001216,0.381,0.96,0.182,2.72,0.468,1.71,0.194,1.64,GMP synthase [glutamine-hydrolyzing] OS=Alteromonas sp. OX=232 GN=guaA PE=3 SV=1,,-0.0588936890535685,1.4436066514756147,0.7739963251111731,0.7136958148433589,0.381,0.182,0.468,0.194,,empty
