gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term_ncbi,go_component,go_function,go_process,old_locus_tags,start_cyanorak,end_cyanorak,strand_cyanorak,locus_tag_cyanorak,gene_names_cyanorak,Ontology_term_cyanorak,cluster_number,cyanorak_Role,cyanorak_Role_description,eggNOG,eggNOG_description,kegg,kegg_description,ontology_term_description,product_cyanorak,protein_domains,protein_domains_description,tIGR_Role,tIGR_Role_description,position_merge_note,ec_numbers
BL107_RS04035,,BL107_RS04035,BL107_08961,Protein Homology,798646.0,799842.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360651.1,HEAT repeat domain-containing protein,WP_037988738.1,GO:0005515,,protein binding|0005515||IEA,,BL107_08961,798646.0,799848.0,-,CK_Syn_BL107_08961,mpeY,"GO:0017007,GO:0016829,GO:0030089",CK_00001396,J.5.4,Phycobilin lyase,"COG1413,NOG267786,bactNOG16269,cyaNOG02474","COG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"protein-bilin linkage,protein-bilin linkage,lyase activity,protein-bilin linkage,lyase activity,phycobilisome",putative phycobilin:C-phycoerythrin II lyase,PF13646,HEAT repeats,164,Energy metabolism / Photosynthesis,,
BL107_RS12155,,BL107_RS12155,BL107_08966,Protein Homology,800002.0,800322.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360650.1,hypothetical protein,WP_009788999.1,,,,,BL107_08966,800002.0,800322.0,+,CK_Syn_BL107_08966,unk9,,CK_00001835,R.2,Conserved hypothetical proteins,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
BL107_RS04040,,BL107_RS04040,BL107_08971,Protein Homology,800322.0,800618.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789000.1,Nif11-like leader peptide family natural product precursor,WP_009789000.1,,,,,BL107_08971,800322.0,800618.0,+,CK_Syn_BL107_08971,unk8,,CK_00002116,R.1,Conserved hypothetical domains,,,,,,nif11-like leader peptide domain protein,"TIGR03798,PF07862,IPR012903,IPR022516","nif11-like leader peptide domain,Nif11 domain,Nif11 domain,Nif11-like leader peptide","156,157","Hypothetical proteins / Conserved,Unknown function / General",,
BL107_RS04045,,BL107_RS04045,BL107_08976,Protein Homology,800654.0,800875.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789001.1,Nif11-like leader peptide family natural product precursor,WP_009789001.1,,,,,BL107_08976,800654.0,800875.0,+,CK_Syn_BL107_08976,unk7,,CK_00001836,R.2,Conserved hypothetical proteins,,,,,,nif11-like leader peptide domain protein,"TIGR03798,PF07862,IPR012903,IPR022516","nif11-like leader peptide domain,Nif11 domain,Nif11 domain,Nif11-like leader peptide","156,157","Hypothetical proteins / Conserved,Unknown function / General",,
BL107_RS04050,,BL107_RS04050,BL107_08981,Protein Homology,800879.0,801184.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789002.1,hypothetical protein,WP_009789002.1,,,,,BL107_08981,800879.0,801184.0,-,CK_Syn_BL107_08981,cpeR,"GO:0040029,GO:0030528,GO:0030089",CK_00001759,"J.5.3,N.1","Phycoerythrin, DNA interactions","NOG126020,COG0124,bactNOG35087,cyaNOG03300","COG: POORLY CHARACTERIZED [S] Function unknown,COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"regulation of gene expression%2C epigenetic,regulation of gene expression%2C epigenetic,obsolete transcription regulator activity,regulation of gene expression%2C epigenetic,obsolete transcription regulator activity,phycobilisome",phycoerythrin operon regulator,,,"164,261","Energy metabolism / Photosynthesis,Regulatory functions / DNA interactions",,
BL107_RS12160,,BL107_RS12160,BL107_08986,Protein Homology,801185.0,801799.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789003.1,chromophore lyase CpcT/CpeT,WP_009789003.1,,,,,BL107_08986,801185.0,801799.0,-,CK_Syn_BL107_08986,cpeT,"GO:0017007,GO:0016829,GO:0030089",CK_00001572,"D.1.9,J.5.4"," Other,Phycobilin lyase","NOG47328,COG1074,NOG11400,bactNOG22796,bactNOG55045,cyaNOG03066,cyaNOG02250","COG: POORLY CHARACTERIZED [S] Function unknown,COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",4.-.-.-,,"protein-bilin linkage,protein-bilin linkage,lyase activity,protein-bilin linkage,lyase activity,phycobilisome",putative phycoerythrobilin:phycoerythrin lyase CpeT,"PF06206,IPR010404","CpeT/CpcT family (DUF1001),Chromophore lyase CpcT/CpeT",164,Energy metabolism / Photosynthesis,,
BL107_RS12165,,BL107_RS12165,BL107_08991,Protein Homology,801814.0,802350.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360645.1,phycobiliprotein lyase,WP_009789004.1,,,,,BL107_08991,801814.0,802350.0,-,CK_Syn_BL107_08991,cpeS,"GO:0017007,GO:0030089",CK_00001397,J.5.4,Phycobilin lyase,"NOG12629,NOG42487,NOG299257,COG0840,bactNOG61890,bactNOG19378,bactNOG75460,cyaNOG00892,cyaNOG02647,cyaNOG08371","COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,COG: NT,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"protein-bilin linkage,protein-bilin linkage,phycobilisome",phycoerythrobilin:Cys-82 beta-phycoerythrin lyase,"PF09367,IPR018536","CpeS-like protein,Chromophore lyase CpcS/CpeS",164,Energy metabolism / Photosynthesis,,
BL107_RS04060,,BL107_RS04060,BL107_08996,Protein Homology,802650.0,803384.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789005.1,phycobilisome rod-core linker polypeptide,WP_009789005.1,"GO:0015979,GO:0030089",phycobilisome|0030089||IEA,,photosynthesis|0015979||IEA,BL107_08996,802650.0,803384.0,-,CK_Syn_BL107_08996,cpeE,"GO:0065003,GO:0031992,GO:0030089",CK_00008020,J.5.3,Phycoerythrin,,,,,"protein-containing complex assembly,protein-containing complex assembly,energy transducer activity,protein-containing complex assembly,energy transducer activity,phycobilisome",rod linker polypeptide (Lr)%2C C-phycoerythrin class I-associated (CpeE),"PF01383,PF00427,PS51445,PS51441,IPR001297,IPR008213","CpcD/allophycocyanin linker domain,Phycobilisome Linker polypeptide,Phycobilisome (PBS) linker domain profile.,CpcD-like domain profile.,Phycobilisome linker domain,CpcD-like domain",164,Energy metabolism / Photosynthesis,,
BL107_RS04065,,BL107_RS04065,BL107_09001,Protein Homology,803474.0,805114.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360643.1,phycobilisome rod-core linker polypeptide,WP_009789006.1,"GO:0015979,GO:0030089",phycobilisome|0030089||IEA,,photosynthesis|0015979||IEA,BL107_09001,803474.0,805114.0,-,CK_Syn_BL107_09001,mpeD,"GO:0006461,GO:0031992,GO:0030089",CK_00008022,J.5.3,Phycoerythrin,"NOG116086,NOG46050,bactNOG63424,cyaNOG05181","COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"protein-containing complex assembly,protein-containing complex assembly,energy transducer activity,protein-containing complex assembly,energy transducer activity,phycobilisome",rod linker polypeptide (Lr)%2C C-phycoerythrin I and II-associated,"PF01383,PF00427,PS51445,PS51441,IPR001297,IPR008213","CpcD/allophycocyanin linker domain,Phycobilisome Linker polypeptide,Phycobilisome (PBS) linker domain profile.,CpcD-like domain profile.,Phycobilisome linker domain,CpcD-like domain",164,Energy metabolism / Photosynthesis,,
BL107_RS04070,,BL107_RS04070,BL107_09006,Protein Homology,805174.0,806058.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360642.1,phycobilisome linker polypeptide,WP_009789007.1,,,,,BL107_09006,805174.0,806058.0,-,CK_Syn_BL107_09006,cpeC,"GO:0016038,GO:0031992,GO:0030089",CK_00001760,J.5.3,Phycoerythrin,"NOG296499,bactNOG09650,cyaNOG01898","bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"absorption of visible light,absorption of visible light,energy transducer activity,absorption of visible light,energy transducer activity,phycobilisome",phycobilisome rod linker polypeptide (Lr)%2C C-phycoerythrin class I-associated,"PF01383,PF00427,PS51441,PS51445,IPR008213,IPR001297","CpcD/allophycocyanin linker domain,Phycobilisome Linker polypeptide,CpcD-like domain profile.,Phycobilisome (PBS) linker domain profile.,CpcD-like domain,Phycobilisome linker domain",164,Energy metabolism / Photosynthesis,,
BL107_RS04075,,BL107_RS04075,BL107_09011,Protein Homology,806237.0,806941.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789008.1,pentapeptide repeat-containing protein,WP_009789008.1,,,,,BL107_09011,806237.0,806941.0,-,CK_Syn_BL107_09011,unk5,,CK_00001761,R.2,Conserved hypothetical proteins,"COG1357,bactNOG15050,cyaNOG02040","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,pentapeptide repeat-containing protein,"PF00805,IPR001646","Pentapeptide repeats (8 copies),Pentapeptide repeat",156,Hypothetical proteins / Conserved,,
BL107_RS04080,,BL107_RS04080,BL107_09016,Protein Homology,806949.0,807713.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011363456.1,phycobilisome rod-core linker polypeptide,WP_009789009.1,,,,,BL107_09016,806949.0,807713.0,-,CK_Syn_BL107_09016,cpcG2,"GO:0016038,GO:0031992,GO:0030089",CK_00000044,J.5.2,Phycocyanin,"NOG12247,bactNOG08757,cyaNOG00602","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,"absorption of visible light,absorption of visible light,energy transducer activity,absorption of visible light,energy transducer activity,phycobilisome",phycobilisome rod-core linker polypeptide CpcG2 (Lrc),"PF00427,PS51445,IPR001297","Phycobilisome Linker polypeptide,Phycobilisome (PBS) linker domain profile.,Phycobilisome linker domain",164,Energy metabolism / Photosynthesis,,
BL107_RS04085,,BL107_RS04085,BL107_09021,Protein Homology,807786.0,808358.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789010.1,phycobilisome polypeptide,WP_009789010.1,,,,,BL107_09021,807786.0,808358.0,-,CK_Syn_BL107_09021,aplA,,CK_00001837,O.3,Other,"NOG41488,COG0177,bactNOG28937,cyaNOG03054","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,COG: INFORMATION STORAGE AND PROCESSING [L] Replication%2C recombination and repair,bactNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,cyaNOG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones",,,,allophycocyanin-like protein,"PF00502,IPR012128","Phycobilisome protein,Phycobilisome%2C alpha/beta subunit",710,Signal transduction / Other,,
BL107_RS04090,,BL107_RS04090,BL107_09026,Protein Homology,808368.0,808793.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789011.1,hypothetical protein,WP_009789011.1,,,,,BL107_09026,808368.0,808793.0,-,CK_Syn_BL107_09026,unk4,"GO:0000004,GO:0005554,GO:0008372",CK_00001762,R.2,Conserved hypothetical proteins,,,,,"biological_process,biological_process,molecular_function,biological_process,molecular_function,cellular_component",conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
BL107_RS04095,,BL107_RS04095,BL107_09031,Protein Homology,809143.0,809787.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789012.1,TVP38/TMEM64 family protein,WP_009789012.1,GO:0016020,membrane|0016020||IEA,,,BL107_09031,809143.0,809787.0,-,CK_Syn_BL107_09031,unk3,,CK_00001398,R.2,Conserved hypothetical proteins,"NOG121658,COG0398,COG0477,bactNOG31650,cyaNOG02882","COG: POORLY CHARACTERIZED [S] Function unknown,COG: POORLY CHARACTERIZED [S] Function unknown,COG: GEPR,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,uncharacterized membrane protein,PF09335,SNARE associated Golgi protein,156,Hypothetical proteins / Conserved,,
BL107_RS04100,,BL107_RS04100,BL107_09036,Protein Homology,810020.0,810463.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360636.1,hypothetical protein,WP_156779378.1,,,,,BL107_09036,810020.0,810463.0,+,CK_Syn_BL107_09036,unk2A,,CK_00002915,R.2,Conserved hypothetical proteins,"NOG319025,COG0484,COG0840,bactNOG76595,cyaNOG08899","COG: CELLULAR PROCESSES AND SIGNALING [O] Posttranslational modification%2C protein turnover%2C chaperones,COG: NT,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
BL107_RS04105,,BL107_RS04105,BL107_09041,Protein Homology,810465.0,810704.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789014.1,hypothetical protein,WP_009789014.1,,,,,BL107_09041,810465.0,810704.0,-,CK_Syn_BL107_09041,unk1,,CK_00001691,R.2,Conserved hypothetical proteins,"NOG127567,bactNOG80909,cyaNOG08483","COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: POORLY CHARACTERIZED [S] Function unknown,cyaNOG: POORLY CHARACTERIZED [S] Function unknown",,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
BL107_RS04115,,BL107_RS04115,BL107_09046,Protein Homology,811263.0,811457.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789015.1,hypothetical protein,WP_009789015.1,,,,,BL107_09046,811263.0,811457.0,+,CK_Syn_BL107_09046,BL107_09046,,CK_00003184,,,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
BL107_RS04120,,BL107_RS04120,BL107_09051,GeneMarkS-2+,811507.0,811704.0,-,,,COORDINATES: ab initio prediction:GeneMarkS-2+,hypothetical protein,WP_009789016.1,,,,,BL107_09051,811507.0,811704.0,-,CK_Syn_BL107_09051,BL107_09051,,CK_00003185,,,,,,,,conserved hypothetical protein,,,156,Hypothetical proteins / Conserved,,
BL107_RS04130,,BL107_RS04130,BL107_09061,Protein Homology,812227.0,812799.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789018.1,ComF family protein,WP_009789018.1,,,,,BL107_09061,812227.0,812799.0,-,CK_Syn_BL107_09061,BL107_09061,"GO:0009116,GO:0016757",CK_00001399,"D.1.9,R.3"," Other,Enzymes of unknown specificity","COG1040,NOG67984,NOG305395,bactNOG94155,bactNOG94130,bactNOG83318,cyaNOG02758","COG: POORLY CHARACTERIZED [R] General function prediction only,COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",2.4.-.-,,"nucleoside metabolic process,nucleoside metabolic process,transferase activity%2C transferring glycosyl groups",phosphoribosyltransferase superfamily protein,"IPR029057,IPR000836","Phosphoribosyltransferase-like,Phosphoribosyltransferase domain","703,92","Unknown function / Enzymes of unknown specificity,Cellular processes / Other",,
BL107_RS04135,,BL107_RS04135,BL107_09066,Protein Homology,812997.0,813266.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011131039.1,DUF2470 domain-containing protein,WP_037988050.1,,,,,BL107_09066,812997.0,813266.0,-,CK_Syn_BL107_09066,BL107_09066,"GO:0055114,GO:0010181,GO:0016491",CK_00001208,"D.1.1,R.2","Iron,Conserved hypothetical proteins","COG0748,bactNOG40507,cyaNOG04010","COG: METABOLISM [P] Inorganic ion transport and metabolism,bactNOG: METABOLISM [P] Inorganic ion transport and metabolism,cyaNOG: METABOLISM [P] Inorganic ion transport and metabolism",,,"oxidation-reduction process,oxidation-reduction process,FMN binding,oxidoreductase activity",FMN-binding split barrel domain-containing protein,"PF10615,IPR019595,IPR012349","Protein of unknown function (DUF2470),Domain of unknown function DUF2470,FMN-binding split barrel",157,Unknown function / General,,
BL107_RS04140,,BL107_RS04140,BL107_09071,Protein Homology,813514.0,814416.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789020.1,phycobilisome rod-core linker polypeptide,WP_009789020.1,,,,,BL107_09071,813514.0,814416.0,-,CK_Syn_BL107_09071,mpeE,"GO:0006461,GO:0031992,GO:0030089",CK_00008016,J.5.3,Phycoerythrin,,,,,"protein-containing complex assembly,protein-containing complex assembly,energy transducer activity,protein-containing complex assembly,energy transducer activity,phycobilisome",rod linker polypeptide (Lr)%2C C-phycoerythrin II-associated,"PF00427,PS51445,IPR001297","Phycobilisome Linker polypeptide,Phycobilisome (PBS) linker domain profile.,Phycobilisome linker domain",164,Energy metabolism / Photosynthesis,,
BL107_RS04145,,BL107_RS04145,BL107_09076,Protein Homology,814565.0,815821.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789021.1,FGGY-family carbohydrate kinase,WP_009789021.1,"GO:0016310,GO:0005524,GO:0019200",,"ATP binding|0005524||IEA,carbohydrate kinase activity|0019200||IEA",phosphorylation|0016310||IEA,BL107_09076,814565.0,815821.0,-,CK_Syn_BL107_09076,BL107_09076,"GO:0005975,GO:0019200,GO:0016773",CK_00000566,"E.2,G.8","One-carbon metabolism, Glycogen and sugar metabolism","COG1070,bactNOG77816,bactNOG07602,bactNOG75008,bactNOG11758,cyaNOG01756","COG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,bactNOG: METABOLISM [G] Carbohydrate transport and metabolism,cyaNOG: METABOLISM [G] Carbohydrate transport and metabolism",2.7.1.-,,"carbohydrate metabolic process,carbohydrate metabolic process,carbohydrate kinase activity,phosphotransferase activity%2C alcohol group as acceptor",carbohydrate kinase%2C FGGY family,"PF02782,IPR018485","FGGY family of carbohydrate kinases%2C C-terminal domain,Carbohydrate kinase%2C FGGY%2C C-terminal",119,Energy metabolism / Sugars,,2.7.1.-
metK,metK,BL107_RS04150,BL107_09081,Protein Homology,815829.0,817055.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360628.1,methionine adenosyltransferase,WP_009789022.1,"GO:0006556,GO:0004478,GO:0005524",,"methionine adenosyltransferase activity|0004478||IEA,ATP binding|0005524||IEA",S-adenosylmethionine biosynthetic process|0006556||IEA,BL107_09081,815829.0,817055.0,-,CK_Syn_BL107_09081,metK,"GO:0006556,GO:0004478",CK_00000567,"A.2,G.1","Aspartate family (Asp%2C Asn%2C Ile%2C Lys%2C Met%2C Thr),Amino acids and amines (catabolism)","COG0192,bactNOG02937,cyaNOG02053","COG: METABOLISM [H] Coenzyme transport and metabolism,bactNOG: METABOLISM [H] Coenzyme transport and metabolism,cyaNOG: METABOLISM [H] Coenzyme transport and metabolism",2.5.1.6,Transferred to 2.5.1.6,"S-adenosylmethionine biosynthetic process,S-adenosylmethionine biosynthetic process,methionine adenosyltransferase activity",methionine adenosyltransferase,"TIGR01034,PF00438,PF02773,PF02772,PS00376,PS00377,IPR022628,IPR022630,IPR022629,IPR022631,IPR002133","methionine adenosyltransferase,S-adenosylmethionine synthetase%2C N-terminal domain,S-adenosylmethionine synthetase%2C C-terminal domain,S-adenosylmethionine synthetase%2C central domain,S-adenosylmethionine synthase signature 1.,S-adenosylmethionine synthase signature 2.,S-adenosylmethionine synthetase%2C N-terminal,S-adenosylmethionine synthetase%2C C-terminal,S-adenosylmethionine synthetase%2C central domain,S-adenosylmethionine synthetase%2C conserved site,S-adenosylmethionine synthetase","109,71","Energy metabolism / Amino acids and amines,Amino acid biosynthesis / Aspartate family",,2.5.1.6
BL107_RS04155,,BL107_RS04155,BL107_09086,Protein Homology,817080.0,817853.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011360627.1,HAD family hydrolase,WP_009789023.1,GO:0016787,,hydrolase activity|0016787||IEA,,BL107_09086,817080.0,817853.0,-,CK_Syn_BL107_09086,gph,"GO:0009441,GO:0016787",CK_00001209,G.3,Glycolate pathway,"COG0546,bactNOG15783,bactNOG90381,bactNOG16177,bactNOG101950,cyaNOG02062","COG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,bactNOG: POORLY CHARACTERIZED [R] General function prediction only,cyaNOG: POORLY CHARACTERIZED [R] General function prediction only",3.1.3.18,phosphoglycolate phosphatase%3B phosphoglycolate hydrolase%3B 2-phosphoglycolate phosphatase%3B P-glycolate phosphatase%3B phosphoglycollate phosphatase,"glycolate metabolic process,glycolate metabolic process,hydrolase activity",putative phosphoglycolate phosphatase,"TIGR01509,TIGR01549,TIGR01662,PF13419,IPR006549,IPR023214,IPR006439,IPR023214,IPR036412","HAD hydrolase%2C family IA%2C variant 3,HAD hydrolase%2C family IA%2C variant 1,HAD hydrolase%2C family IIIA,Haloacid dehalogenase-like hydrolase,HAD-superfamily hydrolase%2Csubfamily IIIA,HAD superfamily,HAD hydrolase%2C subfamily IA,HAD superfamily,HAD-like superfamily",164,Energy metabolism / Photosynthesis,,3.-.-.-
BL107_RS04160,,BL107_RS04160,BL107_09091,Protein Homology,817861.0,818964.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789024.1,30S ribosomal protein S1,WP_009789024.1,,,,,BL107_09091,817861.0,818964.0,-,CK_Syn_BL107_09091,rpsA1,"GO:0006412,GO:0003723,GO:0003735,GO:0019843,GO:0005840,GO:0030529,GO:0022627",CK_00000568,K.2,Ribosomal proteins: synthesis and modification,"COG0539,bactNOG02760,cyaNOG00075","COG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,bactNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis,cyaNOG: INFORMATION STORAGE AND PROCESSING [J] Translation%2C ribosomal structure and biogenesis",,,"translation,translation,RNA binding,structural constituent of ribosome,rRNA binding,translation,RNA binding,structural constituent of ribosome,rRNA binding,ribosome,ribonucleoprotein complex,cytosolic small ribosomal subunit",30S ribosomal protein S1,"PF00575,PS50126,IPR003029","S1 RNA binding domain,S1 domain profile.,S1 domain",158,Protein synthesis / Ribosomal proteins: synthesis and modification,,
nrdR,nrdR,BL107_RS04165,BL107_09096,Protein Homology,819079.0,819555.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011826818.1,transcriptional regulator NrdR,WP_037988739.1,"GO:0006355,GO:0008270,GO:0140110",,"zinc ion binding|0008270||IEA,transcription regulator activity|0140110||IEA",regulation of DNA-templated transcription|0006355||IEA,BL107_09096,819079.0,819561.0,-,CK_Syn_BL107_09096,BL107_09096,"GO:0030528,GO:0045449",CK_00000569,N.1, DNA interactions,"COG1327,bactNOG29818,cyaNOG02867","COG: INFORMATION STORAGE AND PROCESSING [K] Transcription,bactNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription,cyaNOG: INFORMATION STORAGE AND PROCESSING [K] Transcription",,,"obsolete transcription regulator activity,obsolete transcription regulator activity,regulation of transcription%2C DNA-templated",transcriptional regulator%2C NrdR family,"TIGR00244,PF03477,PS51161,IPR005144,IPR003796","transcriptional regulator NrdR,ATP cone domain,ATP-cone domain profile.,ATP-cone domain,Ribonucleotide reductase regulator NrdR-like",261,Regulatory functions / DNA interactions,,
psbB,psbB,BL107_RS04175,BL107_09101,Protein Homology,819886.0,821445.0,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789026.1,photosystem II chlorophyll-binding protein CP47,WP_009789026.1,"GO:0009772,GO:0015979,GO:0016168,GO:0045156,GO:0009523,GO:0016020","photosystem II|0009523||IEA,membrane|0016020||IEA","chlorophyll binding|0016168||IEA,electron transporter%2C transferring electrons within the cyclic electron transport pathway of photosynthesis activity|0045156||IEA","photosynthetic electron transport in photosystem II|0009772||IEA,photosynthesis|0015979||IEA",BL107_09101,819886.0,821445.0,-,CK_Syn_BL107_09101,psbB,"GO:0019684,GO:0015979,GO:0016168,GO:0009769,GO:0009539,GO:0009523",CK_00000570,J.8,Photosystem II,"NOG05024,COG0767,bactNOG03733,cyaNOG00809","COG: POORLY CHARACTERIZED [S] Function unknown,COG: METABOLISM [Q] Secondary metabolites biosynthesis%2C transport and catabolism,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"photosynthesis%2C light reaction,photosynthesis,photosynthesis%2C light reaction,photosynthesis,chlorophyll binding,photosynthesis%2C light harvesting in photosystem II,photosynthesis%2C light reaction,photosynthesis,chlorophyll binding,photosynthesis%2C light harvesting in photosystem II,photosystem II reaction center,photosystem II",photosystem II chlorophyll-binding protein CP47,"TIGR03039,PF00421,IPR017486,IPR000932","photosystem II chlorophyll-binding protein CP47,Photosystem II protein,Photosystem II CP47 reaction centre protein,Photosystem antenna protein-like",164,Energy metabolism / Photosynthesis,,
BL107_RS04180,,BL107_RS04180,BL107_09106,Protein Homology,821631.0,822107.0,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_009789027.1,2Fe-2S iron-sulfur cluster-binding protein,WP_009789027.1,GO:0051536,,iron-sulfur cluster binding|0051536||IEA,,BL107_09106,821631.0,822107.0,+,CK_Syn_BL107_09106,petF,"GO:0006810,GO:0022900,GO:0009055,GO:0046872,GO:0051536,GO:0051537",CK_00000571,"D.1.1,G.2,J.10","Iron,Electron transport,Soluble electron carriers","COG0633,NOG252634,NOG271856,bactNOG41452,bactNOG55117,cyaNOG03577","COG: METABOLISM [C] Energy production and conversion,COG: POORLY CHARACTERIZED [S] Function unknown,bactNOG: METABOLISM [C] Energy production and conversion,bactNOG: METABOLISM [C] Energy production and conversion,cyaNOG: METABOLISM [C] Energy production and conversion",,,"transport,electron transport chain,transport,electron transport chain,electron transfer activity,metal ion binding,iron-sulfur cluster binding,2 iron%2C 2 sulfur cluster binding",2Fe-2S ferredoxin,"PF00111,PS51085,IPR001041,IPR012675","2Fe-2S iron-sulfur cluster binding domain,2Fe-2S ferredoxin-type iron-sulfur binding domain profile.,2Fe-2S ferredoxin-type iron-sulfur binding domain,Beta-grasp domain superfamily",112,Energy metabolism / Electron transport,,
