RAST annotation gene number,Locus ID,RAST RegionID (Chromosome_start_stop),RAST Annotation,"Periodic in co-cultured, L:D cultures","Periodic in co-cultured, extended darkness cultures",periodicity_cluster
3842,MIT1002_3836 ,contig00060_9455_7140,FIG00722912: hypothetical protein,Y,,coculture_LD
3844,MIT1002_3838 ,contig00060_11172_10618,Glutathione peroxidase (EC 1.11.1.9),Y,,coculture_LD
3862,MIT1002_3854 ,contig00060_23853_23680,hypothetical protein,Y,,coculture_LD
3873,MIT1002_3866 ,contig00061_4587_5846,Proton/glutamate symport protein @ Sodium/glutamate symport protein,Y,,coculture_LD
3881,MIT1002_3874 ,contig00061_17224_16439,"SeqA protein, negative modulator of initiation of replication",Y,,coculture_LD
3908,MIT1002_3900 ,contig00062_20477_21760,Peptidase B (EC 3.4.11.23),Y,,coculture_LD
3945,MIT1002_3937 ,contig00064_7629_6613,"transcriptional regulator, LacI family",Y,,coculture_LD
3957,MIT1002_3948 ,contig00064_20067_19084,hypothetical protein,Y,,coculture_LD
3958,MIT1002_3949 ,contig00064_20713_21171,hypothetical protein,Y,,coculture_LD
3959,MIT1002_3950 ,contig00064_22172_21189,FIG00952692: hypothetical protein,Y,,coculture_LD
3974,MIT1002_3965 ,contig00065_19797_20306,Conserved uncharacterized protein CreA,Y,,coculture_LD
3975,MIT1002_3966 ,contig00065_21182_20418,hypothetical protein,Y,,coculture_LD
3997,MIT1002_3987 ,contig00067_5608_6843,NADP-dependent malic enzyme (EC 1.1.1.40),Y,,coculture_LD
4005,MIT1002_3995 ,contig00067_12159_13073,"thioesterase domain, putative",Y,,coculture_LD
4009,MIT1002_3999 ,contig00067_16085_17320,Predicted signal transduction protein,Y,,coculture_LD
4032,MIT1002_4022 ,contig00069_355_765,hypothetical protein,Y,,coculture_LD
4033,MIT1002_4023 ,contig00069_1065_2267,"Carboxynorspermidine dehydrogenase, putative (EC 1.1.1.-)",Y,,coculture_LD
4035,MIT1002_4025 ,contig00069_4433_3666,putative lipopolysaccharide biosynthesis glycosyltransferase,Y,,coculture_LD
4036,MIT1002_4026 ,contig00069_4792_4517,hypothetical protein,Y,,coculture_LD
4038,MIT1002_4028 ,contig00069_5857_7857,LppC putative lipoprotein,Y,,coculture_LD
4054,MIT1002_4044 ,contig00070_8537_7251,Probable lipoprotein signal peptide,Y,,coculture_LD
4068,MIT1002_4061 ,contig00071_5690_4410,Glutamate-1-semialdehyde aminotransferase (EC 5.4.3.8),Y,,coculture_LD
4073,MIT1002_4066 ,contig00071_12100_12783,hypothetical protein,Y,,coculture_LD
4078,MIT1002_4072 ,contig00072_5944_3620,Putative formate dehydrogenase oxidoreductase protein,Y,,coculture_LD
4087,MIT1002_4081 ,contig00073_1177_2517,Response regulator NasT,Y,,coculture_LD
4091,MIT1002_4085 ,contig00073_4904_4263,Alkylated DNA repair protein,Y,,coculture_LD
4096,MIT1002_4090 ,contig00073_10957_8555,Zinc-regulated outer membrane receptor,Y,,coculture_LD
4105,MIT1002_4100 ,contig00075_1789_2034,hypothetical protein,Y,,coculture_LD
4106,MIT1002_4101 ,contig00075_2143_2262,hypothetical protein,Y,,coculture_LD
4109,MIT1002_4104 ,contig00075_4223_4774,hypothetical protein,Y,,coculture_LD
4134,MIT1002_4128 ,contig00078_2266_1499,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),Y,,coculture_LD
4147,MIT1002_4143 ,contig00080_2898_1912,Biotin-protein ligase (EC 6.3.4.15) / Biotin operon repressor,Y,,coculture_LD
4163,MIT1002_4160 ,contig00083_1837_2466,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92),Y,,coculture_LD
4195,MIT1002_4194 ,contig00101_330_1355,Mobile element protein,Y,,coculture_LD
4199,MIT1002_4201 ,contig00106_90_1124,Mobile element protein,Y,,coculture_LD
4201,MIT1002_4204 ,contig00108_1270_779,CopG protein,Y,,coculture_LD
4206,MIT1002_4209 ,contig00113_295_101,hypothetical protein,Y,,coculture_LD
4213,MIT1002_4213,contig00122_359_27,hypothetical protein,Y,,coculture_LD
