Synonym,Product,Expression  9313 t=20+0.01,Expression  9313+ diluted 1a3 T=20  +0.01,q Value,log 2 fold change coculture/axenic
PMT1057,UDP pyrophosphate synthase,48.01,47.01,0.067841331,-0.030367255
PMT0341,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),445.01,435.01,0.097037157,-0.03278919
PMT1068,type II alternative sigma-70 family RNA polymerase sigma factor,43.01,42.01,0.062350291,-0.033939345
PMT1994,two-component response regulator,215.01,210.01,0.051358844,-0.033945734
PMT0001,DNA polymerase III subunit beta,80.01,78.01,0.080850892,-0.036521253
PMT0705,hypothetical protein,39.01,38.01,0.136605433,-0.037464973
PMT2175,50S ribosomal protein L9,373.01,363.01,0.051822053,-0.039205017
PMT2085,"ATP-dependent Clp protease, Hsp 100, ATP-binding subunit ClpB",36.01,35.01,0.075101813,-0.040630538
PMT2038,phosphoribosylaminoimidazole carboxylase,35.01,34.01,0.1332466,-0.041808056
PMT0411,transaldolase,104.01,101.01,0.070682164,-0.042224115
PMT1807,aspartate carbamoyltransferase catalytic subunit,33.01,32.01,0.070008982,-0.044380462
PMT0250,hypothetical protein,64.01,62.01,0.071657167,-0.045796419
PMT2141,hypothetical protein,31.01,30.01,0.073934946,-0.047290207
PMT1991,P-type ATPase transporter for copper,61.01,59.01,0.055315515,-0.048086272
PMT1495,DnaJ-like protein,60.01,58.01,0.071048511,-0.048901311
PMT0006,hypothetical protein,90.01,87.01,0.088823841,-0.048904074
PMT1101,oxidoreductase,686.01,663.01,0.343292179,-0.049198977
PMT0186,formamidopyrimidine-DNA glycosylase,148.01,143.01,0.064535596,-0.049578621
PMT1330,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,27.01,26.01,0.12027369,-0.054427241
PMT0163,shikimate kinase,52.01,50.01,0.080942571,-0.056572433
PMT1897,cytochrome b559 subunit beta,13821.01,13271.01,0.742517735,-0.058584875
PMT2273,hypothetical protein,125.01,120.01,0.069086374,-0.05888888
PMT0815,magnesium chelatase subunit H,211.01,202.01,0.334505269,-0.06288466
PMT1808,methylpurine-DNA glycosylase (MPG),23.01,22.01,0.127821333,-0.064101838
PMT0266,peptide ABC transporter,45.01,43.01,0.066480095,-0.065573433
PMT1553,sodium/solute symporter family protein,45.01,43.01,0.048086276,-0.065573433
PMT0576,carboxypeptidase,67.01,64.01,0.069743496,-0.066079099
PMT1400,hypothetical protein,67.01,64.01,0.056225965,-0.066079099
PMT1959,glycosyl transferase family protein,22.01,21.01,0.091832734,-0.067082983
PMT0626,hypothetical protein,308.01,294.01,0.060580775,-0.067111965
PMT1752,50S ribosomal protein L36,863.01,822.01,0.083532551,-0.070221332
PMT1052,aminopeptidase N,42.01,40.01,0.07588918,-0.070372157
PMT0874,hypothetical protein,143.01,136.01,0.084755325,-0.072403303
PMT1058,hypothetical protein,40.01,38.01,0.081282885,-0.073981603
PMT0088,protease,115.01,109.01,0.071596693,-0.077298821
PMT0864,hypothetical protein,19.01,18.01,0.088139763,-0.077960351
PMT0862,hypothetical protein,38.01,36.01,0.072299164,-0.077981426
PMT1381,hypothetical protein,38.01,36.01,0.087124607,-0.077981426
PMT2095,hypothetical protein,38.01,36.01,0.083995569,-0.077981426
PMT1769,photosystem I P700 chlorophyll a apoprotein A2,15965.01,15123.01,0.552418708,-0.078168142
PMT0855,isochorismatase hydrolase family protein,56.01,53.01,0.078999838,-0.079419888
PMT1159,cysteinyl-tRNA synthetase,37.01,35.01,0.053033448,-0.080148074
PMT0329,hypothetical protein,92.01,87.01,0.05264076,-0.080609449
PMT0461,hypothetical protein,18.01,17.01,0.173425697,-0.08241504
PMT1874,hypothetical protein,18.01,17.01,0.162359708,-0.08241504
PMT0114,dTDP-4-dehydrorhamnose reductase,36.01,34.01,0.089506183,-0.082438593
PMT2154,cyclic nucleotide-binding domain-containing protein,36.01,34.01,0.117240842,-0.082438593
PMT1227,GTP cyclohydrolase I,381.01,359.01,0.141777865,-0.085804833
PMT1760,50S ribosomal protein L31,1115.01,1050.01,0.24469767,-0.086653581
PMT2205,hypothetical protein,17.01,16.01,0.111338172,-0.087409833
PMT1545,ABC transporter ATP-binding protein,65.01,61.01,0.096087536,-0.091615923
PMT2018,NADH dehydrogenase subunit J,145.01,136.01,0.098052803,-0.092439665
PMT1952,GDP-mannose pyrophosphorylase,63.01,59.01,0.097614096,-0.094621351
PMT0202,hypothetical protein,61.01,57.01,0.091140587,-0.097830729
PMT0208,Delta 1-pyrroline-5-carboxylate reductase,61.01,57.01,0.05315148,-0.097830729
PMT1444,HSP70 family molecular chaperone,136.01,127.01,0.079198679,-0.098770638
PMT0206,hypothetical protein,15.01,14.01,0.161228028,-0.099467021
PMT2131,hypothetical protein,30.01,28.01,0.179748289,-0.099501336
PMT0793,ribonucleotide reductase (class II),638.01,595.01,0.402226289,-0.100665121
PMT0096,capsular polysaccharide biosynthesis protein,43.01,40.01,0.057593058,-0.104311503
PMT0400,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,43.01,40.01,0.055985343,-0.104311503
PMT1887,protoporphyrin IX magnesium chelatase subunit ChlD,57.01,53.01,0.07867575,-0.104950461
PMT2235,urease subunit beta,225.01,209.01,0.075396337,-0.106417151
PMT0671,hypothetical protein,28.01,26.01,0.191885767,-0.106875584
PMT0344,tRNA-specific 2-thiouridylase MnmA,69.01,64.01,0.102407209,-0.108508124
PMT0027,UDP-N-acetylmuramate--L-alanine ligase,68.01,63.01,0.088840995,-0.110166082
PMT0046,hypothetical protein,81.01,75.01,0.056755152,-0.111017065
PMT0979,hypothetical protein,108.01,100.01,0.071993946,-0.111020627
PMT0647,DNA polymerase III subunit alpha,94.01,87.01,0.319845749,-0.111633008
PMT1647,neutral invertase-like protein,94.01,87.01,0.07354276,-0.111633008
PMT0408,hypothetical protein,526.01,486.01,0.073856091,-0.114104228
PMT1246,NAD binding site,26.01,24.01,0.087952564,-0.115430996
PMT1145,ABC transporter substrate-binding protein,39.01,36.01,0.055094867,-0.115446399
PMT0064,aspartate semialdehyde dehydrogenase,78.01,72.01,0.083866607,-0.115461806
PMT1588,acetyl-CoA carboxylase biotin carboxylase subunit,167.01,154.01,0.084292757,-0.11691046
PMT0122,hypothetical protein,38.01,35.01,0.179864649,-0.118611963
PMT0657,hypothetical protein,303.01,279.01,0.100060024,-0.119048576
PMT1740,50S ribosomal protein L29,2016.01,1856.01,0.461469943,-0.119298311
PMT1677,CpeS-like protein,138.01,127.01,0.085708932,-0.119830716
PMT2143,multidrug ABC transporter,25.01,23.01,0.066494528,-0.120244074
PMT1688,low molecular weight phosphotyrosine protein phosphatase,75.01,69.01,0.089149025,-0.120277509
PMT0428,phosphofructokinase,37.01,34.01,0.106543171,-0.12195613
PMT0634,hypothetical protein,49.01,45.01,0.125902364,-0.122830582
PMT1063,alpha/beta fold family hydrolase,159.01,146.01,0.073454787,-0.123050318
PMT0109,ABC transporter,73.01,67.01,0.056192598,-0.123717673
PMT1064,hypothetical protein,72.01,66.01,0.066646375,-0.125512669
PMT1244,uridylate kinase,72.01,66.01,0.060758481,-0.125512669
PMT1369,ribonuclease P protein component,476.01,436.01,0.075860206,-0.126630658
PMT0395,nitrilase,95.01,87.01,0.101071324,-0.12689815
PMT1800,photosystem II manganese-stabilizing protein,3414.01,3124.01,0.672575856,-0.128068213
PMT1228,short chain dehydrogenase,317.01,290.01,0.08592194,-0.128425703
PMT0187,photosystem I reaction center subunit IV,598.01,547.01,0.084677182,-0.128602402
PMT0868,hypothetical protein,35.01,32.01,0.085095063,-0.129244385
PMT0909,DAACS family glutamate/aspartate/dicarboxylate symporter,23.01,21.01,0.058851645,-0.131184822
PMT0474,glutamate decarboxylase,136.01,124.01,0.086281585,-0.133256266
PMT0679,pyruvate kinase,100.01,91.01,0.078754796,-0.136047283
PMT0018,pili biogenesis protein,22.01,20.01,0.100001847,-0.137437978
PMT2044,hypothetical protein,22.01,20.01,0.202504467,-0.137437978
PMT1566,hypothetical protein,33.01,30.01,0.17904648,-0.13745982
PMT2257,shikimate 5-dehydrogenase,109.01,99.01,0.098429161,-0.138814337
PMT1967,integral membrane protein,75.01,68.01,0.094245136,-0.14133605
PMT0058,glycosyl transferase family protein,85.01,77.01,0.092749501,-0.142586763
PMT2062,glutaredoxin,74.01,67.01,0.154547183,-0.143343809
PMT0890,Sec7 domain-containing protein,21.01,19.01,0.193445778,-0.14431763
PMT0578,glycyl-tRNA synthetase subunit beta,31.01,28.01,0.072009531,-0.146791543
PMT1102,glucose-6-phosphate 1-dehydrogenase,41.01,37.01,0.061680187,-0.148060608
PMT1320,Tat family protein secretion protein,102.01,92.01,0.102550515,-0.148848014
PMT0471,glutathione S-transferase,61.01,55.01,0.099142147,-0.149351828
PMT0748,proton extrusion protein PcxA,91.01,82.01,0.100060024,-0.150225237
PMT1625,"NADH dehydrogenase, transport associated",121.01,109.01,0.080234205,-0.150665787
PMT1547,delta-aminolevulinic acid dehydratase,131.01,118.01,0.082603894,-0.15076782
PMT1292,hypothetical protein,141.01,127.01,0.092833838,-0.150855387
PMT0080,photosystem II reaction center protein Z,775.01,698.01,0.078493542,-0.15096722
PMT1626,"GTP-binding protein, transport associated",50.01,45.01,0.11554108,-0.15197104
PMT1708,hypothetical protein,79.01,71.01,0.101697755,-0.154013055
PMT1267,hypothetical protein,286.01,257.01,0.077572032,-0.154241096
PMT0030,cyclophilin type peptidyl-prolyl cis-trans isomerase,157.01,141.01,0.076571525,-0.15505897
PMT0586,hypothetical protein,915.01,821.01,0.08341046,-0.156387716
PMT1111,hypothetical protein,68.01,61.01,0.083027113,-0.156701161
PMT0034,hypothetical protein,77.01,69.01,0.089711464,-0.158240364
PMT0674,hypothetical protein,48.01,43.01,0.082299362,-0.158662805
PMT1487,DNA helicase,19.01,17.01,0.067871416,-0.160375391
PMT1395,histone-like DNA-binding protein,736.01,658.01,0.096671939,-0.161615859
PMT0741,ribonuclease II,66.01,59.01,0.090821346,-0.16172514
PMT0775,transcriptional-repair coupling factor,47.01,42.01,0.085008908,-0.162234895
PMT0038,penicillin amidase,169.01,151.01,0.104203612,-0.162464521
PMT1141,hypothetical protein,234.01,209.01,0.099961413,-0.162998213
PMT0099,"imidazoleglycerol-phosphate synthase, glutamine amidotransferase subunit",93.01,83.01,0.066314538,-0.164100692
PMT1239,acetolactate synthase 3 catalytic subunit,93.01,83.01,0.081745557,-0.164100692
PMT2107,universal stress protein,65.01,58.01,0.123242214,-0.164360035
PMT2216,aspartyl-tRNA synthetase,92.01,82.01,0.08274872,-0.16599083
PMT1037,hypothetical protein,55.01,49.01,0.144974597,-0.166617756
PMT1971,hypothetical protein,55.01,49.01,0.071751916,-0.166617756
PMT0721,hypothetical protein,181.01,161.01,0.08120624,-0.168919108
PMT0719,hypothetical protein,45.01,40.01,0.141039044,-0.169884936
PMT2019,NADH dehydrogenase subunit I,117.01,104.01,0.11443669,-0.169909589
PMT0130,hypothetical protein,44.01,39.01,0.069147807,-0.173987373
PMT0468,dihydroorotase,26.01,23.01,0.124679235,-0.176805416
PMT0604,photosystem II reaction center protein Psb28,354.01,313.01,0.09677554,-0.177581365
PMT1963,ribosome-binding factor A,111.01,98.01,0.077024557,-0.179688783
PMT0140,DedA family alkaline phosphatase-like protein,59.01,52.01,0.09989397,-0.18217042
PMT0318,3-methyl-2-oxobutanoate hydroxymethyltransferase,67.01,59.01,0.07172525,-0.183416949
PMT2031,phosphoribose diphosphate:decaprenyl-phosphate phosphoribosyltransferase,25.01,22.01,0.147356689,-0.184345912
PMT1768,photosystem I reaction center protein subunit XI,5101.01,4483.01,0.615539147,-0.186315211
PMT0530,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,66.01,58.01,0.078999838,-0.186382979
PMT1784,ATP-dependent protease La,336.01,295.01,0.102761898,-0.187740311
PMT0469,"CaCA family, sodium/calcium exchanger",49.01,43.01,0.071048511,-0.188404015
PMT1199,carboxysome structural protein CsoS1,179.01,157.01,0.109704246,-0.189183735
PMT1823,phosphoglucosamine mutase,16.01,14.01,0.140633041,-0.192516352
PMT0715,leucyl-tRNA synthetase,48.01,42.01,0.100060024,-0.19260215
PMT0695,50S ribosomal protein L28,615.01,537.01,0.092964447,-0.195660915
PMT1193,ATP phosphoribosyltransferase catalytic subunit,94.01,82.01,0.070696473,-0.197014389
PMT0582,hypothetical protein,86.01,75.01,0.115755035,-0.197421463
PMT0398,3-phosphoshikimate 1-carboxyvinyltransferase,39.01,34.01,0.07714709,-0.197884992
PMT1911,polysialic acid capsule expression protein KpsF,70.01,61.01,0.106174861,-0.198515276
PMT0120,tRNA delta(2)-isopentenylpyrophosphate transferase,23.01,20.01,0.163121632,-0.201539816
PMT0106,N-acetylneuraminate synthase,84.01,73.01,0.129158449,-0.202466987
PMT0522,hypothetical protein,91.01,79.01,0.093568604,-0.203989813
PMT0677,FtsH ATP-dependent protease-like protein,257.01,223.01,0.533343496,-0.204716091
PMT2189,multidrug efflux ABC transporter,15.01,13.01,0.190771717,-0.206303015
PMT1750,preprotein translocase subunit SecY,373.01,323.01,0.535092073,-0.207635478
PMT1835,peptidyl-tRNA hydrolase,332.01,287.01,0.111771675,-0.210125691
PMT1648,cytochrome b6-f complex subunit IV,874.01,755.01,0.568274828,-0.211154034
PMT1646,serum resistance locus BrkB-like protein,29.01,25.01,0.124971099,-0.214045238
PMT2272,hypothetical protein,101.01,87.01,0.104203612,-0.215245003
PMT1696,pheromone A receptor,64.01,55.01,0.178177192,-0.218603406
PMT1790,hypothetical protein,14.01,12.01,0.111303193,-0.222220805
PMT1839,glycoside hydrolase family protein,21.01,18.01,0.068970602,-0.222277981
PMT1333,3-oxoacyl-ACP reductase,181.01,155.01,0.102831745,-0.223708112
PMT0875,O-Acetyl homoserine sulfhydrylase,104.01,89.01,0.103601722,-0.22468291
PMT2009,NAD(P)H-quinone oxidoreductase subunit F,421.01,360.01,0.402487296,-0.22581752
PMT1266,hypothetical protein,55.01,47.01,0.218174295,-0.226726222
PMT0749,cobinamide kinase,41.01,35.01,0.152482753,-0.228208682
PMT1392,hypothetical protein,27.01,23.01,0.086632458,-0.231232656
PMT1229,acetyl-CoA carboxylase carboxyltransferase subunit alpha,81.01,69.01,0.138620067,-0.231294575
PMT1234,hypothetical protein,195.01,166.01,0.099961413,-0.232277958
PMT1925,2-dehydro-3-deoxyphosphooctonate aldolase,87.01,74.01,0.125503252,-0.233461002
PMT0280,SAM-binding motif-containing protein,20.01,17.01,0.097037157,-0.234338026
PMT1376,30S ribosomal protein S14,696.01,591.01,0.120174519,-0.235925493
PMT0014,RNA recognition motif-containing protein,46.01,39.01,0.138775945,-0.238103458
PMT0472,hypothetical protein,46.01,39.01,0.16178397,-0.238103458
PMT0656,hypothetical protein,46.01,39.01,0.10568256,-0.238103458
PMT1134,hypothetical protein,46.01,39.01,0.085854203,-0.238103458
PMT0351,PhoH-like phosphate starvation-inducible protein,85.01,72.01,0.142977475,-0.239435293
PMT1103,glucose 6-phosphate dehydrogenase effector OpcA,98.01,83.01,0.114212129,-0.239643811
PMT0441,hypothetical protein,104.01,88.01,0.138618551,-0.24098288
PMT0005,DNA gyrase/topoisomerase IV subunit A,32.01,27.01,0.136761627,-0.245029037
PMT0660,esterase/lipase/thioesterase family protein,19.01,16.01,0.223504092,-0.247785224
PMT2215,glycine cleavage system aminomethyltransferase T,63.01,53.01,0.114622342,-0.249316269
PMT0194,hypothetical protein,69.01,58.01,0.193801354,-0.250503814
PMT0478,hypothetical protein,100.01,84.01,0.117454466,-0.25151129
PMT0917,hypothetical protein,106.01,89.01,0.134163194,-0.252161029
PMT0013,argininosuccinate lyase,31.01,26.01,0.111918802,-0.253667127
PMT1045,glyceraldehyde 3-phosphate dehydrogenase,2662.01,2232.01,0.482537571,-0.2541725
PMT0447,plastocyanin,373.01,312.01,0.115633399,-0.25762204
PMT2129,hypothetical protein,79.01,66.01,0.176576191,-0.259350663
PMT0338,hypothetical protein,674.01,563.01,0.621495216,-0.259609449
PMT0321,hypothetical protein,115.01,96.01,0.093185826,-0.260502724
PMT1992,photosystem I assembly protein Ycf3,139.01,116.01,0.126991214,-0.2609395
PMT0596,carbamoyl-phosphate synthase L chain,12.01,10.01,1,-0.262794177
PMT2016,inorganic polyphosphate/ATP-NAD kinase,18.01,15.01,0.200444302,-0.262874204
PMT0620,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,36.01,30.01,0.147296717,-0.262954281
PMT0592,insulinase family protein,42.01,35.01,0.0907296,-0.262965724
PMT2099,hypothetical protein,48.01,40.01,0.133922985,-0.262974307
PMT2204,hypothetical protein,54.01,45.01,0.08695909,-0.262980984
PMT0141,single-stranded DNA-binding protein,66.01,55.01,0.156291095,-0.262990695
PMT0322,D-alanyl-alanine synthetase A,72.01,60.01,0.138488489,-0.262994337
PMT0090,hypothetical protein,353.01,294.01,0.428074705,-0.263843827
PMT1061,protein ClpC,341.01,284.01,0.410970018,-0.263872318
PMT1248,transaldolase/EF-hand domain-containing protein,154.01,128.01,0.113781254,-0.266767513
PMT1265,hypothetical protein,218.01,181.01,0.136110887,-0.26832491
PMT0242,hypothetical protein,47.01,39.01,0.224181162,-0.269123682
PMT0780,phosphonate ABC transporter phosphonate-binding protein,41.01,34.01,0.128551199,-0.270016738
PMT1191,acetyltransferase,70.01,58.01,0.139446562,-0.271259387
PMT1591,hypothetical protein,725.01,600.01,0.503261487,-0.273014349
PMT1219,hypothetical protein,574.01,475.01,0.122274305,-0.273117985
PMT1640,high light inducible protein,104.01,86.01,0.177368176,-0.274145932
PMT0770,modulator of DNA gyrase TldD,121.01,100.01,0.112926744,-0.274982011
PMT2157,alanyl-tRNA synthetase,23.01,19.01,0.095611582,-0.275502452
PMT0683,hypothetical protein,46.01,38.01,0.165023823,-0.275568431
PMT1691,phosphoribosylaminoimidazole synthetase,57.01,47.01,0.091772198,-0.278247321
PMT0668,lactose transporter,17.01,14.01,0.205576974,-0.279926185
PMT0706,N-acetylmuramic acid 6-phosphate etherase,17.01,14.01,0.223952481,-0.279926185
PMT2070,arginyl-tRNA synthetase,17.01,14.01,0.138775945,-0.279926185
PMT0761,DHH domain-containing protein,34.01,28.01,0.089549212,-0.280017023
PMT0073,aspartate kinase,51.01,42.01,0.148751004,-0.280047315
PMT0542,CPA1 family Na(+)/H(+) antiporter,51.01,42.01,0.090047441,-0.280047315
PMT1480,hypothetical protein,962.01,792.01,0.133877848,-0.280533245
PMT0332,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,231.01,190.01,0.258269119,-0.281879957
PMT1488,8-amino-7-oxononanoate synthase,45.01,37.01,0.094750592,-0.282330429
PMT1937,Fe-S oxidoreductase,101.01,83.01,0.116833323,-0.283141077
PMT1804,hypothetical protein,202.01,166.01,0.13017386,-0.283156563
PMT0508,"ABC transporter substrate-binding protein, phosphate",39.01,32.01,0.133922985,-0.285321321
PMT2017,NADH dehydrogenase subunit K,50.01,41.01,0.207316182,-0.286240861
PMT1531,hypothetical protein,44.01,36.01,0.09677554,-0.289433772
PMT1689,bifunctional pantoate ligase/cytidylate kinase,44.01,36.01,0.09989397,-0.289433772
PMT0424,threonyl-tRNA synthetase,77.01,63.01,0.121611345,-0.289464987
PMT2185,hypothetical protein,180.01,147.01,0.14457155,-0.29216276
PMT0655,multidrug ABC transporter,92.01,75.01,0.11806179,-0.294707725
PMT0402,hypothetical protein,97.01,79.01,0.125134464,-0.29609821
PMT1454,hypothetical protein,447.01,364.01,0.136686572,-0.296329022
PMT0865,RecF protein:ABC transporter,16.01,13.01,0.114822905,-0.299352346
PMT0544,hypothetical protein,32.01,26.01,0.249425407,-0.299456278
PMT1909,"selenide,water dikinase",32.01,26.01,0.11554108,-0.299456278
PMT0311,galactosyl-1-phosphate transferase,64.01,52.01,0.110369887,-0.299508271
PMT0541,"oxidoreductase, Fe-S subunit",112.01,91.01,0.565431944,-0.299530559
PMT1009,7S seed storage protein,85.01,69.01,0.178986217,-0.300827127
PMT1407,leucyl aminopeptidase,85.01,69.01,0.136110887,-0.300827127
PMT0407,leader peptidase I,53.01,43.01,0.144213758,-0.301592409
PMT0753,hypothetical protein,132.01,107.01,0.144355936,-0.302901599
PMT0198,precorrin-2 C20-methyltransferase,21.01,17.01,0.226244839,-0.304693021
PMT0433,hypothetical protein,168.01,136.01,0.14116557,-0.304834377
PMT1231,hypothetical protein,320.01,259.01,0.138975484,-0.305109189
PMT0708,"bifunctional 3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II",68.01,55.01,0.133813785,-0.306052989
PMT1371,inner membrane protein translocase component YidC,769.01,622.01,0.463724054,-0.306064584
PMT0785,hypothetical protein,73.01,59.01,0.102059354,-0.307134622
PMT0270,Sun protein (Fmu protein),26.01,21.01,0.16373436,-0.307990237
PMT1012,Alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergens family protein,26.01,21.01,0.24865693,-0.307990237
PMT1564,phosphate-binding protein,52.01,42.01,0.227612692,-0.308056252
PMT0442,hypothetical protein,31.01,25.01,0.102538725,-0.310228468
PMT0574,hypothetical protein,62.01,50.01,0.181542094,-0.310284284
PMT0809,hypothetical protein,62.01,50.01,0.149387917,-0.310284284
PMT1776,hypothetical protein,62.01,50.01,0.212868468,-0.310284284
PMT0174,major facilitator superfamily multidrug-efflux transporter,41.01,33.01,0.101535636,-0.313072605
PMT1065,phosphatidate cytidylyltransferase,41.01,33.01,0.144471858,-0.313072605
PMT2248,phospho-2-dehydro-3-deoxyheptonate aldolase,51.01,41.01,0.102621661,-0.314804357
PMT2027,tryptophan synthase subunit beta,56.01,45.01,0.142760371,-0.315438864
PMT1268,acetylglutamate kinase,112.01,90.01,0.150617564,-0.315470341
PMT1469,F0F1 ATP synthase subunit B,1878.01,1509.01,0.484013457,-0.315602379
PMT0570,heme transporter,117.01,94.01,0.147356689,-0.3157457
PMT0551,sarcosine-dimethylglycine methyltransferase,393.01,315.01,0.385903025,-0.319168394
PMT0908,hypothetical protein,246.01,197.01,0.147404493,-0.320448099
PMT0459,hypothetical protein,256.01,205.01,0.144709915,-0.320505881
PMT0267,hypothetical protein,20.01,16.01,0.296896654,-0.321747859
PMT0691,sugar ABC transporter ATP-binding protein,20.01,16.01,0.221404692,-0.321747859
PMT1099,adaptive-response sensory kinase,30.01,24.01,0.159068791,-0.321807915
PMT0010,transcription antitermination protein NusB,35.01,28.01,0.189332416,-0.321825078
PMT2063,peptide chain release factor 2,60.01,48.01,0.116894886,-0.321867994
PMT0978,multidrug ABC transporter,89.01,71.01,0.146247495,-0.325945221
PMT0916,hypothetical protein,267.01,213.01,0.143342944,-0.325972613
PMT0802,porin,1814.01,1447.01,0.504083062,-0.326107517
PMT2167,reductase,153.01,122.01,0.176174045,-0.326626547
PMT2196,magnesium-protoporphyrin IX monomethyl ester cyclase,458.01,365.01,0.680163877,-0.327443109
PMT0789,hypothetical protein,83.01,66.01,0.107914065,-0.330600547
PMT0942,hypothetical protein,34.01,27.01,0.21278371,-0.332465366
PMT0054,photosystem I assembly-like protein Ycf37,155.01,123.01,0.174322386,-0.333585687
PMT0722,phosphopantetheine adenylyltransferase,29.01,23.01,0.264301031,-0.334289312
PMT1590,photosystem II PsbX protein,895.01,709.01,0.158155019,-0.336097826
PMT1918,hypothetical protein,72.01,57.01,0.177186284,-0.336982265
PMT2183,hypothetical protein,331.01,262.01,0.138615118,-0.337252927
PMT1233,30S ribosomal protein S1,158.01,125.01,0.150089114,-0.337972359
PMT0946,hypothetical protein,86.01,68.01,0.17842603,-0.338757513
PMT1311,hypothetical protein,19.01,15.01,0.271465572,-0.340834555
PMT1472,F0F1 ATP synthase subunit A,1725.01,1361.01,0.584148161,-0.341927058
PMT1770,photosystem I P700 chlorophyll a apoprotein A1,23415.01,18468.01,0.567033648,-0.342405235
PMT0160,thiamine biosynthesis protein ThiC,260.01,205.01,0.590904409,-0.342872827
PMT0418,ABC transporter substrate-binding protein,85.01,67.01,0.179748289,-0.343256153
PMT1299,hypothetical protein,85.01,67.01,0.168475057,-0.343256153
PMT0346,type II alternative sigma-70 family RNA polymerase sigma factor,184.01,145.01,0.130974284,-0.343631778
PMT1485,fumarate hydratase,117.01,92.01,0.133870852,-0.346769259
PMT1428,hypothetical protein,154.01,121.01,0.183088263,-0.347897756
PMT0316,PIN domain superfamily protein,107.01,84.01,0.148764116,-0.349112649
PMT0183,inositol monophosphate family protein,51.01,40.01,0.156946116,-0.350419472
PMT1889,ABC transporter ATP-binding protein,74.01,58.01,0.115563815,-0.351418597
PMT1830,ribonuclease PH,83.01,65.01,0.108857549,-0.352623491
PMT1631,hypothetical protein,46.01,36.01,0.265631897,-0.353549857
PMT1213,sodium-dependent bicarbonate transporter,276.01,216.01,0.20577215,-0.353622435
PMT1039,"lactate/malate dehydrogenase, alpha/beta",32.01,25.01,0.286807196,-0.356017619
PMT2005,NADH dehydrogenase I subunit M,181.01,141.01,0.114665051,-0.360271924
PMT1617,hypothetical protein,9.01,7.01,1,-0.362112662
PMT0878,alkylated DNA repair protein,18.01,14.01,0.237256581,-0.362341225
PMT0256,hemolysin-type calcium-binding domain-containing protein,63.01,49.01,0.42979107,-0.362504663
PMT2264,phospho-N-acetylmuramoyl-pentapeptide-transferase,81.01,63.01,0.180620168,-0.362519198
PMT1704,hypothetical protein,126.01,98.01,0.146379382,-0.362537368
PMT1100,hypothetical protein,58.01,45.01,0.176127177,-0.366056055
PMT0983,kinesin motor domain,49.01,38.01,0.271248176,-0.366697122
PMT1230,hypothetical protein,89.01,69.01,0.180625299,-0.367161995
PMT1940,C9 family peptidase,40.01,31.01,0.132030678,-0.367627103
PMT1142,hypothetical protein,239.01,185.01,0.165809033,-0.369467729
PMT0232,hydrogenase accessory protein,409.01,316.01,0.177847004,-0.372165904
PMT0079,DNA mismatch repair protein MutS,35.01,27.01,0.174467091,-0.374273422
PMT0760,CbbY-like protein,35.01,27.01,0.177915139,-0.374273422
PMT1514,neuromedin U,35.01,27.01,0.179864649,-0.374273422
PMT1729,ATPase AAA,48.01,37.01,0.189542577,-0.3754198
PMT1174,"N2,N2-dimethylguanosine tRNA methyltransferase-like protein",13.01,10.01,1,-0.378178988
PMT1425,sporulation protein SpoIID,26.01,20.01,0.152783784,-0.378345232
PMT0439,hypothetical protein,169.01,130.01,0.19234724,-0.378486015
PMT2121,aldo/keto reductase,229.01,176.01,0.122878819,-0.379753199
PMT1559,hypothetical protein,69.01,53.01,0.237094243,-0.380540892
PMT2008,hypothetical protein,146.01,112.01,0.176565601,-0.382439642
PMT1710,photosystem I protein PsaD,3432.01,2632.01,0.613036975,-0.382888786
PMT1946,phosphorylase,180.01,138.01,0.75580693,-0.383304248
PMT0162,"regulatory proteins, Crp fa",201.01,154.01,0.16256987,-0.384243246
PMT0036,HNH endonuclease:HNH nuclease,17.01,13.01,0.2664731,-0.386762179
PMT0726,hypothetical protein,34.01,26.01,0.220552388,-0.386892607
PMT0051,high light inducible protein,187.01,143.01,0.181671093,-0.386999386
PMT0707,cyclophilin type peptidyl-prolyl cis-trans isomerase,339.01,259.01,0.152087864,-0.388320031
PMT0432,hypothetical protein,55.01,42.01,0.180625299,-0.388961117
PMT2164,metallo-beta-lactamase domain-containing protein,76.01,58.01,0.155324539,-0.389887615
PMT0907,octicosapeptide repeat-containing protein,59.01,45.01,0.268326512,-0.390713894
PMT2161,TRAP-T family tripartite transporter substrate-binding protein,155.01,118.01,0.148764116,-0.393452173
PMT0633,hypothetical protein,117.01,89.01,0.187241036,-0.394592499
PMT1511,ribose-5-phosphate isomerase A,117.01,89.01,0.198598706,-0.394592499
PMT1824,soluble lytic transglycosylase,25.01,19.01,0.139297388,-0.395746526
PMT0263,pilin,616.01,468.01,0.34191787,-0.396414415
