locus_tag,number,log2_fold_change,standard_deviation,standard_error,p_value,category,definition,time_point
PMM1132,2,1.18,0.46,0.33,0.99,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1133,2,0.43,0.23,0.16,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1134,2,2.49,0.38,0.27,0.00,Other,possible Phosphatidylinositol-specific phospho,12h
PMM1135,2,2.58,0.68,0.48,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1138,2,0.41,1.20,0.85,1.00,Regulatory functions,probable GTP-binding protein,12h
PMM1139,2,0.47,1.89,1.33,1.00,Drug and analog sensitivity,possible membrane fusion protein,12h
PMM1145,2,1.14,0.15,0.10,0.42,Respiration,"putative nicotinamide nucleotide transhydrogenase, subunit beta",12h
PMM1146,2,1.42,0.19,0.13,0.34,Nicotinate and nicotinamide,"putative nicotinamide nucleotide transhydrogenase, subunit alpha 2 (A2)",12h
PMM1147,2,1.21,0.83,0.59,0.60,"DNA replication, recombination, and repair","putative nicotinamide nucleotide transhydrogenase, subunit alpha 1 (A1)",12h
PMM1148,2,-0.66,0.85,0.60,0.29,Protein modification and translation factors,possible EF-1 guanine nucleotide exchange doma,12h
PMM1149,2,1.55,0.42,0.30,0.24,Conserved hypothetical protein,conserved hypothetical,12h
PMM1150,2,1.54,0.86,0.61,0.19,Regulatory functions,putative thioredoxin reductase,12h
PMM1151,2,3.46,1.58,1.12,0.00,Protein modification and translation factors,translation initiation factor IF-1,12h
PMM1152,2,0.47,0.12,0.09,0.94,Photosystem II,putative chaperon-like protein for quinone binding in photosystem II,12h
PMM1154,2,1.98,0.33,0.23,0.01,Branched chain family,Acetolactate synthase small subunit,12h
PMM1156,2,-1.07,0.12,0.09,0.21,Photosystem I,photosystem I assembly related protein Ycf4,12h
PMM1157,2,2.04,1.07,0.76,0.53,Photosystem II,Photosystem II PsbD protein (D2),12h
PMM1158,2,1.56,0.69,0.49,1.00,Photosystem II,Photosystem II PsbC protein (CP43),12h
PMM1165,2,-0.11,0.39,0.27,0.77,Aminoacyl tRNA synthetases and tRNA modification,Glycyl-tRNA synthetase alpha subunit,12h
PMM1167,2,-0.30,0.66,0.47,0.65,Other,Macrophage migration inhibitory factor family,12h
PMM1168,2,-0.13,0.41,0.29,0.72,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1169,2,0.83,0.93,0.65,1.00,Conserved hypothetical protein,hypothetical,12h
PMM1170,2,-0.57,1.07,0.76,0.62,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1171,2,-2.64,1.03,0.73,0.00,Soluble electron carriers,Flavodoxin,12h
PMM1174,2,0.14,0.83,0.59,0.77,Conserved hypothetical protein,hypothetical,12h
PMM1176,2,0.26,1.78,1.26,0.72,Regulatory functions,"possible Helix-turn-helix protein, copG family",12h
PMM1179,2,-0.79,0.42,0.30,0.42,Regulatory functions,"putative SMR family transporter, possible pecM homologue",12h
PMM1180,2,-0.47,1.21,0.86,0.64,"Degradation of proteins, peptides, and glycopeptides",signal peptide peptidase SppA (protease IV),12h
PMM1183,2,-1.49,0.48,0.34,0.03,Ribosomal proteins,50S ribosomal protein L34,12h
PMM1184,2,-0.55,1.00,0.71,0.65,Degradation of RNA,Bacterial ribonuclease P protein component,12h
PMM1185,2,-0.32,0.65,0.46,0.57,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1186,2,0.36,0.09,0.06,0.78,Regulatory functions,Putative inner membrane protein; similar to 60 kDa inner membrane protein family,12h
PMM1188,2,0.27,0.05,0.04,1.00,Aminoacyl tRNA synthetases and tRNA modification,Seryl-tRNA synthetase,12h
PMM1190,2,-1.03,0.33,0.23,0.20,Ribosomal proteins,30S Ribosomal protein S14,12h
PMM1191,2,-1.43,0.71,0.50,0.11,"RNA synthesis, modification, and DNA transcription",polyribonucleotide nucleotidyltransferase,12h
PMM1192,2,1.40,0.20,0.14,0.24,Other,CysQ protein homolog,12h
PMM1204,2,0.76,0.19,0.13,0.59,"Surface polysaccharides, lipopolysaccharides and antigens glucose-1-phosphate cytidylyltransferase",,12h
PMM1205,2,-0.41,0.94,0.67,0.44,Sugars,"NDP-hexose 3,4-dehydratase",12h
PMM1229,2,-0.02,0.04,0.03,0.76,Respiration,"Dehydrogenase, E1 component",12h
PMM1234,2,0.46,1.32,0.93,1.00,Hydrogenase,Zinc-containing alcohol dehydrogenase superfamily,12h
PMM1235,2,0.26,0.46,0.32,1.00,Transport and binding proteins,possible N-terminal fragment of transketolase,12h
PMM1240,2,-4.52,1.41,1.00,0.00,Other,methyltransferase,12h
PMM1241,2,1.35,0.27,0.19,0.28,Conserved hypothetical protein,hypothetical protein,12h
PMM1244,2,-0.07,0.81,0.57,0.88,Conserved hypothetical protein,hypothetical protein,12h
PMM1245,2,0.14,0.72,0.51,0.90,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1250,2,0.21,0.55,0.39,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1251,2,0.03,0.59,0.42,0.73,Other,Carbamoyltransferase,12h
PMM1252,2,0.07,1.19,0.84,0.81,Other,possible acetyltransferase,12h
PMM1257,2,-1.75,0.59,0.42,0.13,"Surface polysaccharides, lipopolysaccharides and antigens possible dTDP-glucose 4,6-dehydratase",,12h
PMM1258,2,0.56,0.05,0.04,1.00,Pyridoxine,pyridoxal-phosphate-dependent aminotransferase,12h
PMM1259,2,1.53,0.23,0.16,0.21,Pyridoxine,pyridoxal-phosphate-dependent aminotransferase,12h
PMM1260,2,-0.14,0.53,0.38,0.70,Transport and binding proteins,Nucleoside-diphosphate-sugar epimerase,12h
PMM1261,2,0.24,0.64,0.45,0.77,Sugars,UDP-glucose 6-dehydrogenase,12h
PMM1262,2,1.33,0.51,0.36,0.64,Regulatory functions,"SOS function regulatory protein, LexA repressor",12h
PMM1264,2,-0.54,0.60,0.42,0.40,Cell division,cell division protein FtsH3,12h
PMM1267,2,0.93,3.28,2.32,1.00,Conserved hypothetical protein,conserved hypothetical,12h
PMM1269,2,-0.14,0.22,0.16,1.00,Transport and binding proteins,predicted sugar kinase,12h
PMM1270,2,0.04,0.62,0.44,0.76,Aminoacyl tRNA synthetases and tRNA modification,Phenylalanyl-tRNA synthetase alpha chain,12h
PMM1272,2,0.72,0.94,0.66,0.86,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1273,2,0.08,1.01,0.71,0.78,Riboflavin,putative riboflavin kinase/FAD synthase,12h
PMM1275,2,-0.39,1.66,1.18,1.00,Conserved hypothetical protein,DUF170,12h
PMM1276,2,-2.34,1.25,0.88,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1277,2,-0.32,1.22,0.87,0.56,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1283,2,0.93,0.07,0.05,0.98,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1284,2,1.42,1.28,0.90,0.48,Adaptations and atypical conditions,PhoH-like phosphate starvation-inducible protein,12h
PMM1285,2,-2.85,0.24,0.17,0.00,Ribosomal proteins,30S Ribosomal protein S16,12h
PMM1286,2,0.01,0.91,0.64,0.77,Protein and peptide secretion,signal recognition particle protein (SRP54),12h
PMM1287,2,-0.33,0.38,0.27,0.64,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1288,2,-1.00,0.56,0.40,0.37,Other,Pyruvate dehydrogenase E1 alpha subunit,12h
PMM1289,2,0.53,0.01,0.01,0.76,Transport and binding proteins,"Type II alternative RNA polymerase sigma factor, sigma-70 family",12h
PMM1293,2,0.80,0.21,0.15,1.00,Other,FKBP-type peptidyl-prolyl cis-trans isomerase (PPIase),12h
PMM1294,2,0.13,0.47,0.33,0.74,Hydrogenase,putative nickel-containing superoxide dismutase precursor (NISOD),12h
PMM1296,2,0.42,0.10,0.07,0.85,Other,marine cyanobacterial conserved hypothetical,12h
PMM1298,2,-3.62,0.10,0.07,0.00,Regulatory functions,putative dihydrolipoamide dehydrogenase,12h
PMM1299,2,-1.17,0.01,0.00,0.23,"RNA synthesis, modification, and DNA transcription",tRNA/rRNA methyltransferase (SpoU),12h
PMM1300,2,0.77,0.51,0.36,0.90,Degradation of RNA,UDP-N-glucosamine 1-carboxyvinyltransferase,12h
PMM1301,2,1.14,2.29,1.62,0.95,Glutamate family / Nitrogen assimilation,Aminotransferase class-III pyridoxal-phosphate:Acetylornithin...,12h
PMM1304,2,0.54,0.74,0.52,1.00,Other,possible cytosine deaminase,12h
PMM1305,2,0.46,1.15,0.81,0.81,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1307,2,1.04,0.03,0.02,0.91,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1309,2,0.57,0.45,0.32,1.00,Cell division,Cell division protein FtsZ:Tubulin/FtsZ family,12h
PMM1310,2,0.77,0.20,0.14,1.00,Regulatory functions,putative Ketopantoate hydroxymethyltransferase,12h
PMM1312,2,2.68,0.55,0.39,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1313,2,1.75,0.35,0.25,0.15,"Degradation of proteins, peptides, and glycopeptides",Clp protease proteolytic subunit,12h
PMM1314,2,2.91,0.83,0.59,0.00,"Degradation of proteins, peptides, and glycopeptides",Clp protease proteolytic subunit,12h
PMM1315,2,-0.64,0.13,0.09,0.33,Branched chain family,Ketol-acid reductoisomerase,12h
PMM1317,2,-0.10,1.32,0.93,0.71,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1318,2,-1.04,2.80,1.98,0.17,Conserved hypothetical protein,conserved hypothetical,12h
PMM1319,2,0.71,0.43,0.30,0.60,Drug and analog sensitivity,possible Beta-lactamase,12h
PMM1321,2,2.11,0.66,0.46,1.00,Nucleoproteins,Bacterial histone-like DNA-binding protein,12h
PMM1322,2,0.95,0.79,0.56,0.97,Other,Putative isoamylase,12h
PMM1323,2,-1.10,0.51,0.36,0.26,Regulatory functions,putative GPH family sugar transporter,12h
PMM1324,2,1.52,0.18,0.12,0.33,Transport and binding proteins,"possible transporter, membrane component",12h
PMM1325,2,0.51,0.18,0.13,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1327,2,-0.31,0.49,0.35,0.70,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1330,2,-0.76,0.70,0.50,0.77,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1331,2,0.21,0.83,0.59,0.94,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1333,2,0.83,0.37,0.26,0.64,Protein modification and translation factors,Peptide methionine sulfoxide reductase,12h
PMM1336,2,-2.69,0.17,0.12,0.00,"Fatty acid, phospholipid and sterol metabolism",Putative (3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase,12h
PMM1339,2,0.04,0.05,0.03,0.71,Purine ribonucleotide biosynthesis,SAICAR synthetase,12h
PMM1340,2,0.47,0.28,0.20,0.94,Purine ribonucleotide biosynthesis,phosphoribosylglycinamide synthetase,12h
PMM1342,2,0.71,0.49,0.35,0.97,Other,possible circadian clock protein KaiC,12h
PMM1343,2,1.70,3.05,2.16,0.91,Other,possible circadian oscillation regulator KaiB,12h
PMM1344,2,-2.28,0.70,0.50,0.00,Ribosomal proteins,50S ribosomal protein L21,12h
PMM1345,2,-3.13,0.31,0.22,0.00,Ribosomal proteins,50S ribosomal protein L27,12h
PMM1346,2,-1.69,1.11,0.79,0.06,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1349,2,1.44,1.08,0.76,0.42,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1350,2,-2.65,1.09,0.77,0.00,Other,Pentapeptide repeats,12h
PMM1351,2,0.86,0.55,0.39,0.62,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1352,2,1.40,0.94,0.67,1.00,Soluble electron carriers,ferredoxin,12h
PMM1354,2,0.01,0.42,0.30,0.69,Regulatory functions,putative D-3-phosphoglycerate dehydrogenase (PGDH),12h
PMM1355,2,1.37,0.58,0.41,0.20,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1363,2,1.52,0.72,0.51,0.26,Conserved hypothetical protein,hypothetical,12h
PMM1365,2,-0.98,1.02,0.72,0.20,Regulatory functions,possible MATH domain,12h
PMM1368,2,1.81,1.77,1.25,0.37,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1369,2,-1.97,1.81,1.28,0.00,Regulatory functions,GAF domain,12h
PMM1372,2,-0.72,0.27,0.19,0.44,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1375,2,-3.67,2.45,1.73,0.00,Conserved hypothetical protein,possible M protein repeat,12h
PMM1376,2,0.48,0.84,0.59,0.88,Nucleoproteins,RNA-binding protein RbpD,12h
PMM1377,2,-0.13,0.06,0.04,0.76,Other,"possible dihydroflavonol-4-reductase (maize, petunia, tomato)...",12h
PMM1382,2,0.80,1.95,1.38,1.00,"Fatty acid, phospholipid and sterol metabolism","fatty acid desaturase, type 2",12h
PMM1383,2,2.42,3.23,2.29,0.01,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1384,2,3.47,0.32,0.22,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1385,2,3.72,0.58,0.41,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1387,2,1.77,0.81,0.57,0.23,Conserved hypothetical protein,hypothetical,12h
PMM1388,2,1.25,0.90,0.64,0.36,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1390,2,4.81,1.26,0.89,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1391,2,2.32,1.20,0.85,0.08,Regulatory functions,"possible Helix-turn-helix protein, copG family",12h
PMM1392,2,2.70,2.08,1.47,0.01,Branched chain family,possible Heat-labile enterotoxin alpha chain,12h
PMM1394,2,0.49,1.05,0.74,0.70,Conserved hypothetical protein,hypothetical,12h
PMM1395,2,2.55,0.26,0.19,0.00,Conserved hypothetical protein,hypothetical,12h
PMM1396,2,4.17,0.20,0.14,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1397,2,3.91,0.37,0.26,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1398,2,3.64,1.29,0.91,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1399,2,3.36,0.76,0.54,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1400,2,-1.38,0.14,0.10,1.00,Other,possible Hemagglutinin-neuraminidase,12h
PMM1401,2,-1.07,0.45,0.32,0.32,Conserved hypothetical protein,conserved hypothetical,12h
PMM1402,2,-1.70,2.20,1.55,0.00,Conserved hypothetical protein,unnamed protein product,12h
PMM1404,2,4.57,0.20,0.14,0.00,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1405,2,0.07,0.78,0.55,0.81,Conserved hypothetical protein,hypothetical,12h
PMM1407,2,1.53,0.48,0.34,0.17,Other,possible SRP19 protein,12h
PMM1408,2,0.21,0.72,0.51,0.78,Conserved hypothetical protein,hypothetical,12h
PMM1409,2,2.23,0.98,0.69,0.05,Other,possible Rubredoxin,12h
PMM1412,2,2.02,0.41,0.29,0.06,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1413,2,3.52,1.24,0.88,0.00,Conserved hypothetical protein,conserved hypothetical,12h
PMM1416,2,0.86,0.19,0.13,0.97,Conserved hypothetical protein,conserved hypothetical,12h
PMM1419,2,-0.15,1.32,0.93,0.74,Transport and binding proteins,possible ATP synthase B/B' CF(0),12h
PMM1422,2,0.89,0.01,0.01,0.64,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1423,2,1.33,0.92,0.65,0.30,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1424,2,0.00,0.11,0.08,0.76,Other,possible Uncharacterized protein family UPF003,12h
PMM1427,2,2.46,0.57,0.40,0.00,Conserved hypothetical protein,conserved hypothetical,12h
PMM1428,2,-0.36,0.39,0.28,0.64,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1429,2,1.39,1.06,0.75,0.27,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1430,2,0.51,0.30,0.21,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1431,2,-0.07,0.35,0.25,0.70,"RNA synthesis, modification, and DNA transcription",putative DNA-directed RNA polymerase (omega chain),12h
PMM1434,2,1.43,0.67,0.47,0.46,Glycolysis,"Phosphoglycerate mutase, co-factor-independent (iPGM)",12h
PMM1435,2,1.74,1.25,0.89,0.13,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1436,2,-2.12,0.68,0.48,0.12,Chaperones,GroEL protein (Chaperonin cpn60),12h
PMM1437,2,-2.63,0.66,0.47,0.00,Chaperones,GroES protein (Chaperonin cpn10),12h
PMM1438,2,-3.05,0.31,0.22,0.00,ATP synthase,"ATP synthase beta subunit, central region:ATP synth...",12h
PMM1440,2,-1.60,0.17,0.12,0.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1442,2,1.57,1.19,0.84,0.16,Regulatory functions,putative aminopeptidase P,12h
PMM1443,2,0.35,0.60,0.42,1.00,Conserved hypothetical protein,Domain of unknown function DUF21,12h
PMM1449,2,1.36,1.41,1.00,0.27,Soluble electron carriers,ferredoxin,12h
PMM1451,2,-3.00,1.24,0.88,0.00,ATP synthase,"ATP synthase alpha subunit, central region:ATP synth...",12h
PMM1452,2,-5.53,0.51,0.36,0.00,ATP synthase,"ATP synthase, delta (OSCP) subunit",12h
PMM1453,2,-5.25,0.32,0.22,0.00,ATP synthase,ATP synthase B/B' CF(0),12h
PMM1454,2,-4.69,0.02,0.01,0.00,ATP synthase,ATP synthase B/B' CF(0),12h
PMM1455,2,-4.17,0.13,0.09,0.00,"Membranes, lipoproteins and porins",Eubacterial and plasma membrane ATP synthase subunit C:ATP sy...,12h
PMM1456,2,-1.49,1.43,1.01,0.04,ATP synthase,ATP synthase A subunit,12h
PMM1457,2,-3.20,0.77,0.54,0.00,Conserved hypothetical protein,possible ATP synthase subunit 1,12h
PMM1459,2,0.29,1.08,0.76,0.77,Regulatory functions,putative c-type cytochrome biogenesis protein CcdA,12h
PMM1462,2,0.01,0.77,0.54,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1463,2,0.69,0.63,0.44,0.96,Other,Nitrogen regulatory protein P-II,12h
PMM1477,2,2.22,1.30,0.92,0.01,Conserved hypothetical protein,conserved hypothetical,12h
PMM1478,2,0.56,0.75,0.53,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1479,2,0.26,0.01,0.01,0.85,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1480,2,0.86,0.10,0.07,0.55,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1482,2,-0.22,2.22,1.57,0.88,Adaptations and atypical conditions,possible high light inducible protein,12h
PMM1483,2,-0.86,0.16,0.11,0.25,"RNA synthesis, modification, and DNA transcription",RNA polymerase beta prime subunit,12h
PMM1484,2,0.21,0.23,0.16,0.76,"RNA synthesis, modification, and DNA transcription",RNA polymerase gamma subunit,12h
PMM1485,2,-0.06,0.16,0.12,0.64,"RNA synthesis, modification, and DNA transcription",RNA polymerase beta subunit,12h
PMM1487,2,-0.34,2.20,1.56,0.68,Ribosomal proteins,30s Ribosomal protein S20,12h
PMM1489,2,0.23,0.75,0.53,1.00,Other,Ribose 5-phosphate isomerase,12h
PMM1490,2,2.10,0.14,0.10,0.01,"Degradation of proteins, peptides, and glycopeptides Serine proteases, trypsin family:Chymotrypsin serine protease...",,12h
PMM1492,2,-0.50,0.49,0.35,0.45,"RNA synthesis, modification, and DNA transcription",N utilization substance protein A,12h
PMM1494,2,0.26,0.27,0.19,1.00,Protein modification and translation factors,Translation initiation factor IF-2,12h
PMM1498,2,1.00,0.49,0.34,0.65,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1499,2,0.30,0.19,0.14,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1500,2,1.35,0.20,0.14,0.51,Regulatory functions,putative aminotransferase,12h
PMM1501,2,0.13,0.03,0.02,0.74,Other,S1 RNA binding domain:Ribonuclease E and G,12h
PMM1504,2,0.40,0.66,0.47,0.80,Aromatic amino acid family,Chorismate mutase-Prephenate dehydratase,12h
PMM1506,2,-0.62,0.09,0.07,0.53,Regulatory functions,ATP-dependent protease La (LON) domain,12h
PMM1507,2,-1.19,0.65,0.46,0.15,Ribosomal proteins,30S ribosomal protein S10,12h
PMM1508,2,0.08,0.26,0.19,0.87,Protein modification and translation factors,Elongation factor Tu,12h
PMM1509,2,0.55,0.37,0.26,0.93,Protein modification and translation factors,Elongation factor G,12h
PMM1510,2,-1.26,1.24,0.87,0.10,Ribosomal proteins,30S ribosomal protein S7,12h
PMM1511,2,-3.43,0.79,0.56,0.00,Ribosomal proteins,30S ribosomal protein S12,12h
PMM1512,2,0.81,0.08,0.05,1.00,Glutamate family / Nitrogen assimilation,"Ferredoxin-dependent glutamate synthase, Fd-GOGAT",12h
PMM1514,2,-0.11,0.76,0.54,0.69,Other,lipoic acid synthetase,12h
PMM1515,2,1.15,1.12,0.79,0.45,Other,Site-specific recombinase,12h
PMM1519,2,-1.31,1.09,0.77,0.01,Photosystem I,Photosystem I PsaL protein (subunit XI),12h
PMM1520,2,-2.01,0.87,0.62,0.00,Photosystem I,photosystem I subunit VIII (PsaI),12h
PMM1523,2,-0.97,0.05,0.04,0.40,Photosystem I,Photosystem I PsaB protein,12h
PMM1524,2,-0.14,0.13,0.09,0.86,Photosystem I,Photosystem I PsaA protein,12h
PMM1528,2,-0.37,0.02,0.02,0.66,"DNA replication, recombination, and repair",HNH endonuclease family protein,12h
PMM1530,2,-0.86,0.33,0.23,0.35,Ribosomal proteins,50S ribosomal protein L31,12h
PMM1531,2,-0.84,0.31,0.22,1.00,Ribosomal proteins,30S ribosomal protein S9,12h
PMM1532,2,-2.19,0.39,0.28,0.00,Ribosomal proteins,50S ribosomal protein L13,12h
PMM1534,2,-0.82,1.09,0.77,0.23,Ribosomal proteins,50S ribosomal protein L17,12h
PMM1535,2,-0.69,0.78,0.55,0.42,"RNA synthesis, modification, and DNA transcription","Bacterial RNA polymerase, alpha chain",12h
PMM1536,2,-2.80,0.13,0.09,0.00,Ribosomal proteins,30S ribosomal protein S11,12h
PMM1537,2,-3.72,0.88,0.62,0.00,Ribosomal proteins,30S ribosomal protein S13,12h
PMM1538,2,-3.41,0.89,0.63,0.00,Ribosomal proteins,50S Ribosomal protein L36,12h
PMM1540,2,-0.68,0.01,0.01,0.48,Protein and peptide secretion,preprotein translocase SecY subunit,12h
PMM1541,2,-0.55,0.97,0.69,0.41,Ribosomal proteins,50S ribosomal protein L15,12h
PMM1542,2,-2.39,2.28,1.61,0.14,Ribosomal proteins,30S ribosomal protein S5,12h
PMM1543,2,0.01,1.25,0.88,0.71,Ribosomal proteins,50S ribosomal protein L18,12h
PMM1544,2,-0.76,0.19,0.14,0.42,Ribosomal proteins,50S ribosomal protein L6,12h
PMM1545,2,-2.04,0.11,0.08,0.01,Ribosomal proteins,30S ribosomal protein S8,12h
PMM1546,2,-1.09,1.25,0.88,0.13,Ribosomal proteins,50S ribosomal protein L5,12h
PMM1548,2,0.07,0.08,0.05,0.77,Ribosomal proteins,50S Ribosomal protein L14,12h
PMM1549,2,-0.61,0.37,0.26,0.73,Ribosomal proteins,30S Ribosomal protein S17,12h
PMM1550,2,-1.70,0.06,0.04,0.13,Ribosomal proteins,50S ribosomal protein L29,12h
PMM1551,2,-1.06,0.13,0.09,0.22,Ribosomal proteins,50S ribosomal protein L16,12h
PMM1552,2,-2.26,0.40,0.28,0.00,Ribosomal proteins,30S ribosomal protein S3,12h
PMM1553,2,-2.23,0.17,0.12,0.00,Ribosomal proteins,50S ribosomal protein L22,12h
PMM1554,2,-2.06,0.57,0.41,0.00,Ribosomal proteins,30S Ribosomal protein S19,12h
PMM1555,2,-2.44,0.14,0.10,0.00,Ribosomal proteins,50S ribosomal protein L2,12h
PMM1556,2,-1.90,0.85,0.60,0.00,Ribosomal proteins,50S ribosomal protein L23,12h
PMM1557,2,-1.91,0.19,0.13,0.00,Ribosomal proteins,50S ribosomal protein L4,12h
PMM1558,2,-4.30,1.79,1.26,0.00,Ribosomal proteins,50S ribosomal protein L3,12h
PMM1559,2,1.45,1.24,0.88,0.06,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1562,2,2.54,0.23,0.16,0.02,"DNA replication, recombination, and repair",RecA bacterial DNA recombination protein,12h
PMM1563,2,-0.25,0.58,0.41,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1566,2,-0.13,0.58,0.41,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1568,2,0.06,0.16,0.11,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1570,2,-1.59,0.17,0.12,0.00,"Cobalamin, heme, phycobilin and porphyrin",ATP:corrinoid adenosyltransferase BtuR/CobO/CobP,12h
PMM1571,2,1.07,0.43,0.31,0.49,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1575,2,1.21,0.21,0.15,0.37,Pyruvate and acetyl-CoA metabolism,Phosphoenolpyruvate carboxylase,12h
PMM1578,2,-1.24,0.03,0.02,0.20,Photosystem I,Photosystem I protein PsaD,12h
PMM1581,2,-0.22,1.02,0.72,0.56,Regulatory functions,MRP protein homolog,12h
PMM1583,2,0.64,0.10,0.07,0.93,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1585,2,-0.68,0.55,0.39,0.67,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1588,2,1.27,0.35,0.25,0.42,Regulatory functions,possible Conserved carboxylase domain,12h
PMM1594,2,0.95,0.28,0.20,0.64,"Cobalamin, heme, phycobilin and porphyrin",Heme oxygenase,12h
PMM1596,2,-0.02,0.60,0.42,0.76,Other,Isocitrate dehydrogenase,12h
PMM1599,2,-0.18,0.05,0.04,0.71,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1600,2,0.94,0.93,0.65,1.00,Transport and binding proteins,"putative Na+/H+ antiporter, CPA2 family",12h
PMM1601,2,2.52,0.31,0.22,0.00,Other,phosphorylase,12h
PMM1602,2,1.14,0.53,0.38,0.53,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1603,2,3.07,0.59,0.42,0.00,Regulatory functions,putative ribonuclease III,12h
PMM1604,2,-1.88,0.17,0.12,0.02,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1605,2,2.29,1.75,1.23,0.03,Protein modification and translation factors,possible 16S rRNA processing protein RimM,12h
PMM1606,2,-1.28,1.33,0.94,0.12,Other,Glutamine-fructose-6-phosphate transaminase (isomerizing),12h
PMM1607,2,-1.79,0.48,0.34,0.00,Photosystem I,Photosystem I subunit PsaC,12h
PMM1608,2,-2.11,1.02,0.72,0.00,"Fatty acid, phospholipid and sterol metabolism",acyl carrier protein (ACP),12h
PMM1609,2,-2.59,0.30,0.21,0.00,"Fatty acid, phospholipid and sterol metabolism",3-oxoacyl-[acyl-carrier-protein] synthase II,12h
PMM1610,2,-1.80,0.11,0.08,0.00,Other,Transketolase,12h
PMM1611,2,0.90,0.30,0.21,1.00,Thiamine,ThiC family,12h
PMM1613,2,0.46,1.12,0.79,0.78,Other,Zinc metallopeptidase M20/M25/M40 family,12h
PMM1615,2,2.44,0.14,0.10,0.00,"DNA replication, recombination, and repair",Holliday junction DNA helicase RuvB,12h
PMM1616,2,0.56,0.07,0.05,0.88,Other,tmRNA binding protein SmpB,12h
PMM1617,2,-1.04,0.37,0.26,1.00,Conserved hypothetical protein,conserved hypothetical protein,12h
PMM1619,2,-0.05,0.35,0.25,1.00,Regulatory functions,two-component response regulator,12h
PMM1622,2,0.58,0.65,0.46,1.00,Murein sacculus and peptidoglycan,Rod shape determining protein,12h
