seqid,gene_names,gene,locus_tag_ncbi,locus_tag,source,start,end,strand,Note,exception,inference,product,protein_id,Ontology_term,go_component,go_function,go_process,gene_synonym,old_locus_tags,ec_numbers
NC_008750.1,SPUTW3181_RS08410,,SPUTW3181_RS08410,Sputw3181_1612,Protein Homology,1836784,1837521,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011622250.1,YciK family oxidoreductase,WP_011788949.1,GO:0016491,,oxidoreductase activity|0016491||IEA,,,Sputw3181_1612,
NC_008750.1,SPUTW3181_RS08415,,SPUTW3181_RS08415,Sputw3181_1613,Protein Homology,1837783,1840257,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012089551.1,VolA/Pla-1 family phospholipase,WP_011788950.1,,,,,,Sputw3181_1613,
NC_008750.1,sohB,sohB,SPUTW3181_RS08420,Sputw3181_1614,Protein Homology,1840381,1841397,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006085422.1,protease SohB,WP_011788951.1,"GO:0006508,GO:0008233",,peptidase activity|0008233||IEA,proteolysis|0006508||IEA,,Sputw3181_1614,3.4.21.-
NC_008750.1,SPUTW3181_RS08425,,SPUTW3181_RS08425,Sputw3181_1615,Protein Homology,1841491,1842558,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007649257.1,DUF3083 family protein,WP_011788952.1,,,,,,Sputw3181_1615,
NC_008750.1,SPUTW3181_RS08430,,SPUTW3181_RS08430,Sputw3181_1616,Protein Homology,1842704,1843303,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011625836.1,arylesterase,WP_011788953.1,,,,,,Sputw3181_1616,
NC_008750.1,SPUTW3181_RS08435,,SPUTW3181_RS08435,Sputw3181_1617,Protein Homology,1843356,1844111,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082172.1,ABC transporter ATP-binding protein,WP_011788954.1,,,,,,Sputw3181_1617,
NC_008750.1,SPUTW3181_RS08440,,SPUTW3181_RS08440,Sputw3181_1618,Protein Homology,1844114,1846609,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610795.1,ABC transporter permease,WP_011788955.1,"GO:0055085,GO:0042626,GO:0140359,GO:0016020",membrane|0016020||IEA,"ATPase-coupled transmembrane transporter activity|0042626||IEA,ABC-type transporter activity|0140359||IEA",transmembrane transport|0055085||IEA,,Sputw3181_1618,
NC_008750.1,gltS,gltS,SPUTW3181_RS08445,Sputw3181_1619,Protein Homology,1846667,1847890,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788956.1,sodium/glutamate symporter,WP_011788956.1,"GO:0015813,GO:0015501,GO:0016020",membrane|0016020||IEA,glutamate:sodium symporter activity|0015501||IEA,L-glutamate transmembrane transport|0015813||IEA,,Sputw3181_1619,
NC_008750.1,SPUTW3181_RS08450,,SPUTW3181_RS08450,Sputw3181_1620,Protein Homology,1848406,1849299,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006085415.1,TIGR01777 family oxidoreductase,WP_011788957.1,GO:0003824,,catalytic activity|0003824||IEA,,,Sputw3181_1620,
NC_008750.1,folX,folX,SPUTW3181_RS08455,Sputw3181_1621,Protein Homology,1849394,1849765,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788958.1,dihydroneopterin triphosphate 2'-epimerase,WP_011788958.1,"GO:0006760,GO:0004150",,dihydroneopterin aldolase activity|0004150||IEA,folic acid-containing compound metabolic process|0006760||IEA,,Sputw3181_1621,5.1.99.7
NC_008750.1,SPUTW3181_RS08460,,SPUTW3181_RS08460,Sputw3181_1622,Protein Homology,1849863,1850969,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012089541.1,AI-2E family transporter,WP_011788959.1,,,,,,Sputw3181_1622,
NC_008750.1,SPUTW3181_RS08465,,SPUTW3181_RS08465,Sputw3181_1623,Protein Homology,1850977,1851891,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788960.1,class I SAM-dependent methyltransferase,WP_011788960.1,GO:0008168,,methyltransferase activity|0008168||IEA,,,Sputw3181_1623,2.1.1.-
NC_008750.1,SPUTW3181_RS08475,,SPUTW3181_RS08475,Sputw3181_1625,Protein Homology,1852324,1852752,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006085408.1,hypothetical protein,WP_011788962.1,,,,,,Sputw3181_1625,
NC_008750.1,SPUTW3181_RS08480,,SPUTW3181_RS08480,Sputw3181_1626,Protein Homology,1853256,1854866,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011787758.1,IS1634-like element ISSpu7 family transposase,WP_011787758.1,"GO:0006313,GO:0004803",,transposase activity|0004803||IEA,DNA transposition|0006313||IEA,,Sputw3181_1626,
NC_008750.1,pta,pta,SPUTW3181_RS08485,Sputw3181_1627,Protein Homology,1855002,1857155,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610793.1,phosphate acetyltransferase,WP_011788963.1,GO:0016407,,acetyltransferase activity|0016407||IEA,,,Sputw3181_1627,2.3.1.8
NC_008750.1,ackA,ackA,SPUTW3181_RS08490,Sputw3181_1628,Protein Homology,1857274,1858476,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788964.1,acetate kinase,WP_011788964.1,,,,,,Sputw3181_1628,2.7.2.1
NC_008750.1,yfbV,yfbV,SPUTW3181_RS08495,Sputw3181_1629,Protein Homology,1858617,1859060,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610792.1,terminus macrodomain insulation protein YfbV,WP_014610792.1,,,,,,Sputw3181_1629,
NC_008750.1,pflA,pflA,SPUTW3181_RS08500,Sputw3181_1630,Protein Homology,1859105,1859845,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_007649198.1,pyruvate formate lyase 1-activating protein,WP_011788966.1,"GO:0043365,GO:0051539",,"[formate-C-acetyltransferase]-activating enzyme activity|0043365||IEA,4 iron%2C 4 sulfur cluster binding|0051539||IEA",,,Sputw3181_1630,1.97.1.4
NC_008750.1,pflB,pflB,SPUTW3181_RS08505,Sputw3181_1631,Protein Homology,1859909,1862191,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011622276.1,formate C-acetyltransferase,WP_011788967.1,"GO:0005975,GO:0008861,GO:0005737",cytoplasm|0005737||IEA,formate C-acetyltransferase activity|0008861||IEA,carbohydrate metabolic process|0005975||IEA,,Sputw3181_1631,2.3.1.54
NC_008750.1,SPUTW3181_RS08510,,SPUTW3181_RS08510,Sputw3181_1632,Protein Homology,1862836,1864368,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788968.1,DUF3360 family protein,WP_011788968.1,,,,,,Sputw3181_1632,
NC_008750.1,focA,focA,SPUTW3181_RS08515,Sputw3181_1633,Protein Homology,1865285,1866898,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610790.1,formate transporter FocA,WP_011788969.1,"GO:0015724,GO:0015499,GO:0005886",plasma membrane|0005886||IEA,formate transmembrane transporter activity|0015499||IEA,formate transport|0015724||IEA,,Sputw3181_1633,
NC_008750.1,SPUTW3181_RS08520,,SPUTW3181_RS08520,Sputw3181_1634,Protein Homology,1866978,1867889,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788970.1,LysR family transcriptional regulator,WP_011788970.1,"GO:0006355,GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",regulation of DNA-templated transcription|0006355||IEA,,Sputw3181_1634,
NC_008750.1,yfcC,yfcC,SPUTW3181_RS08525,Sputw3181_1635,Protein Homology,1868245,1869798,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011716603.1,putative basic amino acid antiporter YfcC,WP_081429796.1,GO:0016020,membrane|0016020||IEA,,,,Sputw3181_1635,
NC_008750.1,SPUTW3181_RS08530,,SPUTW3181_RS08530,Sputw3181_1636,Protein Homology,1869921,1872821,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788972.1,TonB-dependent receptor domain-containing protein,WP_011788972.1,,,,,,Sputw3181_1636,
NC_008750.1,SPUTW3181_RS08540,,SPUTW3181_RS08540,Sputw3181_1637,Protein Homology,1873521,1874525,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082155.1,TDT family transporter,WP_011788973.1,,,,,,Sputw3181_1637,
NC_008750.1,SPUTW3181_RS08545,,SPUTW3181_RS08545,Sputw3181_1638,Protein Homology,1874657,1875736,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788974.1,methyltransferase,WP_011788974.1,GO:0008171,,O-methyltransferase activity|0008171||IEA,,,Sputw3181_1638,
NC_008750.1,cysK,cysK,SPUTW3181_RS08550,Sputw3181_1639,Protein Homology,1875935,1876903,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006085400.1,cysteine synthase A,WP_011788975.1,"GO:0006535,GO:0004124",,cysteine synthase activity|0004124||IEA,cysteine biosynthetic process from serine|0006535||IEA,,Sputw3181_1639,2.5.1.47
NC_008750.1,SPUTW3181_RS08555,,SPUTW3181_RS08555,Sputw3181_1640,Protein Homology,1877155,1878351,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788976.1,RDD family protein,WP_011788976.1,GO:0005886,plasma membrane|0005886||IEA,,,,Sputw3181_1640,
NC_008750.1,SPUTW3181_RS08560,,SPUTW3181_RS08560,Sputw3181_1641,Protein Homology,1878348,1879469,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011072810.1,beta-ketoacyl-ACP synthase III,WP_011788977.1,"GO:0006633,GO:0004315",,3-oxoacyl-[acyl-carrier-protein] synthase activity|0004315||IEA,fatty acid biosynthetic process|0006633||IEA,,Sputw3181_1641,
NC_008750.1,cysZ,cysZ,SPUTW3181_RS08565,Sputw3181_1642,Protein Homology,1879564,1880343,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082150.1,sulfate transporter CysZ,WP_011788978.1,"GO:0000103,GO:0015116,GO:0005886",plasma membrane|0005886||IEA,sulfate transmembrane transporter activity|0015116||IEA,sulfate assimilation|0000103||IEA,,Sputw3181_1642,
NC_008750.1,smc,smc,SPUTW3181_RS08570,Sputw3181_1643,Protein Homology,1880541,1883978,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_012587383.1,chromosome segregation protein SMC,WP_011788979.1,"GO:0007059,GO:0030261,GO:0005524",,ATP binding|0005524||IEA,"chromosome segregation|0007059||IEA,chromosome condensation|0030261||IEA",,Sputw3181_1643,
NC_008750.1,zipA,zipA,SPUTW3181_RS08575,Sputw3181_1644,Protein Homology,1884002,1885030,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006085395.1,cell division protein ZipA,WP_011788980.1,"GO:0000917,GO:0005515,GO:0016020",membrane|0016020||IEA,protein binding|0005515||IEA,division septum assembly|0000917||IEA,,Sputw3181_1644,
NC_008750.1,ligA,ligA,SPUTW3181_RS08580,Sputw3181_1645,Protein Homology,1885107,1887164,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610782.1,NAD-dependent DNA ligase LigA,WP_011788981.1,"GO:0006260,GO:0006281,GO:0003677,GO:0003911",,"DNA binding|0003677||IEA,DNA ligase (NAD+) activity|0003911||IEA","DNA replication|0006260||IEA,DNA repair|0006281||IEA",,Sputw3181_1645,6.5.1.2
NC_008750.1,SPUTW3181_RS08585,,SPUTW3181_RS08585,Sputw3181_1646,Protein Homology,1887341,1887826,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610781.1,DUF2919 domain-containing protein,WP_083758261.1,,,,,,Sputw3181_1646,
NC_008750.1,SPUTW3181_RS08590,,SPUTW3181_RS08590,Sputw3181_1647,Protein Homology,1888045,1889253,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610780.1,HD-GYP domain-containing protein,WP_011788983.1,"GO:0004112,GO:0046872",,"cyclic-nucleotide phosphodiesterase activity|0004112||IEA,metal ion binding|0046872||IEA",,,Sputw3181_1647,
NC_008750.1,SPUTW3181_RS08595,,SPUTW3181_RS08595,Sputw3181_1648,Protein Homology,1889310,1890170,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610779.1,NAD(P)-binding domain-containing protein,WP_011788984.1,,,,,,Sputw3181_1648,
NC_008750.1,SPUTW3181_RS08600,,SPUTW3181_RS08600,Sputw3181_1649,Protein Homology,1890284,1890907,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082143.1,thiol:disulfide interchange protein DsbA/DsbL,WP_011788985.1,GO:0015035,,protein-disulfide reductase activity|0015035||IEA,,,Sputw3181_1649,
NC_008750.1,SPUTW3181_RS08605,,SPUTW3181_RS08605,Sputw3181_1650,Protein Homology,1891523,1891789,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007649145.1,DUF4212 domain-containing protein,WP_011788986.1,,,,,,Sputw3181_1650,
NC_008750.1,SPUTW3181_RS08610,,SPUTW3181_RS08610,Sputw3181_1651,Protein Homology,1891801,1893537,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_016900488.1,sodium:solute symporter family protein,WP_011788987.1,"GO:0022857,GO:0016020",membrane|0016020||IEA,transmembrane transporter activity|0022857||IEA,,,Sputw3181_1651,
NC_008750.1,SPUTW3181_RS08615,,SPUTW3181_RS08615,Sputw3181_1652,Protein Homology,1893680,1895527,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_007649142.1,DUF294 nucleotidyltransferase-like domain-containing protein,WP_011788988.1,GO:0008773,,[protein-PII] uridylyltransferase activity|0008773||IEA,,,Sputw3181_1652,
NC_008750.1,SPUTW3181_RS08620,,SPUTW3181_RS08620,Sputw3181_1653,Protein Homology,1895543,1896214,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788989.1,exonuclease domain-containing protein,WP_011788989.1,GO:0004527,,exonuclease activity|0004527||IEA,,,Sputw3181_1653,
NC_008750.1,SPUTW3181_RS08625,,SPUTW3181_RS08625,Sputw3181_1654,Protein Homology,1896412,1897476,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788990.1,ketoacyl-ACP synthase III,WP_011788990.1,,,,,,Sputw3181_1654,
NC_008750.1,SPUTW3181_RS08630,,SPUTW3181_RS08630,Sputw3181_1655,Protein Homology,1897569,1898240,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012154945.1,GntR family transcriptional regulator,WP_014610775.1,"GO:0003677,GO:0003700",,"DNA binding|0003677||IEA,DNA-binding transcription factor activity|0003700||IEA",,,Sputw3181_1655,
NC_008750.1,gmhB,gmhB,SPUTW3181_RS08635,Sputw3181_1656,Protein Homology,1898592,1899143,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011716627.1,D-glycero-beta-D-manno-heptose 1%2C7-bisphosphate 7-phosphatase,WP_011788992.1,"GO:0005975,GO:0016791",,phosphatase activity|0016791||IEA,carbohydrate metabolic process|0005975||IEA,,Sputw3181_1656,3.1.3.82
NC_008750.1,SPUTW3181_RS08665,,SPUTW3181_RS08665,Sputw3181_1657,Protein Homology,1905614,1905874,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011072684.1,GrxA family glutaredoxin,WP_007648921.1,"GO:0045454,GO:0009055,GO:0015035",,"electron transfer activity|0009055||IEA,protein-disulfide reductase activity|0015035||IEA",cell redox homeostasis|0045454||IEA,,Sputw3181_1657,
NC_008750.1,SPUTW3181_RS08670,,SPUTW3181_RS08670,Sputw3181_1658,Protein Homology,1905935,1907743,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788993.1,DEAD/DEAH box helicase,WP_011788993.1,"GO:0003676,GO:0004386,GO:0005524,GO:0016887",,"nucleic acid binding|0003676||IEA,helicase activity|0004386||IEA,ATP binding|0005524||IEA,ATP hydrolysis activity|0016887||IEA",,,Sputw3181_1658,3.6.4.-
NC_008750.1,acs,acs,SPUTW3181_RS08675,Sputw3181_1659,Protein Homology,1907891,1909843,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012142210.1,acetate--CoA ligase,WP_011788994.1,"GO:0019427,GO:0003987,GO:0016208",,"acetate-CoA ligase activity|0003987||IEA,AMP binding|0016208||IEA",acetyl-CoA biosynthetic process from acetate|0019427||IEA,,Sputw3181_1659,6.2.1.1
NC_008750.1,SPUTW3181_RS08680,,SPUTW3181_RS08680,Sputw3181_1660,Protein Homology,1910019,1913456,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011788995.1,NahK/ErcS family hybrid sensor histidine kinase/response regulator,WP_011788995.1,,,,,,Sputw3181_1660,
NC_008750.1,SPUTW3181_RS08685,,SPUTW3181_RS08685,Sputw3181_1661,Protein Homology,1913512,1915113,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012587882.1,methyl-accepting chemotaxis protein,WP_011788996.1,GO:0006935,,,chemotaxis|0006935||IEA,,Sputw3181_1661,
NC_008750.1,bioA,bioA,SPUTW3181_RS08690,Sputw3181_1662,Protein Homology,1915346,1916686,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011846557.1,adenosylmethionine--8-amino-7-oxononanoate transaminase,WP_011788997.1,"GO:0009102,GO:0004015,GO:0030170",,"adenosylmethionine-8-amino-7-oxononanoate transaminase activity|0004015||IEA,pyridoxal phosphate binding|0030170||IEA",biotin biosynthetic process|0009102||IEA,,Sputw3181_1662,2.6.1.62
NC_008750.1,bioB,bioB,SPUTW3181_RS08695,Sputw3181_1663,Protein Homology,1916810,1917862,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006081265.1,biotin synthase BioB,WP_011788998.1,"GO:0009102,GO:0004076,GO:0051536,GO:1904047",,"biotin synthase activity|0004076||IEA,iron-sulfur cluster binding|0051536||IEA,S-adenosyl-L-methionine binding|1904047||IEA",biotin biosynthetic process|0009102||IEA,,Sputw3181_1663,2.8.1.6
NC_008750.1,SPUTW3181_RS08700,,SPUTW3181_RS08700,Sputw3181_1664,Protein Homology,1917867,1919078,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919478.1,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,WP_011788999.1,"GO:0016747,GO:0030170",,"acyltransferase activity%2C transferring groups other than amino-acyl groups|0016747||IEA,pyridoxal phosphate binding|0030170||IEA",,,Sputw3181_1664,2.3.-.-
NC_008750.1,bioC,bioC,SPUTW3181_RS08705,Sputw3181_1665,Protein Homology,1919217,1920026,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011789000.1,malonyl-ACP O-methyltransferase BioC,WP_011789000.1,"GO:0009102,GO:0010340",,carboxyl-O-methyltransferase activity|0010340||IEA,biotin biosynthetic process|0009102||IEA,,Sputw3181_1665,2.1.1.197
NC_008750.1,bioD,bioD,SPUTW3181_RS08710,Sputw3181_1666,Protein Homology,1920066,1920809,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919477.1,dethiobiotin synthase,WP_011789001.1,"GO:0009102,GO:0000287,GO:0004141,GO:0005524",,"magnesium ion binding|0000287||IEA,dethiobiotin synthase activity|0004141||IEA,ATP binding|0005524||IEA",biotin biosynthetic process|0009102||IEA,,Sputw3181_1666,6.3.3.3
NC_008750.1,SPUTW3181_RS08715,,SPUTW3181_RS08715,Sputw3181_1667,Protein Homology,1920909,1923203,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011789002.1,TonB-dependent receptor,WP_011789002.1,"GO:0055085,GO:0009279",cell outer membrane|0009279||IEA,,transmembrane transport|0055085||IEA,,Sputw3181_1667,
NC_008750.1,SPUTW3181_RS08720,,SPUTW3181_RS08720,Sputw3181_1668,Protein Homology,1923221,1927177,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011789003.1,cobaltochelatase subunit CobN,WP_011789003.1,"GO:0009236,GO:0051116",,cobaltochelatase activity|0051116||IEA,cobalamin biosynthetic process|0009236||IEA,,Sputw3181_1668,6.6.1.2
NC_008750.1,SPUTW3181_RS08725,,SPUTW3181_RS08725,Sputw3181_1669,Protein Homology,1927164,1927502,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919474.1,DUF2149 domain-containing protein,WP_011789004.1,,,,,,Sputw3181_1669,
NC_008750.1,SPUTW3181_RS08730,,SPUTW3181_RS08730,Sputw3181_1670,Protein Homology,1927499,1928113,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919473.1,MotA/TolQ/ExbB proton channel family protein,WP_011789005.1,,,,,,Sputw3181_1670,
NC_008750.1,SPUTW3181_RS08735,,SPUTW3181_RS08735,Sputw3181_1671,Protein Homology,1928449,1929417,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610764.1,DUF3187 family protein,WP_011789006.1,,,,,,Sputw3181_1671,
NC_008750.1,SPUTW3181_RS08740,,SPUTW3181_RS08740,Sputw3181_1672,Protein Homology,1930031,1931620,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919471.1,glucan biosynthesis protein G,WP_011789007.1,"GO:0009250,GO:0030246",,carbohydrate binding|0030246||IEA,glucan biosynthetic process|0009250||IEA,,Sputw3181_1672,
NC_008750.1,pepE,pepE,SPUTW3181_RS08745,Sputw3181_1673,Protein Homology,1931977,1932687,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011623113.1,dipeptidase PepE,WP_011789008.1,"GO:0006508,GO:0008236",,serine-type peptidase activity|0008236||IEA,proteolysis|0006508||IEA,,Sputw3181_1673,3.4.13.21
NC_008750.1,htpX,htpX,SPUTW3181_RS08750,Sputw3181_1674,Protein Homology,1932977,1933840,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011789009.1,protease HtpX,WP_011789009.1,"GO:0006508,GO:0004222",,metalloendopeptidase activity|0004222||IEA,proteolysis|0006508||IEA,,Sputw3181_1674,3.4.24.-
NC_008750.1,cctA,cctA,SPUTW3181_RS08755,Sputw3181_1675,Protein Homology,1934243,1934593,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006081299.1,tetraheme c-type cytochrome CctA,WP_011789010.1,GO:0046872,,metal ion binding|0046872||IEA,,,Sputw3181_1675,
NC_008750.1,SPUTW3181_RS08760,,SPUTW3181_RS08760,Sputw3181_1676,Protein Homology,1935331,1935966,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006081301.1,LuxR C-terminal-related transcriptional regulator,WP_011789011.1,GO:0006355,,,regulation of DNA-templated transcription|0006355||IEA,,Sputw3181_1676,
NC_008750.1,SPUTW3181_RS08765,,SPUTW3181_RS08765,Sputw3181_1677,Protein Homology,1936130,1936507,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919468.1,STAS/SEC14 domain-containing protein,WP_011789012.1,,,,,,Sputw3181_1677,
NC_008750.1,SPUTW3181_RS08770,,SPUTW3181_RS08770,Sputw3181_1678,Protein Homology,1936602,1937009,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012324570.1,YccF domain-containing protein,WP_011789013.1,,,,,,Sputw3181_1678,
NC_008750.1,SPUTW3181_RS08775,,SPUTW3181_RS08775,Sputw3181_1679,Protein Homology,1937278,1938306,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011789014.1,pyridoxal-phosphate dependent enzyme,WP_011789014.1,,,,,,Sputw3181_1679,
NC_008750.1,SPUTW3181_RS08780,,SPUTW3181_RS08780,Sputw3181_1680,Protein Homology,1938388,1939101,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610761.1,NUDIX hydrolase,WP_011789015.1,"GO:0016818,GO:0046872",,"hydrolase activity%2C acting on acid anhydrides%2C in phosphorus-containing anhydrides|0016818||IEA,metal ion binding|0046872||IEA",,,Sputw3181_1680,3.6.1.-
NC_008750.1,prs,prs,SPUTW3181_RS08785,Sputw3181_1681,Protein Homology,1939460,1940347,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919465.1,ribose-phosphate diphosphokinase,WP_011789016.1,"GO:0009165,GO:0000287,GO:0004749",,"magnesium ion binding|0000287||IEA,ribose phosphate diphosphokinase activity|0004749||IEA",nucleotide biosynthetic process|0009165||IEA,,Sputw3181_1681,2.7.6.1
NC_008750.1,SPUTW3181_RS08790,,SPUTW3181_RS08790,Sputw3181_1682,Protein Homology,1940358,1941830,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011789017.1,nicotinate phosphoribosyltransferase,WP_011789017.1,"GO:0009435,GO:0004514",,nicotinate-nucleotide diphosphorylase (carboxylating) activity|0004514||IEA,NAD biosynthetic process|0009435||IEA,,Sputw3181_1682,6.3.4.21
NC_008750.1,SPUTW3181_RS08795,,SPUTW3181_RS08795,Sputw3181_1683,Protein Homology,1941988,1942248,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006086174.1,hypothetical protein,WP_011789018.1,,,,,,Sputw3181_1683,
NC_008750.1,SPUTW3181_RS08800,,SPUTW3181_RS08800,Sputw3181_1684,Protein Homology,1942549,1942722,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082106.1,hypothetical protein,WP_006082106.1,,,,,,Sputw3181_1684,
NC_008750.1,SPUTW3181_RS08805,,SPUTW3181_RS08805,Sputw3181_1685,Protein Homology,1943345,1944052,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011919462.1,ChrR family anti-sigma-E factor,WP_011789020.1,"GO:0045892,GO:0016989",,sigma factor antagonist activity|0016989||IEA,negative regulation of DNA-templated transcription|0045892||IEA,,Sputw3181_1685,
NC_008750.1,SPUTW3181_RS08810,,SPUTW3181_RS08810,Sputw3181_1686,Protein Homology,1944045,1944707,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011847075.1,sigma-70 family RNA polymerase sigma factor,WP_011789021.1,"GO:0006352,GO:0006355,GO:0003700,GO:0016987",,"DNA-binding transcription factor activity|0003700||IEA,sigma factor activity|0016987||IEA","DNA-templated transcription initiation|0006352||IEA,regulation of DNA-templated transcription|0006355||IEA",,Sputw3181_1686,
NC_008750.1,SPUTW3181_RS08815,,SPUTW3181_RS08815,Sputw3181_1687,Protein Homology,1944842,1945393,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_012587415.1,LON peptidase substrate-binding domain-containing protein,WP_011789022.1,,,,,,Sputw3181_1687,
NC_008750.1,SPUTW3181_RS08820,,SPUTW3181_RS08820,Sputw3181_1688,Protein Homology,1945490,1946107,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011789023.1,class I SAM-dependent methyltransferase,WP_011789023.1,"GO:0032259,GO:0008168,GO:0008757,GO:1904047",,"methyltransferase activity|0008168||IEA,S-adenosylmethionine-dependent methyltransferase activity|0008757||IEA,S-adenosyl-L-methionine binding|1904047||IEA",methylation|0032259||IEA,,Sputw3181_1688,"2.1.-.-,2.1.1.-"
NC_008750.1,SPUTW3181_RS08825,,SPUTW3181_RS08825,Sputw3181_1689,Protein Homology,1946371,1947315,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_011789024.1,chemotaxis protein CheV,WP_011789024.1,,,,,,Sputw3181_1689,
NC_008750.1,SPUTW3181_RS08830,,SPUTW3181_RS08830,Sputw3181_1690,Protein Homology,1947409,1948047,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_014610756.1,hypothetical protein,WP_011789025.1,,,,,,Sputw3181_1690,
NC_008750.1,SPUTW3181_RS08835,,SPUTW3181_RS08835,Sputw3181_1691,Protein Homology,1948099,1948458,-,,,COORDINATES: similar to AA sequence:RefSeq:WP_011789026.1,DUF2750 domain-containing protein,WP_011789026.1,,,,,,Sputw3181_1691,
NC_008750.1,SPUTW3181_RS08840,,SPUTW3181_RS08840,Sputw3181_1692,Protein Homology,1948692,1949984,+,,,COORDINATES: similar to AA sequence:RefSeq:WP_006082097.1,lytic murein transglycosylase,WP_041408367.1,"GO:0009253,GO:0016757",,glycosyltransferase activity|0016757||IEA,peptidoglycan catabolic process|0009253||IEA,,Sputw3181_1692,
