Supplementary Table S4. Relative enrichment of proteins in vesicles vs. parent cells. Ratios are based on biovolume-normalized protein spectral counts from Trypsin/Lys-C based proteomes only (data from Supplementary Table S2).,,,,,,,,
,,,,,,,,
Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts)
MIT9313,Q7V9C8,DNAJ_PROMM Chaperone protein DnaJ OS=Prochlorococcus marinus (strain MIT 9313) GN=dnaJ PE=3 SV=1,molecular chaperone DnaJ,Cytoplasm,O,8.23E-08,2.87E-09,-4.844016098
MIT9313,Q7V7W8,Q7V7W8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0613 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,1.27E-08,4.41E-10,-4.850558945
MIT9313,Q7TUP0,Q7TUP0_PROMM Alanine racemase OS=Prochlorococcus marinus (strain MIT 9313) GN=alr PE=3 SV=1,alanine racemase,Cytoplasm,M,1.27E-08,4.41E-10,-4.850558945
MIT9313,Q7V5A8,Q7V5A8_PROMM Ferredoxin OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1664 PE=4 SV=1,ferredoxin,Cytoplasm,C,2.62E-08,8.82E-10,-4.89237912
MIT9312,Q31DB7,Q31DB7_PROM9 ATPase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0067 PE=4 SV=1,ABC transporter ATP-binding protein,Inner membrane,S,1.95E-08,6.54E-10,-4.897201826
MIT9312,Q318D3,ACP_PROM9 Acyl carrier protein OS=Prochlorococcus marinus (strain MIT 9312) GN=acpP PE=3 SV=1,acyl carrier protein,Cytoplasm,S,3.29E-07,1.09E-08,-4.922524365
MIT9313,Q7V4G6,Y1986_PROMM UPF0367 protein PMT_1986 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1986 PE=3 SV=1,hypothetical protein,Cytoplasm,S,1.35E-08,4.41E-10,-4.933021104
MIT9313,Q7V4D6,Q7V4D6_PROMM Citrate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=gltA PE=3 SV=1,citrate synthase,Cytoplasm,C,1.35E-08,4.41E-10,-4.933021104
MIT9313,Q7V7E3,Q7V7E3_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0805 PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,6.73E-09,2.20E-10,-4.933021105
MIT9312,Q318J3,RS17_PROM9 30S ribosomal protein S17 OS=Prochlorococcus marinus (strain MIT 9312) GN=rpsQ PE=3 SV=1,30S ribosomal protein S17,Cytoplasm,J,5.19E-08,1.70E-09,-4.933727702
MIT9313,Q7V9E1,Q7V9E1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0008 PE=4 SV=1,hypothetical protein,Inner membrane,S,5.46E-08,1.76E-09,-4.952920662
MIT9313,Q7V5X5,Q7V5X5_PROMM Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=lpxA PE=3 SV=1,acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase,Cytoplasm,M,5.54E-08,1.76E-09,-4.972549469
MIT9313,Q7V668,RL19_PROMM 50S ribosomal protein L19 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplS PE=3 SV=1,50S ribosomal protein L19,Cytoplasm,J,6.96E-08,2.20E-09,-4.98032682
MIT9313,Q7V8C1,Q7V8C1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0438 PE=4 SV=1,hypothetical protein,Unknown,S,1.42E-08,4.41E-10,-5.011023616
MIT9313,Q7V881,Q7V881_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0485 PE=4 SV=1,hypothetical protein,Periplasm,S,2.92E-08,8.82E-10,-5.048498322
MIT9313,Q7V4C0,Q7V4C0_PROMM SAM (And some other nucleotide) binding motif OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2040 PE=4 SV=1,magnesium protoporphyrin IX methyltransferase,Unknown,H,7.48E-09,2.20E-10,-5.085024198
MIT9313,Q7V6M6,Q7V6M6_PROMM Thioredoxin OS=Prochlorococcus marinus (strain MIT 9313) GN=trxA PE=3 SV=1,thiol reductase thioredoxin,Cytoplasm,O,1.20E-07,3.31E-09,-5.178133603
MIT9313,Q7V7X9,Q7V7X9_PROMM Serine:pyruvate/alanine:glyoxylate aminotransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=agt PE=3 SV=1,alanine--glyoxylate aminotransferase,Cytoplasm,E,5.61E-08,1.54E-09,-5.184559872
MIT9313,Q7V807,Q7V807_PROMM Ribulose-phosphate 3-epimerase OS=Prochlorococcus marinus (strain MIT 9313) GN=cbbE PE=3 SV=1,ribulose-phosphate 3-epimerase,Cytoplasm,G,5.69E-08,1.54E-09,-5.203668695
MIT9313,Q7V990,DAPA_PROMM 4-hydroxy-tetrahydrodipicolinate synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=dapA PE=3 SV=1,4-hydroxy-tetrahydrodipicolinate synthase,Cytoplasm,E,1.65E-08,4.41E-10,-5.222527721
MIT9313,Q7V7N1,ARGC_PROMM N-acetyl-gamma-glutamyl-phosphate reductase OS=Prochlorococcus marinus (strain MIT 9313) GN=argC PE=3 SV=2,N-acetyl-gamma-glutamyl-phosphate reductase,Cytoplasm,E,8.23E-09,2.20E-10,-5.222527722
MIT9313,Q7V8K3,Q7V8K3_PROMM Peptidyl-prolyl cis-trans isomerase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0341 PE=3 SV=1,peptidyl-prolyl cis-trans isomerase,Periplasm,O,2.56E-07,6.83E-09,-5.226752308
MIT9313,Q7V677,"GSA_PROMM Glutamate-1-semialdehyde 2,1-aminomutase OS=Prochlorococcus marinus (strain MIT 9313) GN=hemL PE=3 SV=1",aspartate aminotransferase family protein,Cytoplasm,H,1.33E-07,3.53E-09,-5.238829534
MIT9313,Q7V5V3,Q7V5V3_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1436 PE=4 SV=1,hypothetical protein,Unknown,S,5.01E-08,1.32E-09,-5.244222793
MIT9313,Q7V9D8,Q7V9D8_PROMM Signal recognition particle receptor FtsY OS=Prochlorococcus marinus (strain MIT 9313) GN=ftsY PE=3 SV=1,signal recognition particle-docking protein FtsY,Unknown,U,4.19E-08,1.10E-09,-5.24852293
MIT9312,Q31BA0,Q31BA0_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0785 PE=4 SV=1,Secreted pentapeptide repeats protein,Unknown,S,3.01E-08,7.84E-10,-5.262198642
MIT9313,Q7V460,Q7V460_PROMM Universal stress protein (Usp) OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2107 PE=3 SV=1,universal stress protein,Cytoplasm,S,2.54E-08,6.61E-10,-5.265596444
MIT9313,Q7V553,Q7V553_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1721 PE=4 SV=1,putative membrane protein,Unknown,S,5.09E-08,1.32E-09,-5.265596444
MIT9313,Q7V6C0,Q7V6C0_PROMM NAD binding site OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1246 PE=4 SV=1,NAD-binding site,Unknown,C,1.72E-08,4.41E-10,-5.28665806
MIT9313,Q7V8B4,DCUP_PROMM Uroporphyrinogen decarboxylase OS=Prochlorococcus marinus (strain MIT 9313) GN=hemE PE=3 SV=1,uroporphyrinogen decarboxylase,Cytoplasm,H,7.78E-08,1.98E-09,-5.29361082
MIT9313,Q7V9C9,GRPE_PROMM Protein GrpE OS=Prochlorococcus marinus (strain MIT 9313) GN=grpE PE=3 SV=1,nucleotide exchange factor GrpE,Cytoplasm,O,6.96E-08,1.76E-09,-5.302254914
MIT9313,Q7V540,RL23_PROMM 50S ribosomal protein L23 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplW PE=3 SV=1,50S ribosomal protein L23,Cytoplasm,J,7.86E-08,1.98E-09,-5.307416619
MIT9312,Q31CM2,Q31CM2_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0312 PE=4 SV=1,hypothetical protein,Unknown,S,1.56E-08,3.92E-10,-5.317693755
MIT9312,Q31BF6,PSTB_PROM9 Phosphate import ATP-binding protein PstB OS=Prochlorococcus marinus (strain MIT 9312) GN=pstB PE=3 SV=1,phosphate ABC transporter ATP-binding protein,Inner membrane,P,1.56E-08,3.92E-10,-5.317693755
MIT9313,Q7V3Z2,Q7V3Z2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2193 PE=4 SV=1,hypothetical protein,Unknown,S,8.83E-08,2.20E-09,-5.323811058
MIT9313,Q7V6F0,Q7V6F0_PROMM Putative sulfate transporter OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1214 PE=3 SV=1,sodium-independent anion transporter,Inner membrane,P,2.21E-07,5.51E-09,-5.328693279
MIT9312,Q31AV0,Q31AV0_PROM9 SMC domain N terminal domain-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0935 PE=4 SV=1,LPS export ABC transporter periplasmic protein LptC,Unknown,S,5.31E-09,1.31E-10,-5.344660802
MIT9313,Q7V5W4,RL27_PROMM 50S ribosomal protein L27 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpmA PE=3 SV=1,50S ribosomal protein L27,Cytoplasm,J,3.59E-08,8.82E-10,-5.348058604
MIT9313,Q7V7Y9,Q7V7Y9_PROMM Possible ABC transporter component OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0589 PE=4 SV=1,lipid ABC transporter permease,Cytoplasm,M,1.80E-08,4.41E-10,-5.348058604
MIT9312,Q31CX8,RL1_PROM9 50S ribosomal protein L1 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplA PE=3 SV=1,50S ribosomal protein L1,Cytoplasm,J,1.24E-07,3.01E-09,-5.361980278
MIT9313,Q7V6T3,Q7V6T3_PROMM ClpC OS=Prochlorococcus marinus (strain MIT 9313) GN=clpC PE=3 SV=1,ATP-dependent Clp protease ATP-binding subunit ClpC,Cytoplasm,O,1.27E-07,3.09E-09,-5.365132118
MIT9312,Q31DG7,Q31DG7_PROM9 Chaperone protein DnaJ OS=Prochlorococcus marinus (strain MIT 9312) GN=dnaJ PE=3 SV=1,molecular chaperone DnaJ,Cytoplasm,O,2.72E-08,6.54E-10,-5.376369663
MIT9313,Q7V7J1,Q7V7J1_PROMM Thioredoxin peroxidase OS=Prochlorococcus marinus (strain MIT 9313) GN=tpx PE=4 SV=1,peroxiredoxin,Cytoplasm,O,2.66E-07,6.39E-09,-5.380848539
MIT9313,Q7V3X3,SPEE_PROMM Polyamine aminopropyltransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=speE PE=3 SV=2,polyamine aminopropyltransferase,Cytoplasm,E,2.77E-08,6.61E-10,-5.387586968
MIT9312,Q31CI4,Q31CI4_PROM9 Sec-independent protein translocase protein TatA OS=Prochlorococcus marinus (strain MIT 9312) GN=tatA PE=3 SV=1,protein translocase TatA,Inner membrane,U,1.65E-08,3.92E-10,-5.397128222
MIT9313,Q7TUP3,RL14_PROMM 50S ribosomal protein L14 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplN PE=3 SV=1,50S ribosomal protein L14,Cytoplasm,J,7.48E-08,1.76E-09,-5.406952293
MIT9313,Q7V9C2,Q7V9C2_PROMM Glyceraldehyde-3-phosphate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=gap2 PE=3 SV=1,type I glyceraldehyde-3-phosphate dehydrogenase,Cytoplasm,G,2.00E-07,4.63E-09,-5.431474612
MIT9313,Q7TV13,EFTS_PROMM Elongation factor Ts OS=Prochlorococcus marinus (strain MIT 9313) GN=tsf PE=3 SV=1,elongation factor Ts,Cytoplasm,J,4.79E-08,1.10E-09,-5.441168008
MIT9313,B9ES00,B9ES00_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2613 PE=4 SV=1,putative protein family PM-1,Unknown,S,6.73E-08,1.54E-09,-5.447594278
MIT9312,Q31C54,Q31C54_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0480 PE=4 SV=1,DNA recombination-mediator protein A,Cytoplasm,S,1.71E-08,3.92E-10,-5.447754296
MIT9313,Q7V7R3,THF1_PROMM Protein Thf1 OS=Prochlorococcus marinus (strain MIT 9313) GN=thf1 PE=3 SV=1,photosystem II biogenesis protein Psp29,Unknown,D,1.95E-08,4.41E-10,-5.463535821
MIT9313,Q7V4Z3,DAPAT_PROMM LL-diaminopimelate aminotransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=dapL PE=3 SV=2,LL-diaminopimelate aminotransferase,Cytoplasm,E,4.86E-08,1.10E-09,-5.463535821
MIT9313,Q7V846,Q7V846_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0527 PE=4 SV=1,hypothetical protein,Cytoplasm,S,6.96E-08,1.54E-09,-5.494899992
MIT9313,Q7TUS3,CH10_PROMM 10 kDa chaperonin OS=Prochlorococcus marinus (strain MIT 9313) GN=groS PE=3 SV=1,co-chaperone GroES,Cytoplasm,O,1.49E-06,3.31E-08,-5.49789603
MIT9313,Q7V438,Q7V438_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2132 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,2.02E-08,4.41E-10,-5.517983605
MIT9313,Q7V5F3,Q7V5F3_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1608 PE=4 SV=1,hypothetical protein,Cytoplasm,S,6.06E-08,1.32E-09,-5.517983606
MIT9313,Q7V811,"Q7V811_PROMM 6-phosphogluconate dehydrogenase, decarboxylating OS=Prochlorococcus marinus (strain MIT 9313) GN=gnd PE=3 SV=1",phosphogluconate dehydrogenase (NADP(+)-dependent%2C decarboxylating),Cytoplasm,G,3.14E-08,6.61E-10,-5.570451025
MIT9313,Q7V4Z2,Q7V4Z2_PROMM ATP-dependent Clp protease adapter protein ClpS OS=Prochlorococcus marinus (strain MIT 9313) GN=clpS PE=3 SV=1,ATP-dependent Clp protease adaptor ClpS,Unknown,O,1.05E-08,2.20E-10,-5.570451025
MIT9313,Q7V5H5,Q7V5H5_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1585 PE=4 SV=1,photosystem reaction center subunit H,Cytoplasm,S,6.28E-08,1.32E-09,-5.570451026
MIT9313,Q7V918,Q7V918_PROMM Two-component response regulator OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0146 PE=4 SV=1,DNA-binding response regulator,Cytoplasm,T,4.26E-08,8.82E-10,-5.595986117
MIT9313,Q7V812,"Q7V812_PROMM Putative 6-phosphogluconolactonase (DevB, Pgl) OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0564 PE=4 SV=1",6-phosphogluconolactonase,Unknown,G,4.26E-08,8.82E-10,-5.595986117
MIT9313,Q7V675,Q7V675_PROMM UPF0234 protein PMT_1298 OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1298 PE=3 SV=1,YajQ family cyclic di-GMP-binding protein,Cytoplasm,S,2.17E-08,4.41E-10,-5.621077098
MIT9312,Q31D37,Q31D37_PROM9 Three-step phytoene desaturase / zeta-carotene desaturase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0146 PE=4 SV=1,phytoene desaturase,Cytoplasm,H,1.95E-08,3.92E-10,-5.63416742
MIT9313,Q7V8V3,Q7V8V3_PROMM NHL repeat OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0221 PE=4 SV=1,Virginiamycin B lyase,Outside cytoplasm,S,3.29E-08,6.61E-10,-5.637565221
MIT9313,Q7V8K4,Q7V8K4_PROMM Putative nickel-containing superoxide dismutase (NISOD) OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0340 PE=4 SV=1,superoxide dismutase%2C Ni,Cytoplasm,S,6.66E-08,1.32E-09,-5.653867034
MIT9312,Q319T2,Q319T2_PROM9 Pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1304 PE=3 SV=1,aminotransferase DegT,Cytoplasm,E,1.98E-08,3.92E-10,-5.655862491
MIT9313,Q7V539,RL2_PROMM 50S ribosomal protein L2 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplB PE=3 SV=1,50S ribosomal protein L2,Cytoplasm,J,2.36E-07,4.63E-09,-5.669986698
MIT9313,B9ESR2,B9ESR2_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2898 PE=4 SV=1,bacteriocin leader domain-containing protein,Unknown,S,1.12E-08,2.20E-10,-5.669986699
MIT9313,Q7V8V1,Q7V8V1_PROMM Cysteine synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=cysK1 PE=3 SV=1,cysteine synthase A,Cytoplasm,E,3.18E-07,6.17E-09,-5.687060212
MIT9312,Q31B83,Q31B83_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0802 PE=4 SV=1,thioredoxin,Unknown,S,6.79E-09,1.31E-10,-5.698297757
MIT9313,Q7V6L4,"Q7V6L4_PROMM Homoserine dehydrogenase OS=Prochlorococcus marinus (strain MIT 9313) GN=thrA,hom PE=3 SV=1",homoserine dehydrogenase,Cytoplasm,E,5.76E-08,1.10E-09,-5.707954549
MIT9313,B9ER54,B9ER54_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2376 PE=4 SV=1,hypothetical protein,Unknown,S,9.28E-08,1.76E-09,-5.717292413
MIT9313,Q7V531,RL6_PROMM 50S ribosomal protein L6 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplF PE=3 SV=1,50S ribosomal protein L6,Cytoplasm,J,1.29E-07,2.42E-09,-5.729929239
MIT9312,Q31CY6,PGK_PROM9 Phosphoglycerate kinase OS=Prochlorococcus marinus (strain MIT 9312) GN=pgk PE=3 SV=1,phosphoglycerate kinase,Cytoplasm,G,1.18E-07,2.22E-09,-5.734731386
MIT9313,Q7V808,"FBSB_PROMM D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0568 PE=3 SV=1",fructose 1%2C6-bisphosphatase,Cytoplasm,G,2.59E-07,4.85E-09,-5.738292712
MIT9312,Q31BC9,Q31BC9_PROM9 ABC transporter component-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0756 PE=4 SV=1,lipid ABC transporter permease,Cytoplasm,M,7.08E-09,1.31E-10,-5.759698302
MIT9313,Q7V734,Q7V734_PROMM Possible UBA/TS-N domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0927 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,2.39E-08,4.41E-10,-5.763096103
MIT9313,Q7V449,Q7V449_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2120 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,2.39E-08,4.41E-10,-5.763096103
MIT9313,Q7V480,Q7V480_PROMM Transcription termination/antitermination protein NusG OS=Prochlorococcus marinus (strain MIT 9313) GN=nusG PE=3 SV=1,hypothetical protein,Cytoplasm,K,9.58E-08,1.76E-09,-5.763096103
MIT9312,Q31CK4,"Q31CK4_PROM9 C-terminal processing peptidase-2, Serine peptidase, MEROPS family S41A OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0330 PE=3 SV=1",peptidase S41,Inner membrane,M,2.86E-08,5.23E-10,-5.774648643
MIT9312,Q317W3,Q317W3_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1771 PE=4 SV=1,membrane protein,Unknown,S,1.45E-08,2.61E-10,-5.789445645
MIT9313,Q7V735,Q7V735_PROMM Possible (M20568) ORF 11 [Azotobacter vinelandii] OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0926 PE=4 SV=1,Nif11-like leader peptide family natural product precursor,Unknown,S,2.47E-08,4.41E-10,-5.807490222
MIT9313,Q7V3W3,Q7V3W3_PROMM Putative ATP-binding subunit of urea ABC transport system OS=Prochlorococcus marinus (strain MIT 9313) GN=urtE PE=4 SV=1,ABC transporter ATP-binding protein,Cytoplasm,E,3.74E-08,6.61E-10,-5.821989792
MIT9312,Q31BV3,Q31BV3_PROM9 Plastocyanin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0581 PE=4 SV=1,plastocyanin,Periplasm,C,1.21E-07,2.09E-09,-5.857730384
MIT9313,Q7V697,HEM3_PROMM Porphobilinogen deaminase OS=Prochlorococcus marinus (strain MIT 9313) GN=hemC PE=3 SV=1,hydroxymethylbilane synthase,Cytoplasm,H,5.16E-08,8.82E-10,-5.87162056
MIT9313,Q7V8B1,CLPB_PROMM Chaperone protein ClpB OS=Prochlorococcus marinus (strain MIT 9313) GN=clpB PE=3 SV=1,chaperone protein ClpB,Cytoplasm,O,3.89E-08,6.61E-10,-5.878573321
MIT9313,Q7V520,RS9_PROMM 30S ribosomal protein S9 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpsI PE=3 SV=1,30S ribosomal protein S9,Cytoplasm,J,2.62E-08,4.41E-10,-5.89237912
MIT9313,Q7V533,RL5_PROMM 50S ribosomal protein L5 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplE PE=3 SV=1,50S ribosomal protein L5,Cytoplasm,J,1.32E-07,2.20E-09,-5.900599628
MIT9312,Q31AL8,Q31AL8_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1017 PE=4 SV=1,cell surface protein,Unknown,S,3.13E-08,5.23E-10,-5.902656256
MIT9313,Q7V5P8,Q7V5P8_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1500 PE=4 SV=1,hypothetical protein,Unknown,S,2.69E-08,4.41E-10,-5.933021104
MIT9312,Q31D70,Q31D70_PROM9 Putative glutathione S-transferase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0113 PE=4 SV=1,glutathione S-transferase,Cytoplasm,O,1.62E-08,2.61E-10,-5.956095515
MIT9313,Q7V998,RL35_PROMM 50S ribosomal protein L35 OS=Prochlorococcus marinus (strain MIT 9313) GN=rpmI PE=3 SV=1,50S ribosomal protein L35,Cytoplasm,J,4.11E-08,6.61E-10,-5.959493316
MIT9313,Q7V5A2,METK_PROMM S-adenosylmethionine synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=metK PE=3 SV=1,S-adenosylmethionine synthase,Cytoplasm,H,3.66E-07,5.73E-09,-5.99634704
MIT9313,Q7V522,RL17_PROMM 50S ribosomal protein L17 OS=Prochlorococcus marinus (strain MIT 9313) GN=rplQ PE=3 SV=1,50S ribosomal protein L17,Cytoplasm,J,7.11E-08,1.10E-09,-6.011023616
MIT9313,Q7V4E8,"Q7V4E8_PROMM Phytoene desaturase OS=Prochlorococcus marinus (strain MIT 9313) GN=pds,crtD PE=4 SV=1",phytoene desaturase,Unknown,H,5.69E-08,8.82E-10,-6.011023617
MIT9313,Q7V5M1,Q7V5M1_PROMM Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1531 PE=4 SV=1,membrane protein,Inner membrane,S,2.84E-08,4.41E-10,-6.011023617
MIT9313,Q7V926,SAHH_PROMM Adenosylhomocysteinase OS=Prochlorococcus marinus (strain MIT 9313) GN=ahcY PE=3 SV=1,adenosylhomocysteinase,Cytoplasm,H,1.17E-07,1.76E-09,-6.057716852
MIT9313,Q7V906,THIC_PROMM Phosphomethylpyrimidine synthase OS=Prochlorococcus marinus (strain MIT 9313) GN=thiC PE=3 SV=1,Thiamine biosynthesis protein ThiC,Cytoplasm,H,5.91E-08,8.82E-10,-6.066876851
MIT9313,Q7V5K3,Q7V5K3_PROMM Putative thioredoxin reductase OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1551 PE=4 SV=1,thioredoxin reductase,Cytoplasm,O,7.48E-08,1.10E-09,-6.085024198
MIT9313,Q7V810,Q7V810_PROMM Glucose-1-phosphate adenylyltransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=glgC PE=3 SV=1,glucose-1-phosphate adenylyltransferase,Unknown,G,1.51E-07,2.20E-09,-6.099379491
MIT9313,Q7V6K3,Q7V6K3_PROMM Possible membrane fusion protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1156 PE=3 SV=1,hemolysin D,Unknown,V,1.06E-07,1.54E-09,-6.1054883
MIT9313,Q7V737,Q7V737_PROMM Possible SAP domain OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_0922 PE=4 SV=1,DNA-binding protein,Unknown,S,1.38E-07,1.98E-09,-6.124552562
MIT9312,Q31AA6,Q31AA6_PROM9 Porin-like protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1130 PE=4 SV=1,porin,Extracellular,S,9.15E-09,1.31E-10,-6.128932111
MIT9312,Q319P6,Q319P6_PROM9 Uncharacterized protein OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1339 PE=4 SV=1,hypothetical protein,Cytoplasm,S,9.15E-09,1.31E-10,-6.128932111
MIT9313,Q7V606,PNP_PROMM Polyribonucleotide nucleotidyltransferase OS=Prochlorococcus marinus (strain MIT 9313) GN=pnp PE=3 SV=1,polyribonucleotide nucleotidyltransferase,Cytoplasm,J,4.03E-07,5.73E-09,-6.136797848
MIT9313,Q7V590,"Q7V590_PROMM Phycobilisome protein (Phycoerythrin, alpha-subunit) OS=Prochlorococcus marinus (strain MIT 9313) GN=cpeA PE=4 SV=1",bleomycin hydrolase,Unknown,S,1.57E-08,2.20E-10,-6.155413526
MIT9313,Q7V571,Q7V571_PROMM Putative ribonuclease D OS=Prochlorococcus marinus (strain MIT 9313) GN=rnd PE=4 SV=1,ribonuclease D,Cytoplasm,J,3.22E-08,4.41E-10,-6.189360858
MIT9313,Q7TV30,Q7TV30_PROMM Plastocyanin OS=Prochlorococcus marinus (strain MIT 9313) GN=petE PE=4 SV=1,plastocyanin,Periplasm,C,4.86E-08,6.61E-10,-6.200501416
MIT9313,Q7TUJ3,Q7TUJ3_PROMM Rubredoxin:Rubrerythrin:Rubredoxin-type Fe(Cys)4 protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_2166 PE=4 SV=1,rubrerythrin,Cytoplasm,C,4.26E-07,5.73E-09,-6.214941227
MIT9313,Q7V6Q2,Q7V6Q2_PROMM BolA-like protein OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1094 PE=3 SV=1,BolA-like protein,Unknown,S,1.65E-08,2.20E-10,-6.222527722
MIT9313,Q7V5N8,RPIA_PROMM Ribose-5-phosphate isomerase A OS=Prochlorococcus marinus (strain MIT 9313) GN=rpiA PE=3 SV=1,ribose-5-phosphate isomerase,Unknown,G,3.29E-08,4.41E-10,-6.222527722
MIT9313,Q7V6M8,Q7V6M8_PROMM Proline-rich region OS=Prochlorococcus marinus (strain MIT 9313) GN=PMT_1125 PE=4 SV=1,hypothetical protein,Inner membrane,S,6.66E-08,8.82E-10,-6.238829534
