Strain,Protein ID,UniProt Annotation,Prokka Annotation,Predicted Sucellular Localization,COGcategory,"Spectral Counts Per Biovolume, Cells","Spectral Counts Per Biovolume, Vesicles",Log2(vesicle/cell counts),resolved_locus_tag,resolution_method
MIT9312,Q319D3,Q319D3_PROM9 D-3-phosphoglycerate dehydrogenase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1452 PE=3 SV=1,phosphoglycerate dehydrogenase,Cytoplasm,E,4.13e-08,1.31e-10,-8.304018818,PMT9312_1452,tier1:Protein ID
MIT9312,Q318V5,CH10_PROM9 10 kDa chaperonin OS=Prochlorococcus marinus (strain MIT 9312) GN=groS PE=3 SV=1,co-chaperone GroES,Cytoplasm,O,2.96e-07,6.54e-10,-8.822913597,PMT9312_1530,tier1:UniProt Annotation
MIT9312,Q31AF0,Q31AF0_PROM9 Ferredoxin-NADP oxidoreductase (FNR) OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1086 PE=4 SV=1,ferredoxin--NADP(+) reductase,Inner membrane,C,1.25e-07,2.61e-10,-8.899249655,PMT9312_1086,tier1:Protein ID
MIT9312,Q31CY0,RL7_PROM9 50S ribosomal protein L7/L12 OS=Prochlorococcus marinus (strain MIT 9312) GN=rplL PE=3 SV=1,50S ribosomal protein L7/L12,Unknown,J,1.91e-07,3.92e-10,-8.929623304,PMT9312_0203,tier1:UniProt Annotation
MIT9312,Q318U1,ATPA_PROM9 ATP synthase subunit alpha OS=Prochlorococcus marinus (strain MIT 9312) GN=atpA PE=3 SV=1,ATP synthase subunit alpha,Thylakoid membrane,C,2.27e-07,3.92e-10,-9.178487936,PMT9312_1544,tier1:UniProt Annotation
MIT9312,Q31BB0,"FBSB_PROM9 D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_0775 PE=3 SV=2",fructose 1%2C6-bisphosphatase,Cytoplasm,G,2.43e-07,3.92e-10,-9.272767884,PMT9312_0775,tier1:UniProt Annotation
MIT9312,Q318Q7,RPOB_PROM9 DNA-directed RNA polymerase subunit beta OS=Prochlorococcus marinus (strain MIT 9312) GN=rpoB PE=3 SV=1,DNA-directed RNA polymerase subunit beta,Cytoplasm,K,1.69e-07,2.61e-10,-9.337127129,PMT9312_1578,tier1:UniProt Annotation
MIT9312,Q319I0,Q319I0_PROM9 Cell division protein FtsZ OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsZ PE=3 SV=1,cell division protein FtsZ,Cytoplasm,D,1.77e-07,2.61e-10,-9.403554491,PMT9312_1405,tier1:Protein ID
MIT9312,Q318G4,Q318G4_PROM9 Photosystem I protein PsaD OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1670 PE=4 SV=1,photosystem I protein PsaD,Inner membrane,H,2.18e-07,2.61e-10,-9.702212807,PMT9312_1670,locus_tag:UniProt Annotation
MIT9312,Q31CV5,Q31CV5_PROM9 ATP-dependent zinc metalloprotease FtsH OS=Prochlorococcus marinus (strain MIT 9312) GN=ftsH PE=3 SV=1,cell division protein FtsH,Inner membrane,O,1.13e-07,1.31e-10,-9.755936383,PMT9312_0228,tier1:Protein ID
MIT9312,Q31AG4,Q31AG4_PROM9 Thioredoxin OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1072 PE=3 SV=1,thiol reductase thioredoxin,Cytoplasm,O,1.2e-07,1.31e-10,-9.847161143,PMT9312_1072,tier1:Protein ID
MIT9312,Q318D1,Q318D1_PROM9 Transketolase OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1703 PE=3 SV=1,transketolase,Cytoplasm,G,3.82e-07,3.92e-10,-9.92627986,PMT9312_1703,locus_tag:UniProt Annotation
MIT9312,Q319G6,Q319G6_PROM9 Bacterial nucleoid protein Hbs OS=Prochlorococcus marinus (strain MIT 9312) GN=PMT9312_1419 PE=3 SV=1,DNA-binding protein,Cytoplasm,L,1.67e-07,1.31e-10,-10.31939404,PMT9312_1419,tier1:Protein ID
